time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-05-30 08:02:58,H,22560006658000,False,0,22,8,190,606,0,967,3141,980,883,380
2019-05-30 08:05:27,H,22610006649000,True,0,32,11,108,198,18,241,1481,355,1215,462
2019-05-30 08:12:13,H,22740006650000,True,0,11,5,57,1946,34,439,3210,640,795,283
2019-05-30 08:13:11,V1,23030006676000,False,0,5,2,130,1824,3,1363,124,,,1163
2019-05-30 08:19:50,A,22620006651000,True,0,31,11,194,12,83,128,2935,46,477,480
2019-05-30 08:28:48,H,22620006649000,True,0,33,11,43,174,108,58,886,328,871,222
2019-05-30 08:34:31,H,22610006651000,True,0,24,9,111,173,11,163,2785,160,1057,83
2019-05-30 08:34:39,V1,23070006643000,True,0,7,3,28,157,109,165,212,3836,1749,3152
2019-05-30 08:35:24,H,22820006703000,True,0,1,0,183,90,5,1125,2398,3428,1665,2669
2019-05-30 08:39:29,A,22640006652000,True,0,23,9,110,16,66,354,1044,95,591,718
2019-05-30 08:57:34,H,22630006649000,True,0,26,9,380,50,219,693,916,521,1409,287
2019-05-30 08:59:00,V1,22780006651000,True,0,14,5,147,1314,147,829,318,730,393,283
2019-05-30 09:03:07,A,22550006648000,True,0,21,8,117,5,10,446,565,243,1149,84
2019-05-30 09:08:00,H,22610006650000,True,0,33,11,119,106,93,133,821,188,932,229
2019-05-30 09:16:38,A,22550006641000,True,0,42,14,174,30,4,1388,1765,,,2234
2019-05-30 09:17:05,V1,22620006651000,True,0,33,11,201,1836,431,221,654,77,1740,434
2019-05-30 09:20:36,V1,22620006649000,True,0,32,11,300,3061,7,78,908,438,1096,439
2019-05-30 09:20:42,H,22650006635000,True,0,38,12,211,93,141,623,831,829,292,1656
2019-05-30 09:23:26,A,22620006648000,True,0,31,11,291,29,60,131,2709,380,905,210
2019-05-30 09:35:34,A,22570006652000,True,0,23,9,55,25,6,491,917,177,1605,80
2019-05-30 09:36:13,A,22610006650000,True,0,30,10,70,33,110,761,504,146,1085,77
2019-05-30 09:39:50,V1,22740006649000,True,0,13,5,69,4645,168,527,1073,671,1070,309
2019-05-30 09:40:15,H,22590006652000,True,0,20,8,33,78,193,57,660,154,1275,200
2019-05-30 09:42:29,A,22620006649000,True,0,34,11,9,24,50,48,1493,271,1624,206
2019-05-30 09:45:45,A,22620006651000,True,0,21,8,72,24,45,544,1477,45,1460,650
