time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-05-30 08:02:58,H,22560006658000,False,0,21,8,190,606,0,917,3141,1025,883,393
2019-05-30 08:05:27,H,22610006649000,True,0,33,11,108,198,18,242,1481,357,1215,464
2019-05-30 08:12:13,H,22740006650000,True,0,13,5,57,1946,34,447,3210,624,795,288
2019-05-30 08:13:11,V1,23030006676000,False,0,5,2,130,1824,3,1369,124,,,1148
2019-05-30 08:19:50,A,22620006651000,True,0,32,11,194,12,83,128,2935,47,477,456
2019-05-30 08:28:48,H,22620006649000,True,0,34,11,43,174,108,57,886,330,871,223
2019-05-30 08:34:31,H,22610006651000,True,0,24,9,111,173,11,159,2785,165,1057,83
2019-05-30 08:34:39,V1,23070006643000,True,0,8,3,28,157,109,166,212,3832,1749,2953
2019-05-30 08:35:24,H,22820006703000,True,0,1,0,183,90,5,1140,2398,3402,1665,3185
2019-05-30 08:39:29,A,22640006652000,True,0,26,9,110,16,66,338,1044,99,591,754
2019-05-30 08:57:34,H,22630006649000,True,0,23,9,380,50,219,671,916,517,1409,284
2019-05-30 08:59:00,V1,22780006651000,True,0,11,5,147,1314,147,838,318,742,393,283
2019-05-30 09:03:07,A,22550006648000,True,0,20,8,117,5,10,443,565,245,1149,85
2019-05-30 09:08:00,H,22610006650000,True,0,34,11,119,106,93,132,821,193,932,222
2019-05-30 09:16:38,A,22550006641000,True,0,42,14,174,30,4,1407,1765,,,2239
2019-05-30 09:17:05,V1,22620006651000,True,0,34,11,201,1836,431,224,654,78,1740,424
2019-05-30 09:20:36,V1,22620006649000,True,0,35,12,300,3061,7,1391,908,440,1096,1198
2019-05-30 09:20:42,H,22650006635000,True,0,38,12,211,93,141,631,831,851,292,1440
2019-05-30 09:23:26,A,22620006648000,True,0,26,9,291,29,60,497,2709,374,905,375
2019-05-30 09:35:34,A,22570006652000,True,0,33,11,55,25,6,614,917,173,1605,937
2019-05-30 09:36:13,A,22610006650000,True,0,30,10,70,33,110,758,504,147,1085,77
2019-05-30 09:39:50,V1,22740006649000,True,0,12,5,69,4657,168,544,1073,650,1070,317
2019-05-30 09:40:15,H,22590006652000,True,0,22,8,33,78,193,61,660,149,1275,199
2019-05-30 09:42:29,A,22620006649000,True,0,31,11,9,24,50,48,1493,269,1624,207
2019-05-30 09:45:45,A,22620006651000,True,0,20,8,72,24,45,557,1477,46,1460,677
2019-05-30 09:46:07,V1,22620006651000,True,0,27,10,64,679,370,1091,1387,78,805,1179
2019-05-30 09:49:06,A,22540006620000,False,0,44,14,74,16,34,382,564,1169,960,1223
2019-05-30 09:51:08,A,22620006649000,True,0,25,9,165,6,58,402,2586,262,1955,382
2019-05-30 09:56:27,V1,22620006649000,True,0,32,11,41,2555,44,79,511,435,1808,470
2019-05-30 09:57:14,V1,22640006639000,True,0,36,12,300,251,461,316,798,1473,479,1293
2019-05-30 09:59:14,H,22590006651000,True,0,23,9,54,449,0,421,541,295,275,425
2019-05-30 10:01:35,A,22890006686000,True,0,2,1,17,11,36,699,1510,1796,749,1020
2019-05-30 10:03:59,A,22620006651000,True,0,32,11,12,11,3,285,382,46,755,440
2019-05-30 10:06:34,A,22710006651000,True,0,28,10,111,15,69,429,766,615,1365,1101
2019-05-30 10:13:42,A,22800006649000,True,0,14,5,116,14,74,445,819,418,1605,307
2019-05-30 10:23:16,A,22620006649000,True,0,30,10,75,1,83,257,652,264,764,79
2019-05-30 10:25:45,H,22870006674000,True,0,3,1,140,49,9,435,1736,1849,642,2205
2019-05-30 10:30:39,A,22650006655000,True,0,22,8,32,27,13,631,2227,300,2611,961
2019-05-30 10:32:31,H,22660006647000,True,0,29,10,33,424,338,782,1432,634,833,783
2019-05-30 10:35:03,A,22660006642000,True,0,38,12,60,12,63,590,799,782,2061,1864
