time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-05-30 08:02:58,H,22560006658000,False,0,4,1,190,606,0,2929,3141,2779,883,4071
2019-05-30 08:05:27,H,22610006649000,True,0,19,7,108,198,18,1116,1481,478,1215,638
2019-05-30 08:12:13,H,22740006650000,True,0,33,11,57,1946,34,1087,3210,2043,795,1769
2019-05-30 08:13:11,V1,23030006676000,False,0,35,12,130,1824,3,6024,124,,,2497
2019-05-30 08:19:50,A,22620006651000,True,0,44,14,194,12,83,1652,2935,447,477,678
2019-05-30 08:28:48,H,22620006649000,True,0,22,8,43,174,108,525,886,790,871,389
2019-05-30 08:34:31,H,22610006651000,True,0,6,2,111,173,11,3433,2785,158,1057,4401
2019-05-30 08:34:39,V1,23070006643000,True,0,40,13,28,157,109,7317,212,4368,1749,2787
2019-05-30 08:35:24,H,22820006703000,True,0,41,13,183,90,5,5053,2398,4945,1665,198
2019-05-30 08:39:29,A,22640006652000,True,0,38,12,110,16,66,940,1044,449,591,517
2019-05-30 08:57:34,H,22630006649000,True,0,9,4,380,50,219,1384,916,968,1409,562
2019-05-30 08:59:00,V1,22780006651000,True,0,13,5,147,1314,147,809,318,2283,393,1645
2019-05-30 09:03:07,A,22550006648000,True,0,21,8,117,5,10,443,565,659,1149,381
2019-05-30 09:08:00,H,22610006650000,True,0,15,6,119,106,93,1432,821,635,932,1994
2019-05-30 09:16:38,A,22550006641000,True,0,29,10,174,30,4,2582,1765,,,4252
2019-05-30 09:17:05,V1,22620006651000,True,0,3,1,201,1836,431,2878,654,76,1740,2522
2019-05-30 09:20:36,V1,22620006649000,True,0,30,10,300,3061,7,1084,908,432,1096,1263
2019-05-30 09:20:42,H,22650006635000,True,0,19,7,211,93,141,1788,831,2269,292,78
2019-05-30 09:23:26,A,22620006648000,True,0,2,1,291,29,60,1628,2709,598,905,3223
2019-05-30 09:35:34,A,22570006652000,True,0,27,10,55,25,6,994,917,849,1605,1025
2019-05-30 09:36:13,A,22610006650000,True,0,38,12,70,33,110,158,504,153,1085,1128
2019-05-30 09:39:50,V1,22740006649000,True,0,25,9,69,4007,168,1751,1073,3252,1070,2673
2019-05-30 09:40:15,H,22590006652000,True,0,10,4,33,78,193,1664,660,1125,1275,3565
2019-05-30 09:42:29,A,22620006649000,True,0,26,9,9,24,50,408,1493,405,1624,76
2019-05-30 09:45:45,A,22620006651000,True,0,14,5,72,24,45,980,1477,47,1460,1693
2019-05-30 09:46:07,V1,22620006651000,True,0,44,14,64,679,370,715,1387,898,805,2991
2019-05-30 09:49:06,A,22540006620000,False,0,11,5,74,16,34,2215,564,1959,960,459
2019-05-30 09:51:08,A,22620006649000,True,0,23,9,165,6,58,426,2586,468,1955,473
2019-05-30 09:56:27,V1,22620006649000,True,0,8,3,41,2555,44,4029,511,927,1808,2023
2019-05-30 09:57:14,V1,22640006639000,True,0,42,14,300,251,461,1740,798,2631,479,3909
2019-05-30 09:59:14,H,22590006651000,True,0,39,13,54,211,0,2156,541,298,275,2383
2019-05-30 10:01:35,A,22890006686000,True,0,22,8,17,11,36,2254,1510,2139,749,931
2019-05-30 10:03:59,A,22620006651000,True,0,20,8,12,11,3,408,382,564,755,363
2019-05-30 10:06:34,A,22710006651000,True,0,32,11,111,15,69,801,766,987,1365,821
2019-05-30 10:13:42,A,22800006649000,True,0,31,11,116,14,74,1124,819,1261,1605,1022
2019-05-30 10:23:16,A,22620006649000,True,0,7,3,75,1,83,2683,652,268,764,4708
2019-05-30 10:25:45,H,22870006674000,True,0,38,12,140,49,9,2485,1736,2448,642,2130
2019-05-30 10:30:39,A,22650006655000,True,0,9,4,32,27,13,508,2227,574,2611,2224
2019-05-30 10:32:31,H,22660006647000,True,0,34,11,33,424,338,706,1432,797,833,709
2019-05-30 10:35:03,A,22660006642000,True,0,37,12,60,12,63,359,799,860,2061,1162
2019-05-30 10:39:03,H,22630006650000,True,0,24,9,82,62,21,503,1383,1270,1413,680
2019-05-30 10:40:55,H,22620006653000,True,0,35,12,141,1186,18,2012,999,355,1118,1812
2019-05-30 10:41:21,V1,22670006645000,True,0,28,10,108,3426,83,1458,1264,1822,1098,1480
2019-05-30 10:45:41,H,22640006649000,True,0,43,14,156,188,44,1755,1008,829,1213,696
2019-05-30 10:51:02,H,22640006651000,True,0,0,0,86,48,27,2579,1172,734,788,4016
2019-05-30 10:51:39,A,22720006649000,True,0,16,6,97,29,7,1979,857,1839,1379,1187
2019-05-30 10:57:34,V1,22640006652000,True,0,43,14,165,4699,427,1483,1783,1975,1079,4039
2019-05-30 10:59:52,A,22710006652000,True,0,17,7,57,23,4,2135,683,1129,753,1244
2019-05-30 11:03:29,H,23070006645000,False,0,27,10,65,6,74,3378,542,3203,748,1484
2019-05-30 11:05:08,V1,22590006652000,True,0,5,2,66,359,140,4998,368,2149,769,4015
2019-05-30 11:08:47,A,22800006650000,True,0,21,8,271,30,13,1305,1529,1323,953,212
2019-05-30 11:23:28,A,22640006637000,True,0,39,13,68,72,73,232,962,1182,725,2697
2019-05-30 11:24:28,V1,22620006649000,True,0,15,6,60,318,221,2169,1086,467,1516,2272
2019-05-30 11:24:40,V1,22830006705000,True,0,36,12,244,450,330,5817,821,5346,845,2961
2019-05-30 11:27:16,H,22720006658000,True,0,3,1,108,1830,258,1293,1384,1425,481,3066
2019-05-30 11:28:43,V1,22640006648000,True,0,1,0,3,1762,198,3390,523,865,837,3799
2019-05-30 11:29:25,H,22790006665000,True,0,11,5,44,224,11,1608,2847,2626,880,2845
2019-05-30 11:29:45,H,22640006642000,True,0,23,9,238,54,95,1291,769,1245,1381,741
2019-05-30 11:32:54,V1,22700006654000,True,0,18,7,109,1362,111,2587,570,2665,404,83
2019-05-30 11:33:00,V1,22640006652000,True,0,12,5,51,3481,439,1460,1093,2390,421,3436
2019-05-30 11:38:11,H,22490006648000,True,0,26,9,128,52,122,1097,931,1170,579,301
2019-05-30 11:38:58,A,22670006652000,True,0,32,11,62,184,69,511,1539,,,818
2019-05-30 11:43:42,A,22790006653000,True,0,19,7,73,14,55,1771,931,,,1190
2019-05-30 11:46:01,H,22880006689000,True,0,2,1,346,325,18,1312,1077,2882,1140,2754
2019-05-30 11:47:01,V1,22480006648000,True,0,33,11,221,714,44,1861,1302,84,325,690
2019-05-30 11:49:36,V1,22900006655000,True,0,37,12,41,741,253,4228,1283,3257,1260,1994
2019-05-30 11:57:01,V1,22590006651000,True,0,24,9,286,152,31,1890,653,432,434,473
2019-05-30 12:04:33,H,22680006649000,True,0,13,5,282,109,142,797,1194,1862,367,680
2019-05-30 12:04:44,H,22620006649000,True,0,14,5,420,130,120,1106,718,666,1285,1510
2019-05-30 12:05:52,A,22650006639000,True,0,30,10,281,6,16,1274,842,,,2239
2019-05-30 12:06:34,V1,22620006649000,True,0,26,9,8,2473,121,536,328,824,974,487
2019-05-30 12:25:38,A,22700006654000,True,0,32,11,110,47,93,645,879,723,2121,1759
2019-05-30 12:26:15,H,22730006649000,True,0,29,10,80,362,47,767,806,653,284,873
2019-05-30 12:38:03,A,22580006650000,True,0,20,8,75,42,57,358,984,556,1405,401
