time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-05-30 08:02:58,H,22560006658000,False,0,25,9,190,606,0,1227,3141,1618,883,1690
2019-05-30 08:05:27,H,22610006649000,True,0,8,3,108,198,18,3335,1481,770,1215,4206
2019-05-30 08:12:13,H,22740006650000,True,0,11,5,57,1946,34,446,3210,1299,795,1735
2019-05-30 08:13:11,V1,23030006676000,False,0,0,0,130,1824,3,3544,124,,,2784
2019-05-30 08:19:50,A,22620006651000,True,0,1,0,194,12,83,2151,2935,553,477,3856
2019-05-30 08:28:48,H,22620006649000,True,0,2,1,43,174,108,2016,886,791,871,3102
2019-05-30 08:34:31,H,22610006651000,True,0,44,14,111,173,11,2199,2785,212,1057,250
2019-05-30 08:34:39,V1,23070006643000,True,0,7,3,28,157,109,165,212,5487,1749,962
2019-05-30 08:35:24,H,22820006703000,True,0,41,13,183,90,5,4987,2398,3777,1665,2697
2019-05-30 08:39:29,A,22640006652000,True,0,30,10,110,16,66,546,1044,288,591,1183
2019-05-30 08:57:34,H,22630006649000,True,0,3,1,380,2095,219,1925,916,898,1409,3127
2019-05-30 08:59:00,V1,22780006651000,True,0,24,9,147,1314,147,2259,318,1928,393,352
2019-05-30 09:03:07,A,22550006648000,True,0,20,8,117,5,10,444,565,722,1149,981
2019-05-30 09:08:00,H,22610006650000,True,0,32,11,119,106,93,218,821,1821,932,1700
2019-05-30 09:16:38,A,22550006641000,True,0,14,5,174,30,4,2856,1765,,,3536
2019-05-30 09:17:05,V1,22620006651000,True,0,10,4,201,1836,431,1775,654,937,1740,848
2019-05-30 09:20:36,V1,22620006649000,True,0,28,10,300,4320,7,1099,908,1108,1096,1495
2019-05-30 09:20:42,H,22650006635000,True,0,5,2,211,93,141,3820,831,1681,292,2763
2019-05-30 09:23:26,A,22620006648000,True,0,31,11,291,29,60,131,2709,498,905,696
2019-05-30 09:35:34,A,22570006652000,True,0,17,7,55,25,6,874,917,599,1605,1870
2019-05-30 09:36:13,A,22610006650000,True,0,4,1,70,33,110,338,504,525,1085,2856
2019-05-30 09:39:50,V1,22740006649000,True,0,18,7,69,4251,168,2721,1073,1937,1070,1761
2019-05-30 09:40:15,H,22590006652000,True,0,33,11,33,78,193,545,660,262,1275,354
2019-05-30 09:42:29,A,22620006649000,True,0,22,8,9,24,50,426,1493,640,1624,378
2019-05-30 09:45:45,A,22620006651000,True,0,37,12,72,24,45,1111,1477,380,1460,1969
2019-05-30 09:46:07,V1,22620006651000,True,0,29,10,64,679,370,1094,1387,713,805,1549
2019-05-30 09:49:06,A,22540006620000,False,0,34,11,74,16,34,1819,564,2341,960,1707
2019-05-30 09:51:08,A,22620006649000,True,0,6,2,165,6,58,2455,2586,629,1955,704
2019-05-30 09:56:27,V1,22620006649000,True,0,25,9,41,2555,44,675,511,1725,1808,1939
2019-05-30 09:57:14,V1,22640006639000,True,0,0,0,300,5904,461,4524,798,1976,479,3855
2019-05-30 09:59:14,H,22590006651000,True,0,12,5,54,211,0,1540,541,462,275,1673
2019-05-30 10:01:35,A,22890006686000,True,0,40,13,17,11,36,2998,1510,2264,749,2782
2019-05-30 10:03:59,A,22620006651000,True,0,43,14,12,11,3,1681,382,48,755,2694
2019-05-30 10:06:34,A,22710006651000,True,0,15,6,111,15,69,1054,766,1714,1365,2056
2019-05-30 10:13:42,A,22800006649000,True,0,19,7,116,14,74,1823,819,1234,1605,1802
2019-05-30 10:23:16,A,22620006649000,True,0,44,14,75,1,83,172,652,456,764,3081
2019-05-30 10:25:45,H,22870006674000,True,0,36,12,140,49,9,2826,1736,3343,642,1819
2019-05-30 10:30:39,A,22650006655000,True,0,13,5,32,27,13,588,2227,543,2611,1790
