time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-08-04 08:00:19,H,22640006633000,True,0,39,13,271,976,56,611,1167,561,967,146
2019-08-04 08:04:23,H,22650006652000,True,0,23,9,66,25,76,526,1504,57,339,549
2019-08-04 08:12:13,A,22640006643000,True,0,36,12,39,240,22,413,3080,815,939,1376
2019-08-04 08:13:11,V1,22710006670000,False,0,10,4,134,1600,2,675,402,,,720
2019-08-04 08:28:48,A,22620006649000,True,0,32,11,31,24,73,46,1597,,,59
2019-08-04 08:40:25,A,23150006634000,False,0,7,3,102,19,27,899,572,2566,1483,2585
2019-08-04 08:41:06,A,22570006651000,True,0,22,8,89,18,115,213,1651,50,1281,272
2019-08-04 08:44:07,H,22620006651000,True,0,24,9,139,166,106,279,370,59,737,281
2019-08-04 08:54:22,V1,22620006650000,True,0,32,11,16,523,35,178,707,158,1398,334
2019-08-04 08:59:00,V1,22560006650000,True,0,21,8,153,1146,146,442,332,201,372,290
2019-08-04 08:59:35,H,22600006652000,True,0,20,8,317,1135,168,154,446,59,1252,152
2019-08-04 09:00:44,A,22600006649000,True,0,33,11,39,14,42,244,1770,294,1511,369
2019-08-04 09:03:32,V1,22930006694000,True,0,0,0,221,1861,178,643,654,3126,453,2527
2019-08-04 09:16:13,A,22760006655000,True,0,2,1,28,52,59,386,670,523,939,1727
2019-08-04 09:20:36,H,22620006649000,True,0,31,11,632,347,3,61,1402,320,1324,358
2019-08-04 09:20:42,H,22560006650000,True,0,23,9,201,94,157,683,829,197,277,557
2019-08-04 09:35:24,H,22730006654000,True,0,30,10,174,91,6,555,2503,793,1877,875
2019-08-04 09:36:13,A,22610006650000,True,0,26,9,68,36,117,247,448,152,1116,311
2019-08-04 09:39:29,A,22640006652000,True,0,25,9,107,18,71,347,973,95,589,561
2019-08-04 09:39:50,V1,22690006654000,True,0,27,10,70,3482,166,522,1195,694,990,186
2019-08-04 09:45:54,A,22630006649000,True,0,34,11,123,170,5,169,461,398,846,365
2019-08-04 09:49:06,A,22630006637000,True,0,38,12,72,18,39,577,505,913,980,1389
2019-08-04 09:57:34,A,22610006650000,True,0,21,8,198,8,127,312,1126,143,1784,545
2019-08-04 10:08:00,H,22650006652000,True,0,23,9,114,107,108,521,819,59,917,368
2019-08-04 10:08:51,H,22620006649000,True,0,33,11,376,484,238,59,511,331,1039,362
2019-08-04 10:09:25,V1,22600006651000,True,0,21,8,464,3217,462,169,1314,265,395,453
2019-08-04 10:13:42,H,22630006650000,True,0,32,11,194,107,135,293,593,289,1365,364
2019-08-04 10:13:50,H,23000006625000,False,0,8,3,326,475,39,1388,233,2985,1251,2810
2019-08-04 10:19:07,H,22700006663000,True,0,9,4,26,130,93,60,1384,1303,1082,1366
2019-08-04 10:23:16,H,22620006649000,True,0,34,11,119,3,155,58,465,340,647,364
2019-08-04 10:25:43,H,22650006641000,True,0,35,12,172,288,129,310,1102,1121,1460,1346
2019-08-04 10:25:48,H,22640006641000,True,0,37,12,97,122,24,306,356,1214,1352,1079
2019-08-04 10:30:08,A,22860006665000,True,0,3,1,48,16,138,479,1431,,,660
2019-08-04 10:30:39,H,22560006606000,True,0,44,14,43,245,27,975,2224,1905,2222,1141
2019-08-04 10:32:31,V1,22620006649000,True,0,31,11,20,3270,787,67,1051,363,700,391
2019-08-04 10:32:40,A,22610006653000,True,0,26,9,152,63,62,248,1694,206,1542,535
2019-08-04 10:33:03,V1,22610006652000,True,0,23,9,25,1316,106,400,769,66,837,64
2019-08-04 10:35:17,H,22640006654000,True,0,25,9,59,55,132,488,514,324,594,369
2019-08-04 10:35:42,V1,22640006652000,True,0,24,9,35,520,586,477,905,129,1446,580
2019-08-04 10:41:21,V1,22670006645000,True,0,37,12,110,3013,81,799,1383,1213,1013,803
2019-08-04 10:45:41,V1,22620006651000,True,0,25,9,99,1617,90,228,783,65,978,301
2019-08-04 10:47:14,A,22590006617000,False,0,42,14,96,25,12,180,356,912,512,1004
2019-08-04 10:51:02,H,22800006649000,True,0,14,5,82,49,32,572,1178,520,773,245
2019-08-04 10:53:45,H,22860006665000,True,0,4,1,143,291,47,611,3174,,,731
2019-08-04 11:03:29,H,22850006670000,False,0,2,1,63,6,88,117,551,1732,734,182
2019-08-04 11:06:26,V1,22660006651000,True,0,29,10,49,539,59,404,463,616,885,868
2019-08-04 11:11:26,H,22550006646000,True,0,20,8,100,400,260,930,387,663,1375,337
2019-08-04 11:13:55,V1,22560006652000,True,0,22,8,36,174,32,627,526,415,614,313
2019-08-04 11:19:12,H,22640006652000,True,0,33,11,92,116,107,541,691,122,469,723
2019-08-04 11:27:52,H,22620006651000,True,0,23,9,18,562,9,289,2824,60,246,332
2019-08-04 11:32:54,V1,22640006651000,True,0,32,11,112,1188,110,457,602,361,383,399
2019-08-04 11:35:03,H,22710006653000,True,0,30,10,91,88,115,399,578,743,1753,941
2019-08-04 11:38:11,V1,22620006649000,True,0,34,11,81,432,268,65,734,382,500,391
2019-08-04 11:38:28,H,22620006651000,True,0,27,10,259,2,83,169,730,60,1560,982
2019-08-04 11:38:46,V1,22480006648000,True,0,18,7,170,62,94,65,1327,71,836,72
2019-08-04 11:38:58,H,22630006650000,True,0,25,9,96,1995,125,499,861,300,1247,325
2019-08-04 11:40:31,V1,22860006673000,True,0,3,1,125,1497,234,271,1903,2006,1026,1943
2019-08-04 11:40:55,V1,22550006641000,True,0,44,14,89,7481,40,2103,777,2566,909,611
2019-08-04 11:42:59,V1,22660006644000,True,0,35,12,290,7995,260,1094,297,1210,663,743
2019-08-04 11:46:01,H,22680006652000,True,0,28,10,339,362,21,218,1076,695,1163,971
2019-08-04 11:49:36,V1,22900006655000,True,0,2,1,42,639,235,1650,1403,1794,1156,198
2019-08-04 11:54:20,H,22610006650000,True,0,33,11,213,387,109,204,2111,188,761,390
2019-08-04 11:57:34,V1,22640006652000,True,0,23,9,173,3971,360,521,2355,145,997,600
