time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-08-04 08:00:19,H,22640006633000,True,0,41,13,271,976,56,620,1167,593,967,140
2019-08-04 08:04:23,H,22650006652000,True,0,26,9,66,25,76,537,1504,61,339,557
2019-08-04 08:12:13,A,22640006643000,True,0,37,12,39,240,22,385,3080,823,939,1360
2019-08-04 08:13:11,V1,22710006670000,False,0,9,4,134,1600,2,703,402,,,721
2019-08-04 08:28:48,A,22620006649000,True,0,32,11,31,24,73,46,1597,,,58
2019-08-04 08:40:25,A,23150006634000,False,0,7,3,102,19,27,887,572,2583,1483,2621
2019-08-04 08:41:06,A,22570006651000,True,0,22,8,89,18,115,221,1651,48,1281,228
2019-08-04 08:44:07,H,22620006651000,True,0,24,9,139,166,106,296,370,58,737,279
2019-08-04 08:54:22,V1,22620006650000,True,0,31,11,16,523,35,165,707,161,1398,331
2019-08-04 08:59:00,V1,22560006650000,True,0,23,9,153,1146,146,679,332,197,372,520
2019-08-04 08:59:35,H,22600006652000,True,0,20,8,317,1135,168,152,446,57,1252,152
2019-08-04 09:00:44,A,22600006649000,True,0,33,11,39,14,42,248,1770,316,1511,368
2019-08-04 09:03:32,V1,22930006694000,True,0,1,0,221,1861,178,620,654,3052,453,2501
2019-08-04 09:16:13,A,22760006655000,True,0,13,5,28,52,59,500,670,517,939,239
2019-08-04 09:20:36,H,22620006649000,True,0,34,11,632,347,3,59,1402,317,1324,373
2019-08-04 09:20:42,H,22560006650000,True,0,26,9,201,94,157,679,829,197,277,547
2019-08-04 09:35:24,H,22730006654000,True,0,29,10,174,91,6,549,2503,794,1877,878
2019-08-04 09:36:13,A,22610006650000,True,0,25,9,68,36,117,255,448,148,1116,300
2019-08-04 09:39:29,A,22640006652000,True,0,22,8,107,18,71,546,973,95,589,452
2019-08-04 09:39:50,V1,22690006654000,True,0,28,10,70,3482,166,511,1195,687,990,884
2019-08-04 09:45:54,A,22630006649000,True,0,32,11,123,170,5,168,461,398,846,171
2019-08-04 09:49:06,A,22630006637000,True,0,35,12,72,18,39,564,505,869,980,1335
2019-08-04 09:57:34,A,22610006650000,True,0,24,9,198,8,127,250,1126,153,1784,306
2019-08-04 10:08:00,H,22650006652000,True,0,23,9,114,107,108,520,819,58,917,571
2019-08-04 10:08:51,H,22620006649000,True,0,32,11,376,484,238,173,511,328,1039,362
2019-08-04 10:09:25,V1,22600006651000,True,0,21,8,464,3217,462,161,1314,278,395,440
2019-08-04 10:13:42,H,22630006650000,True,0,31,11,194,107,135,302,593,294,1365,361
