time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-08-04 08:00:19,H,22640006633000,True,0,41,13,271,976,56,627,1167,590,967,147
2019-08-04 08:04:23,H,22650006652000,True,0,26,9,66,25,76,537,1504,61,339,529
2019-08-04 08:12:13,A,22640006643000,True,0,37,12,39,240,22,398,3080,812,939,1371
2019-08-04 08:13:11,V1,22710006670000,False,0,10,4,134,1600,2,702,402,,,695
2019-08-04 08:28:48,A,22620006649000,True,0,34,11,31,24,73,49,1597,,,59
2019-08-04 08:40:25,A,23150006634000,False,0,8,3,102,19,27,904,572,2624,1483,2610
2019-08-04 08:41:06,A,22570006651000,True,0,22,8,89,18,115,222,1651,49,1281,280
2019-08-04 08:44:07,H,22620006651000,True,0,25,9,139,166,106,284,370,58,737,278
2019-08-04 08:54:22,V1,22620006650000,True,0,34,11,16,523,35,170,707,158,1398,337
2019-08-04 08:59:00,V1,22560006650000,True,0,23,9,153,1739,146,698,332,199,372,525
2019-08-04 08:59:35,H,22600006652000,True,0,20,8,317,1135,168,150,446,61,1252,149
2019-08-04 09:00:44,A,22600006649000,True,0,31,11,39,14,42,238,1770,292,1511,357
2019-08-04 09:03:32,V1,22930006694000,True,0,0,0,221,1861,178,615,654,3129,453,2635
2019-08-04 09:16:13,A,22760006655000,True,0,13,5,28,52,59,498,670,520,939,251
2019-08-04 09:20:36,H,22620006649000,True,0,33,11,632,347,3,63,1402,324,1324,361
2019-08-04 09:20:42,H,22560006650000,True,0,25,9,201,94,157,485,829,194,277,512
2019-08-04 09:35:24,H,22730006654000,True,0,28,10,174,191,6,561,2503,777,1877,856
2019-08-04 09:36:13,A,22610006650000,True,0,24,9,68,36,117,248,448,149,1116,313
2019-08-04 09:39:29,A,22640006652000,True,0,30,10,107,18,71,471,973,95,589,881
2019-08-04 09:39:50,V1,22690006654000,True,0,27,10,70,3482,166,505,1195,707,990,885
2019-08-04 09:45:54,A,22630006649000,True,0,34,11,123,170,5,171,461,406,846,372
2019-08-04 09:49:06,A,22630006637000,True,0,36,12,72,18,39,550,505,906,980,1351
2019-08-04 09:57:34,A,22610006650000,True,0,20,8,198,8,127,310,1126,146,1784,556
2019-08-04 10:08:00,H,22650006652000,True,0,26,9,114,107,108,519,819,59,917,361
2019-08-04 10:08:51,H,22620006649000,True,0,32,11,376,484,238,58,511,327,1039,351
2019-08-04 10:09:25,V1,22600006651000,True,0,21,8,464,3217,462,159,1314,262,395,417
2019-08-04 10:13:42,H,22630006650000,True,0,31,11,194,107,135,305,593,304,1365,364
2019-08-04 10:13:50,H,23000006625000,False,0,7,3,326,475,39,1337,233,2928,1251,2882
2019-08-04 10:19:07,H,22700006663000,True,0,9,4,26,130,93,59,1384,1253,1082,1362
2019-08-04 10:23:16,H,22620006649000,True,0,34,11,119,3,155,61,465,333,647,369
2019-08-04 10:25:43,H,22650006641000,True,0,38,12,172,288,129,307,1102,1124,1460,1343
2019-08-04 10:25:48,H,22640006641000,True,0,35,12,97,122,24,303,356,1214,1352,366
2019-08-04 10:30:08,A,22860006665000,True,0,3,1,48,16,138,500,1431,,,689
2019-08-04 10:30:39,H,22560006606000,True,0,43,14,43,245,27,990,2224,1878,2222,1136
2019-08-04 10:32:31,V1,22620006649000,True,0,35,12,20,3270,787,62,1051,375,700,1585
2019-08-04 10:32:40,A,22610006653000,True,0,23,9,152,63,62,243,1694,201,1542,534
2019-08-04 10:33:03,V1,22610006652000,True,0,26,9,25,1316,106,409,769,65,837,65
2019-08-04 10:35:17,H,22640006654000,True,0,25,9,59,55,132,497,514,312,594,380
2019-08-04 10:35:42,V1,22640006652000,True,0,24,9,35,520,586,457,905,134,1446,368
2019-08-04 10:41:21,V1,22670006645000,True,0,34,11,110,3013,81,1108,1383,1198,1013,512
2019-08-04 10:45:41,V1,22620006651000,True,0,25,9,99,1617,90,222,783,67,978,317
2019-08-04 10:47:14,A,22590006617000,False,0,42,14,96,25,12,187,356,907,512,1026
2019-08-04 10:51:02,H,22800006649000,True,0,13,5,82,49,32,569,1178,517,773,239
2019-08-04 10:53:45,H,22860006665000,True,0,2,1,143,291,47,617,3174,,,722
2019-08-04 11:03:29,H,22850006670000,False,0,1,0,63,6,88,1063,551,1790,734,2724
2019-08-04 11:06:26,V1,22660006651000,True,0,32,11,49,1018,59,746,463,621,885,517
2019-08-04 11:11:26,H,22550006646000,True,0,22,8,100,400,260,854,387,675,1375,332
2019-08-04 11:13:55,V1,22560006652000,True,0,20,8,36,442,32,645,526,434,614,331
2019-08-04 11:19:12,H,22640006652000,True,0,29,10,92,116,107,450,691,118,469,606
2019-08-04 11:27:52,H,22620006651000,True,0,31,11,18,562,9,333,2824,60,246,386
2019-08-04 11:32:54,V1,22640006651000,True,0,29,10,112,1188,110,272,602,367,383,1034
2019-08-04 11:35:03,H,22710006653000,True,0,30,10,91,88,115,393,578,697,1753,914
2019-08-04 11:38:11,V1,22620006649000,True,0,24,9,81,432,268,550,734,408,500,328
2019-08-04 11:38:28,H,22620006651000,True,0,33,11,259,2,83,335,730,60,1560,392
2019-08-04 11:38:46,V1,22480006648000,True,0,19,7,170,62,94,66,1327,70,836,69
2019-08-04 11:38:58,H,22630006650000,True,0,32,11,96,1995,125,210,861,292,1247,381
2019-08-04 11:40:31,V1,22860006673000,True,0,4,1,125,1497,234,264,1903,1960,1026,1937
2019-08-04 11:40:55,V1,22550006641000,True,0,42,14,89,7481,40,2046,777,2572,909,608
2019-08-04 11:42:59,V1,22660006644000,True,0,38,12,290,8901,260,1067,297,1170,663,1565
2019-08-04 11:46:01,H,22680006652000,True,0,27,10,339,362,21,215,1076,713,1163,959
2019-08-04 11:49:36,V1,22900006655000,True,0,12,5,42,639,235,1741,1403,1817,1156,251
2019-08-04 11:54:20,H,22610006650000,True,0,25,9,213,387,109,310,2111,181,761,255
2019-08-04 11:57:34,V1,22640006652000,True,0,25,9,173,3971,360,563,2355,144,997,651
2019-08-04 11:58:37,V1,22620006649000,True,0,21,8,10,992,48,647,1334,,,625
2019-08-04 12:04:26,A,22630006639000,True,0,36,12,101,7,100,407,1586,,,576
2019-08-04 12:05:52,A,22430006636000,False,0,16,6,275,7,18,522,908,,,1142
2019-08-04 12:08:12,V1,22430006640000,True,0,16,6,924,1316,489,70,536,1177,997,1002
2019-08-04 12:09:54,V1,22620006649000,True,0,28,10,239,135,196,995,891,392,618,980
2019-08-04 12:15:07,A,22540006649000,True,0,26,9,29,3,50,570,2097,,,1055
2019-08-04 12:20:21,H,22630006648000,True,0,33,11,92,896,175,228,523,543,1361,396
2019-08-04 12:27:16,H,22560006655000,True,0,20,8,104,2027,289,572,2570,,,125
2019-08-04 12:28:43,V1,22480006648000,True,0,18,7,4,1544,191,72,548,70,796,69
2019-08-04 12:34:34,H,22880006689000,True,0,0,0,237,52,125,467,905,2546,1646,2709
2019-08-04 12:38:59,H,22620006651000,True,0,23,9,137,114,102,274,1879,59,923,341
2019-08-04 12:44:12,V1,22620006649000,True,0,25,9,156,8124,263,598,1160,398,1537,195
2019-08-04 12:49:01,A,23030006666000,True,0,5,2,30,19,73,609,1293,2437,592,3369
2019-08-04 12:51:21,H,22660006644000,True,0,34,11,12,120,4,844,3003,984,461,535
2019-08-04 12:53:51,V1,22620006651000,True,0,22,8,128,925,102,608,649,70,849,600
2019-08-04 12:55:37,A,23170006654000,False,0,8,3,260,27,27,1398,843,2775,1702,2799
2019-08-04 12:56:36,A,22480006648000,True,0,19,7,48,53,81,48,403,,,70
2019-08-04 13:14:10,H,22620006649000,True,0,31,11,77,248,7,61,1035,341,1004,388
2019-08-04 13:16:14,V1,22610006651000,True,0,26,9,159,341,190,197,863,196,496,70
2019-08-04 13:22:21,A,22670006647000,True,0,29,10,771,18,30,618,1413,679,468,976
2019-08-04 13:25:38,A,22780006653000,True,0,11,5,107,49,99,438,810,401,2040,258
2019-08-04 13:30:30,H,22530006622000,True,0,44,14,70,560,129,576,1188,1528,846,1135
2019-08-04 13:34:03,A,22460006640000,True,0,19,7,73,9,50,732,730,727,607,68
2019-08-04 13:37:04,A,22630006649000,True,0,32,11,34,14,7,166,507,412,808,189
2019-08-04 13:38:03,H,22780006652000,True,0,13,5,119,454,105,446,725,408,1199,258
2019-08-04 13:39:01,V1,22460006640000,True,0,17,7,178,2139,64,1096,708,1114,726,72
2019-08-04 13:39:33,V1,22640006650000,True,0,24,9,27,306,205,587,834,369,827,338
2019-08-04 13:41:02,V1,22610006652000,True,0,21,8,473,3945,249,538,1177,72,438,474
2019-08-04 13:41:52,V1,22590006652000,True,0,21,8,244,1074,110,70,1033,,,70
2019-08-04 13:42:13,H,22620006649000,True,0,33,11,214,88,70,58,2103,339,172,378
2019-08-04 13:51:09,V1,22600006615000,True,0,41,13,218,1910,315,1683,814,1788,334,169
2019-08-04 13:52:49,V1,22620006649000,True,0,31,11,56,612,253,73,552,387,864,411
2019-08-04 13:56:31,H,22560006653000,True,0,20,8,90,183,122,167,1206,,,250
2019-08-04 13:59:40,V1,22640006649000,True,0,34,11,150,1475,104,416,2036,638,1705,409
2019-08-04 14:00:30,H,22610006629000,True,0,43,14,422,275,93,654,2153,715,606,1161
2019-08-04 14:10:29,A,22620006649000,True,0,32,11,37,1,9,136,1226,270,1235,187
2019-08-04 14:11:19,A,22630006649000,True,0,26,9,85,21,1,526,2857,,,819
2019-08-04 14:12:31,H,22440006643000,True,0,15,6,110,98,4,429,1158,981,918,1005
2019-08-04 14:13:28,H,22720006658000,True,0,9,4,49,71,103,593,2148,1166,953,610
2019-08-04 14:19:38,A,22530006624000,False,0,40,13,107,11,55,1119,999,1265,1113,164
2019-08-04 14:20:52,H,22530006650000,True,0,20,8,190,132,10,440,363,476,125,333
2019-08-04 14:21:01,H,22670006645000,True,0,36,12,42,94,10,692,1704,1039,635,693
2019-08-04 14:23:56,H,22630006652000,True,0,23,9,212,138,104,348,1651,196,948,259
2019-08-04 14:24:11,H,22680006635000,False,0,39,13,174,263,151,973,3743,956,1009,170
2019-08-04 14:26:42,A,22780006653000,True,0,14,5,29,25,37,429,3209,396,1016,249
2019-08-04 14:30:12,H,22710006655000,True,0,27,10,167,655,49,651,749,802,766,669
2019-08-04 14:32:43,H,22720006651000,True,0,11,5,10,186,101,414,1586,536,1003,255
