time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-08-04 08:00:19,H,22640006633000,True,0,12,5,271,976,56,2067,1167,1765,967,1337
2019-08-04 08:04:23,H,22650006652000,True,0,20,8,66,25,76,690,1504,59,339,694
2019-08-04 08:12:13,A,22640006643000,True,0,23,9,39,240,22,971,3080,919,939,528
2019-08-04 08:13:11,V1,22710006670000,False,0,30,10,134,1600,2,1794,402,,,1798
2019-08-04 08:28:48,A,22620006649000,True,0,4,1,31,24,73,1574,1597,,,1952
2019-08-04 08:40:25,A,23150006634000,False,0,8,3,102,19,27,872,572,3336,1483,3609
2019-08-04 08:41:06,A,22570006651000,True,0,40,13,89,18,115,1601,1651,412,1281,2172
2019-08-04 08:44:07,H,22620006651000,True,0,35,12,139,166,106,1369,370,555,737,1536
2019-08-04 08:54:22,V1,22620006650000,True,0,41,13,16,523,35,1940,707,1326,1398,2929
2019-08-04 08:59:00,V1,22560006650000,True,0,15,6,153,1146,146,1097,332,571,372,1553
2019-08-04 08:59:35,H,22600006652000,True,0,29,10,317,1135,168,1044,446,658,1252,873
2019-08-04 09:00:44,A,22600006649000,True,0,14,5,39,14,42,1072,1770,1428,1511,2489
2019-08-04 09:03:32,V1,22930006694000,True,0,7,3,221,1861,178,3830,654,3508,453,4004
2019-08-04 09:16:13,A,22760006655000,True,0,19,7,28,52,59,1702,670,925,939,883
2019-08-04 09:20:36,H,22620006649000,True,0,2,1,632,347,3,1955,1402,1258,1324,1739
2019-08-04 09:20:42,H,22560006650000,True,0,42,14,201,94,157,2210,829,200,277,523
2019-08-04 09:35:24,H,22730006654000,True,0,17,7,174,91,6,2090,2503,2053,1877,70
2019-08-04 09:36:13,A,22610006650000,True,0,32,11,68,36,117,167,448,1485,1116,1907
2019-08-04 09:39:29,A,22640006652000,True,0,43,14,107,18,71,1411,973,454,589,2298
2019-08-04 09:39:50,V1,22690006654000,True,0,36,12,70,3482,166,1669,1195,917,990,1776
2019-08-04 09:45:54,A,22630006649000,True,0,34,11,123,170,5,173,461,544,846,540
2019-08-04 09:49:06,A,22630006637000,True,0,27,10,72,18,39,1362,505,1717,980,310
2019-08-04 09:57:34,A,22610006650000,True,0,37,12,198,8,127,1016,1126,1518,1784,1344
2019-08-04 10:08:00,H,22650006652000,True,0,30,10,114,107,108,804,819,461,917,66
2019-08-04 10:08:51,H,22620006649000,True,0,21,8,376,484,238,547,511,1316,1039,1185
2019-08-04 10:09:25,V1,22600006651000,True,0,27,10,464,3217,462,943,1314,392,395,72
2019-08-04 10:13:42,H,22630006650000,True,0,31,11,194,107,135,304,593,876,1365,143
2019-08-04 10:13:50,H,23000006625000,False,0,13,5,326,475,39,3031,233,2943,1251,264
2019-08-04 10:19:07,H,22700006663000,True,0,44,14,26,130,93,2862,1384,1650,1082,2619
2019-08-04 10:23:16,H,22620006649000,True,0,4,1,119,3,155,1939,465,1239,647,1750
2019-08-04 10:25:43,H,22650006641000,True,0,3,1,172,288,129,2365,1102,1165,1460,2633
2019-08-04 10:25:48,H,22640006641000,True,0,42,14,97,122,24,1204,356,1251,1352,2679
2019-08-04 10:30:08,A,22860006665000,True,0,35,12,48,16,138,1964,1431,,,1674
2019-08-04 10:30:39,H,22560006606000,True,0,20,8,43,245,27,2967,2224,2867,2222,179
2019-08-04 10:32:31,V1,22620006649000,True,0,5,2,20,3270,787,3418,1051,827,700,767
2019-08-04 10:32:40,A,22610006653000,True,0,19,7,152,63,62,428,1694,944,1542,2350
