time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-08-04 08:00:19,H,22640006633000,True,0,30,10,271,976,56,1685,1167,562,967,1850
2019-08-04 08:04:23,H,22650006652000,True,0,14,5,66,25,76,1158,1504,648,339,1303
2019-08-04 08:12:13,A,22640006643000,True,0,10,4,39,240,22,1643,3080,1269,939,1403
2019-08-04 08:13:11,V1,22710006670000,False,0,39,13,134,1600,2,3497,402,,,3420
2019-08-04 08:28:48,A,22620006649000,True,0,4,1,31,24,73,1570,1597,,,2164
2019-08-04 08:40:25,A,23150006634000,False,0,35,12,102,19,27,3808,572,3526,1483,878
2019-08-04 08:41:06,A,22570006651000,True,0,22,8,89,18,115,219,1651,1155,1281,1510
2019-08-04 08:44:07,H,22620006651000,True,0,26,9,139,166,106,286,370,1441,737,1328
2019-08-04 08:54:22,V1,22620006650000,True,0,16,6,16,523,35,1571,707,168,1398,1771
2019-08-04 08:59:00,V1,22560006650000,True,0,7,3,153,1146,146,3503,332,757,372,3931
2019-08-04 08:59:35,H,22600006652000,True,0,34,11,317,1135,168,626,446,246,1252,834
2019-08-04 09:00:44,A,22600006649000,True,0,8,3,39,14,42,2703,1770,387,1511,3811
2019-08-04 09:03:32,V1,22930006694000,True,0,0,0,221,4012,178,690,654,4520,453,373
2019-08-04 09:16:13,A,22760006655000,True,0,42,14,28,52,59,1998,670,946,939,2537
2019-08-04 09:20:36,H,22620006649000,True,0,25,9,632,347,3,520,1402,1687,1324,2189
2019-08-04 09:20:42,H,22560006650000,True,0,29,10,201,94,157,1136,829,1957,277,2077
2019-08-04 09:35:24,H,22730006654000,True,0,11,5,174,91,6,575,2503,962,1877,1250
2019-08-04 09:36:13,A,22610006650000,True,0,18,7,68,36,117,997,448,474,1116,1638
2019-08-04 09:39:29,A,22640006652000,True,0,23,9,107,18,71,340,973,889,589,1563
2019-08-04 09:39:50,V1,22690006654000,True,0,34,11,70,3482,166,817,1195,736,990,376
2019-08-04 09:45:54,A,22630006649000,True,0,5,2,123,170,5,2492,461,1174,846,4394
2019-08-04 09:49:06,A,22630006637000,True,0,4,1,72,18,39,2360,505,1172,980,2443
2019-08-04 09:57:34,A,22610006650000,True,0,21,8,198,8,127,1347,1126,250,1784,423
2019-08-04 10:08:00,H,22650006652000,True,0,1,0,114,107,108,2684,819,58,917,2904
2019-08-04 10:08:51,H,22620006649000,True,0,27,10,376,484,238,861,511,337,1039,63
2019-08-04 10:09:25,V1,22600006651000,True,0,32,11,464,5789,462,450,1314,2373,395,2006
2019-08-04 10:13:42,H,22630006650000,True,0,22,8,194,107,135,471,593,865,1365,301
2019-08-04 10:13:50,H,23000006625000,False,0,44,14,326,475,39,3313,233,4068,1251,2454
2019-08-04 10:19:07,H,22700006663000,True,0,33,11,26,130,93,1384,1384,2480,1082,337
2019-08-04 10:23:16,H,22620006649000,True,0,30,10,119,3,155,855,465,1668,647,2082
2019-08-04 10:25:43,H,22650006641000,True,0,43,14,172,288,129,1433,1102,1327,1460,2522
2019-08-04 10:25:48,H,22640006641000,True,0,17,7,97,122,24,1727,356,1387,1352,1463
2019-08-04 10:30:08,A,22860006665000,True,0,36,12,48,16,138,2031,1431,,,948
2019-08-04 10:30:39,H,22560006606000,True,0,14,5,43,245,27,3299,2224,3560,2222,2452
2019-08-04 10:32:31,V1,22620006649000,True,0,35,12,20,3270,787,279,1051,860,700,1666
2019-08-04 10:32:40,A,22610006653000,True,0,9,4,152,63,62,1055,1694,305,1542,1427
2019-08-04 10:33:03,V1,22610006652000,True,0,31,11,25,1316,106,566,769,552,837,787
2019-08-04 10:35:17,H,22640006654000,True,0,38,12,59,55,132,1305,514,487,594,1677
2019-08-04 10:35:42,V1,22640006652000,True,0,19,7,35,1659,586,1589,905,131,1446,1719
2019-08-04 10:41:21,V1,22670006645000,True,0,39,13,110,3013,81,1766,1383,1227,1013,1803
2019-08-04 10:45:41,V1,22620006651000,True,0,27,10,99,1617,90,63,783,592,978,1137
2019-08-04 10:47:14,A,22590006617000,False,0,41,13,96,25,12,825,356,2280,512,2809
2019-08-04 10:51:02,H,22800006649000,True,0,42,14,82,49,32,2743,1178,2345,773,3255
2019-08-04 10:53:45,H,22860006665000,True,0,37,12,143,291,47,2260,3174,,,2966
2019-08-04 11:03:29,H,22850006670000,False,0,3,1,63,6,88,113,551,2952,734,2240
2019-08-04 11:06:26,V1,22660006651000,True,0,18,7,49,539,59,1815,463,880,885,1027
