time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-11-12 07:00:19,V1,22590006652000,True,0,20,8,192,6482,77,107,904,230,827,232
2019-11-12 07:02:58,V1,22630006648000,True,0,31,11,128,5326,2,398,2269,785,756,236
2019-11-12 07:04:23,A,22650006649000,True,0,34,11,47,5,35,420,1787,475,417,564
2019-11-12 07:12:13,A,22670006645000,True,0,37,12,41,196,16,846,3155,816,956,1125
2019-11-12 07:13:11,V1,23080006679000,False,0,6,2,140,1824,2,1893,340,,,2115
2019-11-12 07:13:52,A,22620006649000,True,0,25,9,146,18,76,306,4680,,,399
2019-11-12 07:23:51,A,22620006649000,True,0,24,9,363,16,8,402,1167,263,617,515
2019-11-12 07:26:11,A,22700006654000,True,0,30,10,76,4,78,436,1287,554,1592,106
2019-11-12 07:28:48,A,22620006649000,True,0,23,9,33,20,69,419,1781,,,932
2019-11-12 07:33:32,V1,22680006648000,True,0,27,10,116,4019,168,1028,214,1610,930,1196
2019-11-12 07:35:24,V1,22760006654000,True,0,12,5,81,64,93,1061,1240,1180,849,385
2019-11-12 07:38:06,V1,22660006628000,False,0,39,13,183,4066,220,271,595,85,929,221
2019-11-12 07:39:29,A,22560006654000,True,0,21,8,116,15,67,376,1144,389,601,500
2019-11-12 07:40:25,A,22570006630000,False,0,42,14,111,16,20,583,703,912,1521,1738
2019-11-12 07:59:00,V1,22640006632000,True,0,41,13,161,1312,131,856,355,772,386,211
2019-11-12 08:01:55,H,22860006673000,True,0,3,1,202,37,22,227,3340,1747,579,2513
2019-11-12 08:02:09,H,22500006649000,True,0,18,7,149,340,140,396,1451,401,423,109
2019-11-12 08:03:32,V1,22780006651000,True,0,14,5,242,2674,169,1040,690,757,467,314
2019-11-12 08:16:10,A,22550006614000,False,0,43,14,176,105,43,839,2249,,,1281
2019-11-12 08:16:46,V1,22620006649000,True,0,34,11,100,3216,16,90,730,487,1219,506
2019-11-12 08:20:36,V1,22620006649000,True,0,33,11,381,2973,6,90,1022,485,1056,431
2019-11-12 08:20:42,V1,22590006654000,True,0,22,8,143,887,333,573,705,421,288,407
2019-11-12 08:22:08,H,22630006651000,True,0,30,10,379,351,138,170,847,162,515,259
2019-11-12 08:28:19,H,22600006650000,True,0,25,9,105,967,126,199,1211,356,189,90
2019-11-12 08:35:17,A,22660006641000,True,0,38,12,43,8,74,363,796,782,718,1877
2019-11-12 08:35:24,H,22870006676000,False,0,2,1,201,106,5,362,2615,1764,1818,2133
2019-11-12 08:35:58,A,22560006654000,True,0,21,8,81,18,48,370,819,393,1334,89
2019-11-12 08:36:13,A,22480006653000,False,0,17,7,74,30,110,538,555,542,1135,89
2019-11-12 08:45:35,V1,22660006641000,True,0,36,12,43,1564,103,682,5109,,,573
2019-11-12 08:45:45,H,22640006639000,True,0,35,12,131,244,88,252,1391,1136,1207,1871
2019-11-12 08:49:23,H,22820006646000,True,0,13,5,360,40,59,916,3482,912,1331,281
2019-11-12 08:57:34,H,22630006650000,True,0,32,11,439,59,268,290,1058,296,1472,429
2019-11-12 08:58:01,A,22650006651000,True,0,37,12,26,1,109,171,2128,430,1731,837
2019-11-12 09:01:37,V1,22760006650000,True,0,12,5,379,338,277,320,3928,76,1349,282
2019-11-12 09:08:00,H,22570006643000,True,0,44,14,132,124,113,1613,950,2087,905,754
2019-11-12 09:08:49,H,22440006641000,True,0,15,6,69,194,159,58,1771,853,1600,1144
2019-11-12 09:08:51,A,22630006650000,True,0,30,10,221,38,116,154,792,231,1290,1329
2019-11-12 09:09:25,V1,22660006649000,True,0,37,12,524,3541,458,545,1286,792,409,84
2019-11-12 09:13:42,A,22870006674000,True,0,4,1,123,14,75,344,908,1468,1669,2075
2019-11-12 09:19:07,H,23000006673000,False,0,6,2,30,151,97,506,1523,2269,1058,3597
2019-11-12 09:21:56,V1,22710006657000,True,0,9,4,174,499,137,1055,1056,1536,542,1197
2019-11-12 09:23:08,H,22560006653000,True,0,20,8,262,46,32,464,1914,468,2554,297
2019-11-12 09:23:16,A,22600006650000,True,0,22,8,79,2,85,221,725,290,784,572
2019-11-12 09:25:43,A,22690006653000,True,0,29,10,110,28,72,308,1484,502,1773,721
2019-11-12 09:25:48,H,22520006647000,True,0,21,8,113,142,22,565,389,577,1304,373
2019-11-12 09:26:08,A,22570006614000,True,0,43,14,78,16,38,431,3659,1198,1153,1325
2019-11-12 09:30:39,A,22450006651000,False,0,18,7,33,25,11,401,2345,392,2812,83
2019-11-12 09:32:08,H,22620006649000,True,0,24,9,266,188,308,513,716,334,763,362
2019-11-12 09:32:31,H,22630006651000,True,0,25,9,38,525,372,375,1598,169,807,280
2019-11-12 09:35:42,V1,22640006652000,True,0,31,11,36,610,589,628,927,162,1442,588
2019-11-12 09:40:18,V1,22530006649000,True,0,19,7,122,1950,146,1009,807,811,542,1217
2019-11-12 09:41:21,V1,22790006682000,True,0,0,0,115,3307,69,1559,1350,3159,1059,3109
