time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-11-12 07:00:19,V1,22590006652000,True,0,9,4,192,6482,77,3155,904,1649,827,78
2019-11-12 07:02:58,V1,22630006648000,True,0,21,8,128,5326,2,1281,2269,1479,756,363
2019-11-12 07:04:23,A,22650006649000,True,0,10,4,47,5,35,1189,1787,638,417,2701
2019-11-12 07:12:13,A,22670006645000,True,0,39,13,41,196,16,1283,3155,920,956,2955
2019-11-12 07:13:11,V1,23080006679000,False,0,18,7,140,1824,2,7008,340,,,6510
2019-11-12 07:13:52,A,22620006649000,True,0,33,11,146,18,76,46,4680,,,109
2019-11-12 07:23:51,A,22620006649000,True,0,8,3,363,16,8,2609,1167,267,617,547
2019-11-12 07:26:11,A,22700006654000,True,0,15,6,76,4,78,1611,1287,721,1592,2781
2019-11-12 07:28:48,A,22620006649000,True,0,41,13,33,20,69,1410,1781,,,1547
2019-11-12 07:33:32,V1,22680006648000,True,0,41,13,116,4019,168,2776,214,2953,930,3384
2019-11-12 07:35:24,V1,22760006654000,True,0,20,8,81,64,93,2574,1240,2913,849,226
2019-11-12 07:38:06,V1,22660006628000,False,0,27,10,183,4066,220,3369,595,3811,929,83
2019-11-12 07:39:29,A,22560006654000,True,0,32,11,116,15,67,755,1144,843,601,1387
2019-11-12 07:40:25,A,22570006630000,False,0,5,2,111,16,20,3602,703,1765,1521,4522
2019-11-12 07:59:00,V1,22640006632000,True,0,36,12,161,1312,131,1517,355,3059,386,2116
2019-11-12 08:01:55,H,22860006673000,True,0,30,10,202,37,22,1559,3340,2067,579,769
2019-11-12 08:02:09,H,22500006649000,True,0,28,10,149,340,140,1676,1451,1231,423,1546
2019-11-12 08:03:32,V1,22780006651000,True,0,0,0,242,2112,169,3998,690,2136,467,77
2019-11-12 08:16:10,A,22550006614000,False,0,4,1,176,105,43,3165,2249,,,1757
2019-11-12 08:16:46,V1,22620006649000,True,0,19,7,100,3216,16,2014,730,1874,1219,2816
2019-11-12 08:20:36,V1,22620006649000,True,0,40,13,381,2973,6,2539,1022,2249,1056,200
2019-11-12 08:20:42,V1,22590006654000,True,0,13,5,143,887,333,2688,705,513,288,2075
2019-11-12 08:22:08,H,22630006651000,True,0,25,9,379,351,138,375,847,317,515,762
2019-11-12 08:28:19,H,22600006650000,True,0,2,1,105,967,126,2203,1211,1528,189,80
2019-11-12 08:35:17,A,22660006641000,True,0,34,11,43,8,74,710,796,1002,718,405
2019-11-12 08:35:24,H,22870006676000,False,0,3,1,201,106,5,376,2615,2021,1818,2492
2019-11-12 08:35:58,A,22560006654000,True,0,44,14,81,18,48,2046,819,404,1334,4253
2019-11-12 08:36:13,A,22480006653000,False,0,23,9,74,30,110,1218,555,1139,1135,369
2019-11-12 08:45:35,V1,22660006641000,True,0,31,11,43,1564,103,1324,5109,,,425
2019-11-12 08:45:45,H,22640006639000,True,0,8,3,131,244,88,1328,1391,1145,1207,5472
2019-11-12 08:49:23,H,22820006646000,True,0,24,9,360,40,59,1932,3482,1818,1331,399
2019-11-12 08:57:34,H,22630006650000,True,0,26,9,439,59,268,503,1058,1803,1472,395
2019-11-12 08:58:01,A,22650006651000,True,0,32,11,26,1,109,894,2128,461,1731,421
2019-11-12 09:01:37,V1,22760006650000,True,0,29,10,379,338,277,1201,3928,1780,1349,1353
2019-11-12 09:08:00,H,22570006643000,True,0,1,0,132,124,113,4248,950,3235,905,4064
2019-11-12 09:08:49,H,22440006641000,True,0,35,12,69,194,159,2136,1771,1047,1600,184
2019-11-12 09:08:51,A,22630006650000,True,0,6,2,221,38,116,2544,792,692,1290,4405
2019-11-12 09:09:25,V1,22660006649000,True,0,17,7,524,3541,458,2128,1286,2154,409,3773
2019-11-12 09:13:42,A,22870006674000,True,0,14,5,123,14,75,1453,908,1731,1669,730
2019-11-12 09:19:07,H,23000006673000,False,0,25,9,30,151,97,2765,1523,2882,1058,494
2019-11-12 09:21:56,V1,22710006657000,True,0,34,11,174,499,137,2216,1056,2024,542,847
2019-11-12 09:23:08,H,22560006653000,True,0,22,8,262,46,32,455,1914,608,2554,216
2019-11-12 09:23:16,A,22600006650000,True,0,10,4,79,2,85,1284,725,346,784,2112
2019-11-12 09:25:43,A,22690006653000,True,0,38,12,110,28,72,1135,1484,478,1773,733
2019-11-12 09:25:48,H,22520006647000,True,0,37,12,113,142,22,1624,389,1082,1304,2032
2019-11-12 09:26:08,A,22570006614000,True,0,33,11,78,16,38,1805,3659,2106,1153,819
2019-11-12 09:30:39,A,22450006651000,False,0,16,6,33,25,11,766,2345,1341,2812,2366
2019-11-12 09:32:08,H,22620006649000,True,0,7,3,266,188,308,3180,716,659,763,797
2019-11-12 09:32:31,H,22630006651000,True,0,12,5,38,525,372,1154,1598,1795,807,86
2019-11-12 09:35:42,V1,22640006652000,True,0,23,9,36,642,589,858,927,724,1442,80
2019-11-12 09:40:18,V1,22530006649000,True,0,2,1,122,1950,146,2494,807,1729,542,87
2019-11-12 09:41:21,V1,22790006682000,True,0,14,5,115,4213,69,3334,1350,3937,1059,1582
2019-11-12 09:42:07,V1,22870006676000,False,0,11,5,80,2650,96,2238,1322,4319,824,2875
2019-11-12 09:45:41,H,22640006653000,True,0,43,14,171,224,53,1860,1161,1683,1222,274
2019-11-12 09:51:02,H,22640006640000,True,0,42,14,96,57,30,1254,1336,1171,763,270
2019-11-12 09:55:53,H,22640006627000,True,0,39,13,1601,441,130,280,1284,2467,810,367
2019-11-12 10:01:31,V1,22620006649000,True,0,28,10,134,1555,429,1102,747,727,617,226
2019-11-12 10:03:29,H,22560006614000,False,0,4,1,74,8,91,885,623,2791,724,2990
2019-11-12 10:06:26,V1,22620006651000,True,0,15,6,51,631,50,2092,495,395,909,341
2019-11-12 10:13:55,V1,22670006647000,True,0,44,14,37,218,27,3104,560,1824,634,3417
2019-11-12 10:20:20,A,22880006688000,True,0,20,8,117,57,5,2412,2325,2978,1163,2914
2019-11-12 10:26:20,V1,22590006650000,True,0,10,4,4,3399,38,2533,1027,786,2012,84
2019-11-12 10:26:24,V1,22610006652000,True,0,34,11,200,5742,7,728,1449,685,787,341
2019-11-12 10:26:37,H,22600006615000,True,0,30,10,88,14,29,2250,1058,2478,1254,1501
2019-11-12 10:28:21,V1,22650006631000,True,0,42,14,4,2486,337,569,251,2403,1269,3086
2019-11-12 10:28:43,V1,22630006652000,True,0,36,12,4,1885,185,1935,583,478,815,979
2019-11-12 10:32:54,V1,22660006628000,False,0,5,2,117,3812,95,5621,637,3055,397,4238
2019-11-12 10:34:28,H,22720006654000,True,0,9,4,199,34,56,2093,816,939,749,304
2019-11-12 10:35:05,A,22640006654000,True,0,26,9,52,41,31,1215,1079,929,597,1912
2019-11-12 10:38:11,H,22660006653000,True,0,13,5,142,1168,143,1047,1075,819,556,1354
2019-11-12 10:38:28,A,22630006653000,True,0,0,0,159,426,42,365,1087,266,1881,83
2019-11-12 10:38:33,V1,22630006652000,True,0,21,8,256,2893,15,899,267,2494,873,436
