time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-11-12 07:00:19,V1,22590006652000,True,0,39,13,192,8097,77,3165,904,1430,827,517
2019-11-12 07:02:58,V1,22630006648000,True,0,32,11,128,5326,2,396,2269,1620,756,1859
2019-11-12 07:04:23,A,22650006649000,True,0,32,11,47,5,35,401,1787,740,417,1437
2019-11-12 07:12:13,A,22670006645000,True,0,23,9,41,196,16,948,3155,802,956,942
2019-11-12 07:13:11,V1,23080006679000,False,0,25,9,140,1824,2,5813,340,,,1084
2019-11-12 07:13:52,A,22620006649000,True,0,12,5,146,18,76,893,4680,,,1970
2019-11-12 07:23:51,A,22620006649000,True,0,21,8,363,16,8,425,1167,417,617,700
2019-11-12 07:26:11,A,22700006654000,True,0,19,7,76,4,78,1458,1287,748,1592,468
2019-11-12 07:28:48,A,22620006649000,True,0,5,2,33,20,69,2547,1781,,,5659
2019-11-12 07:33:32,V1,22680006648000,True,0,14,5,116,4019,168,1717,214,1882,930,364
2019-11-12 07:35:24,V1,22760006654000,True,0,20,8,81,64,93,2620,1240,1157,849,2297
2019-11-12 07:38:06,V1,22660006628000,False,0,29,10,183,44578,220,2522,595,3488,929,2260
2019-11-12 07:39:29,A,22560006654000,True,0,41,13,116,15,67,1930,1144,628,601,2358
2019-11-12 07:40:25,A,22570006630000,False,0,9,4,111,16,20,2479,703,2000,1521,2398
2019-11-12 07:59:00,V1,22640006632000,True,0,21,8,161,1312,131,3230,355,662,386,3103
2019-11-12 08:01:55,H,22860006673000,True,0,36,12,202,37,22,2624,3340,1943,579,1662
2019-11-12 08:02:09,H,22500006649000,True,0,30,10,149,340,140,1651,1451,397,423,743
2019-11-12 08:03:32,V1,22780006651000,True,0,2,1,242,5703,169,2259,690,3094,467,85
2019-11-12 08:16:10,A,22550006614000,False,0,3,1,176,105,43,3286,2249,,,6182
2019-11-12 08:16:46,V1,22620006649000,True,0,0,0,100,4028,16,4016,730,835,1219,87
2019-11-12 08:20:36,V1,22620006649000,True,0,10,4,381,4626,6,2206,1022,1591,1056,1692
2019-11-12 08:20:42,V1,22590006654000,True,0,34,11,143,6197,333,1073,705,1701,288,1853
2019-11-12 08:22:08,H,22630006651000,True,0,33,11,379,351,138,423,847,317,515,1016
2019-11-12 08:28:19,H,22600006650000,True,0,4,1,105,3063,126,1518,1211,446,189,686
2019-11-12 08:35:17,A,22660006641000,True,0,31,11,43,8,74,728,796,804,718,474
2019-11-12 08:35:24,H,22870006676000,False,0,40,13,201,106,5,3232,2615,2294,1818,2841
2019-11-12 08:35:58,A,22560006654000,True,0,28,10,81,18,48,1109,819,390,1334,1621
2019-11-12 08:36:13,A,22480006653000,False,0,22,8,74,30,110,993,555,1326,1135,742
2019-11-12 08:45:35,V1,22660006641000,True,0,38,12,43,1564,103,682,5109,,,580
2019-11-12 08:45:45,H,22640006639000,True,0,18,7,131,244,88,2041,1391,1459,1207,1889
2019-11-12 08:49:23,H,22820006646000,True,0,19,7,360,40,59,1142,3482,926,1331,2823
2019-11-12 08:57:34,H,22630006650000,True,0,26,9,439,59,268,605,1058,763,1472,78
2019-11-12 08:58:01,A,22650006651000,True,0,24,9,26,1,109,601,2128,848,1731,1832
2019-11-12 09:01:37,V1,22760006650000,True,0,0,0,379,8079,277,1723,3928,1712,1349,3629
2019-11-12 09:08:00,H,22570006643000,True,0,31,11,132,785,113,1816,950,2961,905,601
2019-11-12 09:08:49,H,22440006641000,True,0,13,5,69,1180,159,2328,1771,1542,1600,1865
2019-11-12 09:08:51,A,22630006650000,True,0,37,12,221,38,116,993,792,390,1290,1918
2019-11-12 09:09:25,V1,22660006649000,True,0,37,12,524,7017,458,1366,1286,870,409,778
2019-11-12 09:13:42,A,22870006674000,True,0,6,2,123,14,75,880,908,1929,1669,4347
2019-11-12 09:19:07,H,23000006673000,False,0,29,10,30,151,97,2444,1523,2750,1058,1453
2019-11-12 09:21:56,V1,22710006657000,True,0,25,9,174,499,137,3654,1056,1546,542,1966
2019-11-12 09:23:08,H,22560006653000,True,0,33,11,262,46,32,903,1914,966,2554,950
2019-11-12 09:23:16,A,22600006650000,True,0,30,10,79,2,85,633,725,634,784,1068
2019-11-12 09:25:43,A,22690006653000,True,0,27,10,110,28,72,848,1484,759,1773,306
2019-11-12 09:25:48,H,22520006647000,True,0,8,3,113,142,22,3834,389,574,1304,4730
2019-11-12 09:26:08,A,22570006614000,True,0,44,14,78,16,38,956,3659,2333,1153,3422
2019-11-12 09:30:39,A,22450006651000,False,0,17,7,33,25,11,997,2345,1364,2812,599
2019-11-12 09:32:08,H,22620006649000,True,0,16,6,266,188,308,720,716,338,763,2128
2019-11-12 09:32:31,H,22630006651000,True,0,15,6,38,525,372,2875,1598,627,807,434
2019-11-12 09:35:42,V1,22640006652000,True,0,24,9,36,6733,589,619,927,173,1442,161
2019-11-12 09:40:18,V1,22530006649000,True,0,20,8,122,32217,146,4810,807,1512,542,632
2019-11-12 09:41:21,V1,22790006682000,True,0,15,6,115,6272,69,4461,1350,3858,1059,2479
2019-11-12 09:42:07,V1,22870006676000,False,0,28,10,80,11255,96,2471,1322,4501,824,3059
2019-11-12 09:45:41,H,22640006653000,True,0,35,12,171,224,53,1272,1161,1132,1222,352
2019-11-12 09:51:02,H,22640006640000,True,0,23,9,96,57,30,1513,1336,1417,763,85
2019-11-12 09:55:53,H,22640006627000,True,0,12,5,1601,441,130,2034,1284,2793,810,87
2019-11-12 10:01:31,V1,22620006649000,True,0,22,8,134,5885,429,757,747,955,617,166
2019-11-12 10:03:29,H,22560006614000,False,0,41,13,74,8,91,2808,623,3467,724,3742
2019-11-12 10:06:26,V1,22620006651000,True,0,22,8,51,631,50,649,495,899,909,388
2019-11-12 10:13:55,V1,22670006647000,True,0,4,1,37,818,27,1167,560,1559,634,3069
2019-11-12 10:20:20,A,22880006688000,True,0,26,9,117,57,5,2412,2325,2383,1163,707
2019-11-12 10:26:20,V1,22590006650000,True,0,10,4,4,6759,38,2519,1027,1343,2012,3702
2019-11-12 10:26:24,V1,22610006652000,True,0,18,7,200,8456,7,560,1449,694,787,1208
2019-11-12 10:26:37,H,22600006615000,True,0,38,12,88,1744,29,1819,1058,2649,1254,2175
2019-11-12 10:28:21,V1,22650006631000,True,0,2,1,4,4177,337,3137,251,2297,1269,3070
2019-11-12 10:28:43,V1,22630006652000,True,0,18,7,4,3998,185,2090,583,894,815,386
2019-11-12 10:32:54,V1,22660006628000,False,0,24,9,117,7016,95,2336,637,2763,397,418
2019-11-12 10:34:28,H,22720006654000,True,0,23,9,199,2407,56,1488,816,1362,749,710
2019-11-12 10:35:05,A,22640006654000,True,0,20,8,52,41,31,169,1079,1394,597,425
2019-11-12 10:38:11,H,22660006653000,True,0,5,2,142,922,143,3289,1075,969,556,4724
