time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-11-12 07:00:19,V1,22590006652000,True,0,32,11,192,11900,77,666,904,351,827,188
2019-11-12 07:02:58,V1,22630006648000,True,0,35,12,128,5326,2,1816,2269,1476,756,1510
2019-11-12 07:04:23,A,22650006649000,True,0,16,6,47,5,35,1325,1787,1257,417,1399
2019-11-12 07:12:13,A,22670006645000,True,0,1,0,41,196,16,2361,3155,995,956,4304
2019-11-12 07:13:11,V1,23080006679000,False,0,30,10,140,1824,2,4986,340,,,4532
2019-11-12 07:13:52,A,22620006649000,True,0,9,4,146,18,76,1130,4680,,,2574
2019-11-12 07:23:51,A,22620006649000,True,0,36,12,363,16,8,818,1167,971,617,1759
2019-11-12 07:26:11,A,22700006654000,True,0,4,1,76,4,78,1180,1287,736,1592,886
2019-11-12 07:28:48,A,22620006649000,True,0,17,7,33,20,69,1041,1781,,,2471
2019-11-12 07:33:32,V1,22680006648000,True,0,16,6,116,4019,168,3506,214,1995,930,1347
2019-11-12 07:35:24,V1,22760006654000,True,0,33,11,81,64,93,2221,1240,2836,849,418
2019-11-12 07:38:06,V1,22660006628000,False,0,19,7,183,5480,220,3900,595,2711,929,398
2019-11-12 07:39:29,A,22560006654000,True,0,12,5,116,15,67,1377,1144,880,601,2093
2019-11-12 07:40:25,A,22570006630000,False,0,29,10,111,16,20,1773,703,2313,1521,881
2019-11-12 07:59:00,V1,22640006632000,True,0,19,7,161,12693,131,2529,355,2984,386,83
2019-11-12 08:01:55,H,22860006673000,True,0,38,12,202,37,22,2637,3340,2910,579,1454
2019-11-12 08:02:09,H,22500006649000,True,0,11,5,149,340,140,1884,1451,2509,423,3297
2019-11-12 08:03:32,V1,22780006651000,True,0,25,9,242,2112,169,2980,690,772,467,1867
2019-11-12 08:16:10,A,22550006614000,False,0,42,14,176,105,43,2104,2249,,,1259
2019-11-12 08:16:46,V1,22620006649000,True,0,5,2,100,3216,16,1835,730,905,1219,2795
2019-11-12 08:20:36,V1,22620006649000,True,0,18,7,381,8630,6,965,1022,1018,1056,1227
2019-11-12 08:20:42,V1,22590006654000,True,0,22,8,143,887,333,573,705,1984,288,703
2019-11-12 08:22:08,H,22630006651000,True,0,31,11,379,351,138,426,847,1773,515,735
2019-11-12 08:28:19,H,22600006650000,True,0,41,13,105,967,126,2006,1211,1452,189,2569
2019-11-12 08:35:17,A,22660006641000,True,0,23,9,43,8,74,558,796,907,718,411
2019-11-12 08:35:24,H,22870006676000,False,0,2,1,201,106,5,360,2615,3046,1818,645
