time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-05-30 08:00:57,V1,22780006651000,True,0,11,5,147,1314,147,992,318,900,393,302
2019-05-30 08:02:38,H,22620006649000,True,0,26,11,43,174,108,61,886,332,871,564
2019-05-30 08:11:24,H,22630006649000,True,0,29,11,380,50,219,212,916,501,1409,467
2019-05-30 08:13:24,V1,23070006643000,True,0,6,3,28,157,109,159,212,3791,1749,7727
2019-05-30 08:21:16,A,22620006651000,True,0,16,9,194,12,83,222,2935,46,477,398
2019-05-30 08:31:01,H,22560006658000,False,0,14,8,190,606,0,945,3141,977,883,375
2019-05-30 08:36:29,H,22610006649000,True,0,27,11,108,198,18,236,1481,360,1215,456
2019-05-30 08:42:23,A,22640006652000,True,0,18,9,110,16,66,349,1044,98,591,588
2019-05-30 08:52:31,H,22820006703000,True,0,0,0,183,90,5,1114,2398,3445,1665,1726
2019-05-30 08:58:15,H,22740006650000,True,0,11,5,57,1946,34,441,3210,620,795,3433
2019-05-30 08:58:43,V1,23030006676000,False,0,1,1,130,1824,3,2170,124,,,2000
2019-05-30 08:59:22,H,22610006651000,True,0,15,9,111,173,11,161,2785,158,1057,79
2019-05-30 09:04:28,A,22620006649000,True,0,28,11,165,6,58,48,2586,267,1955,201
2019-05-30 09:10:52,H,22650006635000,True,0,35,12,211,93,141,621,831,844,292,183
2019-05-30 09:18:08,V1,22620006649000,True,1,44,18,41,2555,44,765,511,443,1808,1121
2019-05-30 09:19:32,A,22620006651000,True,0,23,11,72,24,45,262,1477,47,1460,437
2019-05-30 09:22:23,H,22590006651000,True,0,18,9,54,211,0,526,541,298,275,86
2019-05-30 09:23:58,A,22570006652000,True,0,17,9,55,25,6,312,917,176,1605,666
2019-05-30 09:25:26,H,22610006650000,True,0,22,11,119,106,93,217,821,189,932,427
2019-05-30 09:27:20,A,22540006620000,False,0,37,14,74,16,34,367,564,1127,960,1257
2019-05-30 09:29:07,V1,22620006651000,True,1,24,11,201,1836,431,426,654,79,1740,415
2019-05-30 09:36:15,V1,22620006649000,True,1,23,11,300,3061,7,75,908,427,1096,469
2019-05-30 09:36:46,A,22620006648000,True,0,29,11,291,29,60,129,2709,375,905,427
2019-05-30 09:41:43,A,22550006641000,True,0,36,13,174,30,4,1733,1765,,,2713
2019-05-30 09:42:45,V1,22620006651000,True,0,30,11,64,679,370,431,1387,81,805,431
