time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-05-30 08:00:57,V1,22780006651000,True,0,6,5,147,1314,147,983,318,877,393,302
2019-05-30 08:02:38,H,22620006649000,True,0,26,11,43,174,108,58,886,334,871,557
2019-05-30 08:11:24,H,22630006649000,True,0,29,11,380,50,219,216,916,491,1409,472
2019-05-30 08:13:24,V1,23070006643000,True,0,41,17,28,157,109,3691,212,3121,1749,986
2019-05-30 08:21:16,A,22620006651000,True,0,19,9,194,12,83,226,2935,47,477,394
2019-05-30 08:31:01,H,22560006658000,False,0,14,8,190,606,0,943,3141,1010,883,361
2019-05-30 08:36:29,H,22610006649000,True,0,30,11,108,198,18,239,1481,364,1215,466
2019-05-30 08:42:23,A,22640006652000,True,0,18,9,110,16,66,355,1044,97,591,581
2019-05-30 08:52:31,H,22820006703000,True,0,0,0,183,90,5,1134,2398,3372,1665,1686
2019-05-30 08:58:15,H,22740006650000,True,0,7,5,57,1946,34,453,3210,633,795,3005
2019-05-30 08:58:43,V1,23030006676000,False,0,2,2,130,1824,3,1142,124,,,1097
2019-05-30 08:59:22,H,22610006651000,True,0,17,8,111,173,11,337,2785,166,1057,519
2019-05-30 09:04:28,A,22620006649000,True,0,23,11,165,6,58,48,2586,268,1955,210
2019-05-30 09:10:52,H,22650006635000,True,0,33,12,211,93,141,622,831,840,292,1577
2019-05-30 09:18:08,V1,22620006649000,True,1,25,11,41,2555,44,77,511,416,1808,429
2019-05-30 09:19:32,A,22620006651000,True,0,27,11,72,24,45,257,1477,47,1460,425
2019-05-30 09:22:23,H,22590006651000,True,0,18,9,54,211,0,526,541,299,275,85
2019-05-30 09:23:58,A,22570006652000,True,0,16,8,55,25,6,262,917,177,1605,354
2019-05-30 09:25:26,H,22610006650000,True,0,22,11,119,106,93,210,821,192,932,442
2019-05-30 09:27:20,A,22540006620000,False,0,34,14,74,16,34,376,564,1126,960,1238
2019-05-30 09:29:07,V1,22620006651000,True,1,31,9,201,1836,431,457,654,76,1740,363
