time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-05-30 08:00:57,V1,22780006651000,True,0,13,5,147,1314,147,980,318,871,393,299
2019-05-30 08:02:38,H,22620006649000,True,0,28,11,43,174,108,59,886,336,871,278
2019-05-30 08:11:24,H,22630006649000,True,0,27,11,380,50,219,210,916,511,1409,472
2019-05-30 08:13:24,V1,23070006643000,True,0,7,3,28,157,109,162,212,3746,1749,6169
2019-05-30 08:21:16,A,22620006651000,True,0,20,9,194,12,83,228,2935,49,477,303
2019-05-30 08:31:01,H,22560006658000,False,0,17,8,190,606,0,948,3141,980,883,647
2019-05-30 08:36:29,H,22610006649000,True,0,31,11,108,198,18,241,1481,349,1215,470
2019-05-30 08:42:23,A,22640006652000,True,0,28,11,110,16,66,338,1044,95,591,619
2019-05-30 08:52:31,H,22820006703000,True,0,1,0,183,90,5,1104,2398,3397,1665,1109
2019-05-30 08:58:15,H,22740006650000,True,0,13,5,57,1946,34,439,3210,646,795,2125
2019-05-30 08:58:43,V1,23030006676000,False,0,4,2,130,1824,3,1119,124,,,1200
2019-05-30 08:59:22,H,22610006651000,True,0,18,9,111,173,11,161,2785,158,1057,80
2019-05-30 09:04:28,A,22620006649000,True,0,30,11,165,6,58,47,2586,267,1955,263
2019-05-30 09:10:52,H,22650006635000,True,0,32,12,211,93,141,630,831,845,292,1611
2019-05-30 09:18:08,V1,22620006649000,True,1,27,11,41,2555,44,76,511,418,1808,210
2019-05-30 09:19:32,A,22620006651000,True,0,28,11,72,24,45,241,1477,45,1460,443
2019-05-30 09:22:23,H,22590006651000,True,0,24,11,54,211,0,605,541,306,275,381
2019-05-30 09:23:58,A,22570006652000,True,0,16,8,55,25,6,255,917,181,1605,363
2019-05-30 09:25:26,H,22610006650000,True,0,20,9,119,106,93,203,821,191,932,362
2019-05-30 09:27:20,A,22540006620000,False,0,36,13,74,16,34,1058,564,1108,960,1255
2019-05-30 09:29:07,V1,22620006651000,True,1,25,11,201,1836,431,426,654,80,1740,436
2019-05-30 09:36:15,V1,22620006649000,True,1,16,8,300,3338,7,698,908,476,1096,702
2019-05-30 09:36:46,A,22620006648000,True,0,26,11,291,29,60,135,2709,371,905,78
2019-05-30 09:41:43,A,22550006641000,True,0,33,12,174,30,4,1998,1765,,,3298
2019-05-30 09:42:45,V1,22620006651000,True,0,19,9,64,679,370,362,1387,79,805,287
