time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-08-04 08:00:57,V1,22560006650000,True,0,37,15,153,1146,146,385,332,197,372,486
2019-08-04 08:02:38,A,22620006649000,True,0,27,11,31,24,73,49,1597,,,60
2019-08-04 08:10:59,H,22640006633000,True,0,32,13,271,976,56,619,1167,578,967,143
2019-08-04 08:11:21,H,22600006652000,True,0,18,8,317,1135,168,150,446,60,1252,154
2019-08-04 08:15:51,A,22570006651000,True,0,19,8,89,18,115,223,1651,48,1281,277
2019-08-04 08:16:20,H,22620006651000,True,0,22,9,139,166,106,211,370,59,737,290
2019-08-04 08:43:54,V1,22620006650000,True,0,26,11,16,523,35,169,707,163,1398,341
2019-08-04 08:47:23,H,22650006652000,True,0,20,9,66,25,76,519,1504,58,339,525
2019-08-04 08:56:40,A,23150006634000,False,0,6,3,102,19,27,946,572,2593,1483,2573
2019-08-04 08:58:15,A,22640006643000,True,0,44,18,39,240,22,385,3080,795,939,879
2019-08-04 08:58:43,V1,22710006670000,False,0,7,4,134,1600,2,717,402,,,718
2019-08-04 09:07:41,A,22600006649000,True,0,27,11,39,14,42,240,1770,299,1511,373
2019-08-04 09:10:52,H,22560006650000,True,0,36,15,201,94,157,58,829,192,277,503
2019-08-04 09:11:24,A,22610006650000,True,0,22,9,198,8,127,252,1126,150,1784,210
2019-08-04 09:19:18,A,22630006649000,True,0,43,18,123,170,5,417,461,414,846,185
2019-08-04 09:27:20,A,22630006637000,True,0,29,12,72,18,39,574,505,900,980,1309
2019-08-04 09:36:15,H,22620006649000,True,0,26,11,632,347,3,56,1402,335,1324,364
2019-08-04 09:42:23,A,22640006652000,True,0,20,9,107,18,71,345,973,95,589,128
2019-08-04 09:48:21,V1,22690006654000,True,1,39,16,70,3482,166,211,1195,703,990,541
2019-08-04 09:49:56,A,22760006655000,True,0,40,17,28,52,59,350,670,508,939,815
2019-08-04 09:52:31,H,22730006654000,True,0,38,16,174,91,6,448,2503,809,1877,1036
2019-08-04 09:55:47,V1,22930006694000,True,1,41,0,221,1861,178,683,654,3039,453,2534
2019-08-04 09:59:34,A,22610006650000,True,1,43,18,68,36,117,103,448,151,1116,870
2019-08-04 10:00:41,A,22860006665000,True,1,2,1,48,16,138,497,1431,,,646
2019-08-04 10:01:07,H,22640006654000,True,1,21,9,59,55,132,497,514,322,594,586
2019-08-04 10:02:12,V1,22610006652000,True,1,36,15,25,1316,106,1042,769,64,837,256
2019-08-04 10:07:50,H,22630006650000,True,1,22,6,194,107,135,335,593,296,1365,1881
2019-08-04 10:16:00,A,22610006653000,True,1,20,9,152,63,62,247,1694,198,1542,529
2019-08-04 10:16:28,V1,22670006645000,True,1,27,11,110,3013,81,1098,1383,1170,1013,520
2019-08-04 10:17:05,H,22620006649000,True,1,18,8,119,3,155,527,465,333,647,570
2019-08-04 10:17:28,A,22590006617000,False,1,33,14,96,25,12,178,356,915,512,1060
2019-08-04 10:23:31,H,22650006641000,True,1,31,13,172,288,129,1204,1102,1150,1460,160
2019-08-04 10:25:26,H,22650006652000,True,1,24,10,114,107,108,805,819,60,917,130
2019-08-04 10:27:12,H,22640006641000,True,1,28,12,97,122,24,302,356,1237,1352,853
2019-08-04 10:30:32,H,22800006649000,True,1,10,5,82,49,32,565,1178,517,773,230
2019-08-04 10:40:38,V1,22600006651000,True,1,18,8,464,3217,462,169,1314,284,395,473
2019-08-04 10:42:46,V1,22620006649000,True,1,28,12,20,3270,787,521,1051,397,700,1598
2019-08-04 10:43:26,V1,22620006651000,True,1,24,10,99,1773,90,375,783,66,978,183
2019-08-04 10:43:29,H,22620006649000,True,1,26,11,376,484,238,59,511,345,1039,172
2019-08-04 10:44:36,H,23000006625000,False,1,13,3,326,475,39,1387,233,2922,1251,2807
2019-08-04 10:47:12,V1,22640006652000,True,1,43,18,35,1171,586,579,905,132,1446,822
2019-08-04 10:52:09,H,22560006606000,True,1,34,14,43,245,27,965,2224,1916,2222,1149
2019-08-04 10:55:06,H,22700006663000,True,1,7,4,26,130,93,61,1384,1276,1082,1522
2019-08-04 10:56:39,H,22860006665000,True,1,2,1,143,291,47,607,3174,,,714
2019-08-04 11:04:21,H,22640006652000,True,1,21,9,92,116,107,444,691,124,469,371
2019-08-04 11:05:08,H,22610006650000,True,1,36,15,213,387,109,243,2111,185,761,706
2019-08-04 11:05:35,V1,22660006644000,True,2,43,18,290,7995,260,476,297,1196,663,737
2019-08-04 11:05:47,V1,22560006652000,True,1,35,15,36,174,32,505,526,419,614,514
2019-08-04 11:06:01,H,22550006646000,True,1,19,8,100,400,260,939,387,676,1375,324
2019-08-04 11:06:10,V1,22660006651000,True,1,44,18,49,539,59,600,463,630,885,692
2019-08-04 11:08:35,V1,22480006648000,True,1,17,7,170,62,94,67,1327,67,836,67
2019-08-04 11:09:18,H,22850006670000,False,1,40,17,63,6,88,1096,551,1662,734,885
2019-08-04 11:11:33,V1,22860006673000,True,1,42,1,125,1497,234,254,1903,2003,1026,261
2019-08-04 11:12:11,H,22710006653000,True,1,23,10,91,88,115,401,578,724,1753,940
2019-08-04 11:14:59,V1,22900006655000,True,1,9,5,42,639,235,1606,1403,1749,1156,260
2019-08-04 11:25:40,V1,22640006651000,True,1,20,9,112,1970,110,626,602,356,383,343
2019-08-04 11:26:40,V1,22620006649000,True,1,26,11,81,432,268,184,734,371,500,397
2019-08-04 11:29:09,V1,22550006641000,True,2,22,18,89,7481,40,422,777,2591,909,1416
2019-08-04 11:33:41,H,22630006650000,True,1,10,5,96,1995,125,1142,861,306,1247,1495
2019-08-04 11:35:08,V1,22620006649000,True,1,21,9,10,400,48,556,1334,,,250
2019-08-04 11:39:07,V1,22640006652000,True,1,26,11,173,3971,360,664,2355,142,997,507
2019-08-04 11:43:48,H,22680006652000,True,1,39,16,339,362,21,446,1076,720,1163,69
2019-08-04 11:49:13,H,22620006651000,True,1,24,10,18,562,9,172,2824,60,246,974
2019-08-04 11:59:23,H,22620006651000,True,1,44,18,259,2,83,520,730,60,1560,948
2019-08-04 12:01:54,V1,22480006648000,True,1,32,7,4,1544,191,70,548,71,796,69
2019-08-04 12:03:00,V1,22430006640000,True,1,15,6,924,1316,489,415,536,1203,997,1025
2019-08-04 12:04:32,H,22880006689000,True,1,1,0,237,52,125,454,905,2563,1646,2785
2019-08-04 12:05:20,H,22630006648000,True,1,36,15,92,896,175,546,523,533,1361,1399
2019-08-04 12:12:53,A,23030006666000,True,1,25,1,30,19,73,1534,1293,2464,592,1891
2019-08-04 12:13:33,H,22620006651000,True,1,21,9,137,114,102,193,1879,60,923,248
2019-08-04 12:14:14,A,22480006648000,True,1,32,7,48,53,81,46,403,,,72
2019-08-04 12:24:46,A,22630006639000,True,1,29,12,101,7,100,384,1586,,,615
2019-08-04 12:32:07,H,22660006644000,True,1,27,11,12,120,4,962,3003,979,461,1517
2019-08-04 12:34:54,V1,22620006651000,True,1,39,16,128,925,102,524,649,69,849,72
2019-08-04 12:36:04,A,22430006636000,False,1,22,6,275,7,18,531,908,,,3861
2019-08-04 12:38:10,V1,22620006649000,True,2,26,11,156,8124,263,200,1160,380,1537,193
