time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-11-12 07:00:19,V1,22590006652000,True,0,22,11,192,6482,77,959,904,228,827,902
2019-11-12 07:02:58,V1,22630006648000,True,0,21,11,128,5326,2,400,2269,788,756,239
2019-11-12 07:04:23,A,22650006649000,True,0,42,18,47,5,35,375,1787,470,417,1299
2019-11-12 07:12:13,A,22670006645000,True,0,41,18,41,196,16,420,3155,795,956,1267
2019-11-12 07:13:11,V1,23080006679000,False,0,3,2,140,1824,2,1864,340,,,2158
2019-11-12 07:13:52,A,22620006649000,True,0,19,11,146,18,76,48,4680,,,105
2019-11-12 07:23:51,A,22620006649000,True,0,22,11,363,16,8,47,1167,266,617,575
2019-11-12 07:26:11,A,22700006654000,True,0,35,16,76,4,78,48,1287,553,1592,1223
2019-11-12 07:28:48,A,22620006649000,True,0,17,11,33,20,69,47,1781,,,109
2019-11-12 07:33:32,V1,22680006648000,True,0,14,10,116,4019,168,1003,214,1593,930,1203
2019-11-12 07:35:24,V1,22760006654000,True,0,40,17,81,64,93,950,1240,1155,849,105
2019-11-12 07:38:06,V1,22660006628000,False,0,28,13,183,4066,220,271,595,87,929,221
2019-11-12 07:39:29,A,22560006654000,True,0,10,8,116,15,67,373,1144,396,601,495
2019-11-12 07:40:25,A,22570006630000,False,0,31,14,111,16,20,574,703,933,1521,1733
2019-11-12 07:59:00,V1,22640006632000,True,0,29,13,161,1312,131,859,355,784,386,216
2019-11-12 08:01:55,H,22860006673000,True,0,39,17,202,37,22,1048,3340,1636,579,1140
2019-11-12 08:02:09,H,22500006649000,True,0,34,15,149,340,140,309,1451,393,423,1098
2019-11-12 08:03:32,V1,22780006651000,True,0,40,17,242,2681,169,925,690,783,467,2140
2019-11-12 08:16:10,A,22550006614000,False,0,32,14,176,105,43,809,2249,,,1288
2019-11-12 08:16:46,V1,22620006649000,True,0,20,11,100,3216,16,90,730,510,1219,490
2019-11-12 08:20:36,V1,22620006649000,True,0,15,11,381,2973,6,89,1022,495,1056,430
2019-11-12 08:20:42,V1,22590006654000,True,0,13,9,143,1328,333,1147,705,434,288,738
2019-11-12 08:22:08,H,22630006651000,True,0,18,11,379,351,138,414,847,169,515,246
2019-11-12 08:28:19,H,22600006650000,True,0,11,8,105,967,126,292,1211,364,189,588
2019-11-12 08:35:17,A,22660006641000,True,0,44,18,43,8,74,317,796,784,718,1068
2019-11-12 08:35:24,H,22870006676000,False,0,1,1,201,106,5,359,2615,1761,1818,910
2019-11-12 08:35:58,A,22560006654000,True,0,12,8,81,18,48,384,819,404,1334,92
2019-11-12 08:36:13,A,22480006653000,False,0,9,7,74,30,110,541,555,536,1135,93
2019-11-12 08:45:35,V1,22660006641000,True,0,27,12,43,1564,103,665,5109,,,738
2019-11-12 08:45:45,H,22640006639000,True,0,25,12,131,244,88,250,1391,1129,1207,3944
2019-11-12 08:49:23,H,22820006646000,True,0,7,5,360,40,59,931,3482,888,1331,270
2019-11-12 08:57:34,H,22630006650000,True,0,16,11,439,59,268,292,1058,294,1472,434
2019-11-12 08:58:01,A,22650006651000,True,0,43,18,26,1,109,442,2128,443,1731,915
2019-11-12 09:01:37,V1,22760006650000,True,0,38,17,379,338,277,1121,3928,77,1349,1053
2019-11-12 09:08:00,H,22570006643000,True,0,31,14,132,124,113,1557,950,2049,905,1183
2019-11-12 09:08:49,H,22440006641000,True,0,8,6,69,194,159,60,1771,858,1600,1101
2019-11-12 09:08:51,A,22630006650000,True,0,18,11,221,38,116,196,792,246,1290,499
2019-11-12 09:09:25,V1,22660006649000,True,1,41,18,524,3541,458,522,1286,789,409,1007
2019-11-12 09:13:42,A,22870006674000,True,0,2,1,123,14,75,340,908,1438,1669,2028
2019-11-12 09:19:07,H,23000006673000,False,0,4,2,30,151,97,517,1523,2225,1058,2105
2019-11-12 09:21:56,V1,22710006657000,True,0,6,4,174,499,137,984,1056,1502,542,1721
2019-11-12 09:23:08,H,22560006653000,True,0,12,8,262,46,32,480,1914,480,2554,345
2019-11-12 09:23:16,A,22600006650000,True,0,10,8,79,2,85,221,725,285,784,758
2019-11-12 09:25:43,A,22690006653000,True,0,35,16,110,28,72,156,1484,482,1773,78
2019-11-12 09:25:48,H,22520006647000,True,0,34,15,113,142,22,528,389,547,1304,615
2019-11-12 09:26:08,A,22570006614000,True,0,32,14,78,16,38,422,3659,1246,1153,1309
2019-11-12 09:30:39,A,22450006651000,False,0,9,7,33,25,11,404,2345,406,2812,83
2019-11-12 09:32:08,H,22620006649000,True,0,17,11,266,188,308,57,716,322,763,212
2019-11-12 09:32:31,H,22630006651000,True,0,19,11,38,525,372,410,1598,170,807,431
2019-11-12 09:35:42,V1,22640006652000,True,0,21,11,36,610,589,622,927,155,1442,577
2019-11-12 09:40:18,V1,22530006649000,True,1,33,15,122,1950,146,213,807,782,542,255
2019-11-12 09:41:21,V1,22790006682000,True,1,22,11,115,3451,69,3440,1350,3282,1059,1779
2019-11-12 09:42:07,V1,22870006676000,False,1,3,2,80,2650,96,2113,1322,2478,824,3882
2019-11-12 09:45:41,H,22640006653000,True,0,13,9,171,224,53,389,1161,203,1222,1280
2019-11-12 09:51:02,H,22640006640000,True,0,24,12,96,57,30,283,1336,1126,763,981
2019-11-12 09:55:53,H,22640006627000,True,1,23,12,1601,441,130,1377,1284,316,810,1787
2019-11-12 10:01:31,V1,22620006649000,True,1,16,11,134,1555,429,81,747,424,617,465
2019-11-12 10:03:29,H,22560006614000,False,1,30,14,74,8,91,733,623,1614,724,273
2019-11-12 10:06:26,V1,22620006651000,True,1,17,11,51,631,50,210,495,78,909,429
2019-11-12 10:13:55,V1,22670006647000,True,1,42,18,37,218,27,668,560,1020,634,867
2019-11-12 10:20:20,A,22880006688000,True,1,0,0,117,57,5,579,2325,1920,1163,3286
2019-11-12 10:26:20,V1,22590006650000,True,1,17,11,4,2198,38,730,1027,442,2012,667
2019-11-12 10:26:24,V1,22610006652000,True,1,11,8,200,5742,7,565,1449,85,787,550
2019-11-12 10:26:37,H,22600006615000,True,1,28,13,88,14,29,1416,1058,1528,1254,201
2019-11-12 10:28:21,V1,22650006631000,True,1,30,14,4,2425,337,582,251,448,1269,1342
2019-11-12 10:28:43,V1,22630006652000,True,1,18,11,4,1762,185,696,583,279,815,475
2019-11-12 10:32:54,V1,22660006628000,False,1,20,11,117,2371,95,2328,637,89,397,2379
2019-11-12 10:34:28,H,22720006654000,True,1,1,1,199,151,56,852,816,995,749,2320
2019-11-12 10:35:05,A,22640006654000,True,1,35,16,52,41,31,250,1079,260,597,84
2019-11-12 10:38:11,H,22660006653000,True,1,14,10,142,62,143,620,1075,577,556,1107
2019-11-12 10:38:28,A,22630006653000,True,1,11,8,159,1,42,413,1087,176,1881,557
2019-11-12 10:38:33,V1,22630006652000,True,1,15,11,256,2798,15,712,267,295,873,478
