time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-05-30 08:02:58,H,22560006658000,False,0,7,11,190,606,0,1373,3141,989,883,957
2019-05-30 08:05:27,H,22610006649000,True,0,33,11,108,198,18,245,1481,346,1215,462
2019-05-30 08:12:13,H,22740006650000,True,0,36,11,57,1946,34,852,3210,631,795,1046
2019-05-30 08:13:11,V1,23030006676000,False,0,26,11,130,1824,3,5238,124,,,3999
2019-05-30 08:19:50,A,22620006651000,True,0,22,11,194,12,83,265,2935,47,477,471
2019-05-30 08:28:48,H,22620006649000,True,0,16,11,43,174,108,59,886,328,871,220
2019-05-30 08:34:31,H,22610006651000,True,0,30,11,111,173,11,376,2785,163,1057,437
2019-05-30 08:34:39,V1,23070006643000,True,0,28,11,28,1157,109,5242,212,3028,1749,1745
2019-05-30 08:35:24,H,22820006703000,True,0,12,11,183,264,5,3774,2398,3343,1665,1734
2019-05-30 08:39:29,A,22640006652000,True,0,25,11,110,16,66,340,1044,95,591,950
2019-05-30 08:57:34,H,22630006649000,True,0,37,11,380,50,219,216,916,514,1409,227
2019-05-30 08:59:00,V1,22780006651000,True,0,21,11,147,1314,147,2009,318,639,393,1605
2019-05-30 09:03:07,A,22550006648000,True,0,24,11,117,5,10,490,565,238,1149,1004
2019-05-30 09:08:00,H,22610006650000,True,0,16,11,119,106,93,128,821,191,932,471
2019-05-30 09:16:38,A,22550006641000,True,0,3,11,174,30,4,2353,1765,,,3927
2019-05-30 09:17:05,V1,22620006651000,True,0,37,11,201,2503,431,211,654,77,1740,207
2019-05-30 09:20:36,V1,22620006649000,True,0,38,11,300,3061,7,78,908,434,1096,208
2019-05-30 09:20:42,H,22650006635000,True,0,8,11,211,1655,141,1393,831,863,292,2201
2019-05-30 09:23:26,A,22620006648000,True,0,35,11,291,29,60,47,2709,363,905,443
2019-05-30 09:35:34,A,22570006652000,True,0,42,11,55,25,6,610,917,181,1605,956
2019-05-30 09:36:13,A,22610006650000,True,0,32,11,70,33,110,174,504,148,1085,443
2019-05-30 09:39:50,V1,22740006649000,True,0,25,11,69,9604,168,388,1073,638,1070,1267
2019-05-30 09:40:15,H,22590006652000,True,0,23,11,33,78,193,537,660,151,1275,762
2019-05-30 09:42:29,A,22620006649000,True,0,6,11,9,24,50,48,1493,265,1624,206
2019-05-30 09:45:45,A,22620006651000,True,0,1,11,72,24,45,272,1477,46,1460,438
2019-05-30 09:46:07,V1,22620006651000,True,0,30,11,64,679,370,242,1387,78,805,436
2019-05-30 09:49:06,A,22540006620000,False,0,5,11,74,16,34,1395,564,1150,960,1761
2019-05-30 09:51:08,A,22620006649000,True,0,33,11,165,6,58,48,2586,254,1955,464
2019-05-30 09:56:27,V1,22620006649000,True,0,4,11,41,2555,44,77,511,417,1808,475
2019-05-30 09:57:14,V1,22640006639000,True,0,17,11,300,1862,461,1533,798,1615,479,1148
2019-05-30 09:59:14,H,22590006651000,True,0,31,11,54,211,0,606,541,292,275,729
2019-05-30 10:01:35,A,22890006686000,True,0,13,11,17,11,36,2065,1510,1816,749,353
2019-05-30 10:03:59,A,22620006651000,True,0,34,11,12,11,3,122,382,47,755,432
2019-05-30 10:06:34,A,22710006651000,True,0,2,11,111,15,69,785,766,613,1365,856
2019-05-30 10:13:42,A,22800006649000,True,0,9,11,116,14,74,1078,819,407,1605,1148
2019-05-30 10:23:16,A,22620006649000,True,0,29,11,75,1,83,47,652,275,764,434
2019-05-30 10:25:45,H,22870006674000,True,0,36,11,140,49,9,1766,1736,1820,642,1721
2019-05-30 10:30:39,A,22650006655000,True,0,16,11,32,27,13,708,2227,298,2611,630
2019-05-30 10:32:31,H,22660006647000,True,0,22,11,33,424,338,655,1432,637,833,604
2019-05-30 10:35:03,A,22660006642000,True,0,14,11,60,12,63,590,799,794,2061,613
2019-05-30 10:39:03,H,22630006650000,True,0,6,11,82,62,21,244,1383,285,1413,463
2019-05-30 10:40:55,H,22620006653000,True,0,15,11,141,1186,18,643,999,145,1118,706
2019-05-30 10:41:21,V1,22670006645000,True,0,3,11,108,3426,83,1385,1264,1428,1098,948
2019-05-30 10:45:41,H,22640006649000,True,0,18,11,156,188,44,494,1008,526,1213,468
2019-05-30 10:51:02,H,22640006651000,True,0,38,11,86,534,27,371,1172,313,788,465
2019-05-30 10:51:39,A,22720006649000,True,0,43,11,97,29,7,1014,857,649,1379,1756
2019-05-30 10:57:34,V1,22640006652000,True,0,16,11,165,4699,427,447,1783,168,1079,940
2019-05-30 10:59:52,A,22710006652000,True,0,37,11,57,23,4,820,683,639,753,1735
2019-05-30 11:03:29,H,23070006645000,False,0,39,11,65,6,74,2767,542,2261,748,1708
2019-05-30 11:05:08,V1,22590006652000,True,0,20,11,66,359,140,748,368,214,769,769
2019-05-30 11:08:47,A,22800006650000,True,0,2,11,271,30,13,627,1529,390,953,1752
2019-05-30 11:23:28,A,22640006637000,True,0,5,11,68,72,73,497,962,761,725,2417
2019-05-30 11:24:28,V1,22620006649000,True,0,8,11,60,318,221,85,1086,475,1516,465
2019-05-30 11:24:40,V1,22830006705000,True,0,22,11,244,949,330,4641,821,4321,845,1921
2019-05-30 11:27:16,H,22720006658000,True,0,14,11,108,1830,258,1114,1384,1131,481,633
2019-05-30 11:28:43,V1,22640006648000,True,0,18,11,3,1762,198,636,523,859,837,949
2019-05-30 11:29:25,H,22790006665000,True,0,13,11,44,996,11,1443,2847,1242,880,1765
2019-05-30 11:29:45,H,22640006642000,True,0,32,11,238,54,95,873,769,1203,1381,993
2019-05-30 11:32:54,V1,22700006654000,True,0,11,11,109,1555,111,1182,570,926,404,607
2019-05-30 11:33:00,V1,22640006652000,True,0,42,11,51,3481,439,804,1093,170,421,949
2019-05-30 11:38:11,H,22490006648000,True,0,24,11,128,52,122,1089,931,283,579,833
2019-05-30 11:38:58,A,22670006652000,True,0,9,11,62,184,69,468,1539,,,881
2019-05-30 11:43:42,A,22790006653000,True,0,25,11,73,14,55,380,931,,,932
2019-05-30 11:46:01,H,22880006689000,True,0,31,11,346,325,18,2488,1077,2543,1140,1091
2019-05-30 11:47:01,V1,22480006648000,True,0,20,11,221,714,44,1625,1302,83,325,397
2019-05-30 11:49:36,V1,22900006655000,True,0,11,11,41,3811,253,2986,1283,2185,1260,2313
2019-05-30 11:57:01,V1,22590006651000,True,0,1,11,286,152,31,839,653,414,434,835
2019-05-30 12:04:33,H,22680006649000,True,0,26,11,282,109,142,417,1194,894,367,616
2019-05-30 12:04:44,H,22620006649000,True,0,34,11,420,130,120,58,718,321,1285,461
2019-05-30 12:05:52,A,22650006639000,True,0,17,11,281,6,16,344,842,,,1842
2019-05-30 12:06:34,V1,22620006649000,True,0,40,11,8,2473,121,82,328,471,974,465
2019-05-30 12:25:38,A,22700006654000,True,0,35,11,110,47,93,413,879,548,2121,647
2019-05-30 12:26:15,H,22730006649000,True,0,27,11,80,1171,47,779,806,627,284,630
2019-05-30 12:38:03,A,22580006650000,True,0,24,11,75,42,57,352,984,219,1405,1000
2019-05-30 12:39:01,H,22630006648000,True,0,9,11,278,222,29,220,890,518,868,480
2019-05-30 12:40:41,A,22640006654000,True,0,44,11,94,1,177,449,1637,260,806,962
2019-05-30 12:41:02,H,22480006647000,True,0,20,11,698,575,115,213,1630,388,503,1832
2019-05-30 12:42:13,H,22620006649000,True,0,29,11,224,87,57,59,2024,329,181,463
2019-05-30 12:45:54,H,22820006660000,True,0,14,11,81,1598,104,1383,138,1258,631,1907
2019-05-30 12:51:09,V1,22540006621000,True,0,33,11,207,1479,364,3035,747,2177,358,3199
2019-05-30 12:52:49,H,22620006649000,True,0,15,11,91,74,116,61,989,,,85
2019-05-30 12:53:43,H,22670006646000,True,0,18,11,235,154,114,968,477,862,583,938
2019-05-30 12:59:40,V1,22690006650000,True,0,25,11,145,1683,106,408,1626,1249,1953,1855
2019-05-30 13:08:35,A,22740006650000,True,0,26,11,177,5,2,713,1347,494,893,1952
2019-05-30 13:10:20,A,22540006653000,True,0,43,11,24,9,53,935,1218,623,826,1090
2019-05-30 13:13:52,H,22410006640000,True,0,23,11,37,40,0,1936,432,1186,863,1998
2019-05-30 13:16:14,V1,22570006655000,True,0,19,11,153,394,196,1589,787,915,518,1178
2019-05-30 13:21:24,H,22670006628000,False,0,17,11,363,88,211,1798,1889,215,1099,2612
2019-05-30 13:25:59,V1,22690006650000,True,0,35,11,72,1097,171,1130,1238,1256,361,649
2019-05-30 13:30:30,A,22880006675000,True,0,27,11,48,48,71,1543,1439,1571,1000,2381
2019-05-30 13:33:39,H,22650006644000,True,0,10,11,522,580,128,803,120,894,354,635
2019-05-30 13:37:04,A,22630006649000,True,0,4,11,35,13,6,172,566,418,799,488
2019-05-30 13:37:53,V1,22540006622000,True,0,36,11,76,786,220,3053,598,1993,912,3275
2019-05-30 13:48:59,A,22620006649000,True,0,40,11,69,19,72,48,215,256,994,493
2019-05-30 13:54:42,A,22480006653000,False,0,44,11,277,1,54,1322,1818,526,733,535
2019-05-30 14:00:30,H,22720006654000,True,0,31,11,425,258,79,728,2070,939,620,2416
2019-05-30 14:05:54,H,22640006645000,True,0,2,11,36,180,290,619,1710,,,825
2019-05-30 14:09:36,V1,22600006650000,True,0,12,11,10,2620,30,484,586,698,231,1020
2019-05-30 14:11:19,A,22630006649000,True,0,29,11,87,19,1,172,3166,,,417
2019-05-30 14:13:28,H,22640006638000,True,0,28,11,51,70,89,1158,2066,977,966,3278
2019-05-30 14:18:59,H,23070006643000,True,0,0,11,170,119,161,3142,919,2309,851,909
2019-05-30 14:21:01,H,22670006645000,True,0,8,11,43,93,9,979,1643,1016,649,847
2019-05-30 14:24:11,H,22450006641000,True,0,6,11,183,248,134,1666,3769,979,1017,1187
2019-05-30 14:24:49,H,22730006656000,True,0,42,11,10,95,138,1172,1265,960,717,2432
2019-05-30 14:25:03,H,22780006653000,True,0,5,11,119,107,69,1346,1931,498,610,840
2019-05-30 14:26:42,A,22700006654000,True,0,41,11,29,23,32,645,3255,557,994,1283
2019-05-30 14:26:43,V1,22620006651000,True,0,40,11,176,2504,214,651,2026,117,1405,643
2019-05-30 14:30:12,H,22710006655000,True,0,21,11,175,150,39,935,748,793,781,816
2019-05-30 14:32:23,A,22630006653000,True,0,10,11,172,20,60,370,859,177,1823,614
2019-05-30 14:33:35,H,22780006652000,True,0,7,11,120,543,20,1253,1075,406,1010,2307
2019-05-30 14:35:37,V1,22640006639000,True,0,19,11,22,3712,115,2322,1933,2281,1187,2565
2019-05-30 14:38:54,V1,22620006649000,True,0,32,11,61,3093,52,117,1526,654,714,306
2019-05-30 14:41:30,H,22660006652000,True,0,13,11,156,509,80,624,958,489,788,819
2019-05-30 14:41:44,V1,22660006628000,False,0,12,11,315,3642,92,3191,817,118,801,2655
2019-05-30 14:42:08,V1,22440006639000,True,0,38,11,180,208,14,2672,872,2092,648,2595
2019-05-30 14:44:20,H,22620006649000,True,0,15,11,110,89,11,59,1028,326,1129,307
2019-05-30 14:47:11,H,22760006650000,True,0,24,11,469,124,44,1251,971,60,1103,469
2019-05-30 14:48:14,H,22720006654000,True,0,35,11,280,244,79,797,1878,957,817,2577
2019-05-30 14:48:22,V1,22780006652000,True,0,7,11,50,5455,12,2394,991,665,418,1944
2019-05-30 14:51:43,H,22640006648000,True,0,2,11,510,184,30,445,1058,605,710,1256
2019-05-30 14:59:27,H,22680006649000,True,0,3,11,252,70,44,878,947,892,629,534
2019-05-30 15:00:43,V1,22620006649000,True,0,34,11,75,2132,231,114,839,630,585,670
2019-05-30 15:01:01,H,22950006694000,True,0,24,11,391,3135,137,2934,417,2929,507,1290
2019-05-30 15:07:14,H,22540006652000,True,0,37,11,300,4,92,1240,1187,623,1170,1451
2019-05-30 15:13:49,A,22470006651000,True,0,44,11,140,22,43,302,515,311,455,2496
2019-05-30 15:17:29,A,22670006644000,True,0,18,11,71,75,3,678,1196,814,2724,888
2019-05-30 15:20:07,A,22640006649000,True,0,14,11,118,22,22,389,2575,427,2422,324
2019-05-30 15:21:50,A,22760006654000,True,0,43,11,18,23,26,1069,1607,507,891,2499
2019-05-30 15:25:06,A,22460006651000,True,0,39,11,28,10,72,1127,1414,318,548,2578
2019-05-30 15:29:17,A,23070006643000,True,0,21,11,87,28,98,2306,1548,1799,1093,709
2019-05-30 15:30:18,A,22650006627000,True,0,16,11,112,239,54,1254,1288,151,801,983
2019-05-30 15:30:51,A,22690006664000,True,0,15,11,74,39,17,1222,120,,,2640
2019-05-30 15:33:45,H,22630006620000,True,0,20,11,179,127,180,1988,1103,,,1760
2019-05-30 15:36:36,H,22700006652000,True,0,13,11,299,118,49,688,2738,874,551,1097
2019-05-30 15:36:44,A,22600006651000,True,0,10,11,58,24,48,191,1171,,,750
2019-05-30 15:38:52,V1,22570006651000,True,0,29,11,151,993,166,1470,772,122,1240,1165
2019-05-30 15:40:19,A,22630006648000,True,0,23,11,33,72,132,178,4044,412,404,532
2019-05-30 15:40:46,A,22980006697000,False,0,4,11,89,17,102,2544,1482,2587,337,432
2019-05-30 15:41:15,H,22790006653000,True,0,5,11,182,180,129,739,1027,435,312,1901
2019-05-30 15:42:18,A,22640006649000,True,0,8,11,103,16,1,276,1482,433,611,664
2019-05-30 15:44:39,V1,22620006649000,True,0,22,11,86,764,202,119,1502,670,451,651
2019-05-30 15:49:12,V1,22600006652000,True,0,25,11,34,632,448,1212,724,119,815,1181
2019-05-30 15:49:31,A,22570006652000,True,0,1,11,105,10,22,604,1762,176,1841,1125
2019-05-30 15:54:22,A,22880006675000,True,0,30,11,80,73,168,479,817,1510,883,1274
2019-05-30 15:59:59,V1,22440006640000,True,0,27,11,105,1715,9,3207,657,1530,886,1867
2019-05-30 16:00:14,H,22630006648000,True,0,26,11,4,84,264,219,1017,521,765,667
2019-05-30 16:10:03,V1,22660006628000,False,0,20,11,25,2606,51,1117,811,96,1224,1855
2019-05-30 16:18:28,H,22630006652000,True,0,32,11,172,137,21,319,869,210,2077,261
2019-05-30 16:18:38,H,23040006669000,True,0,0,11,216,626,90,2738,3315,2832,878,615
2019-05-30 16:24:38,H,22560006656000,True,0,15,11,80,105,69,1036,1554,,,582
2019-05-30 16:27:41,A,22770006653000,True,0,3,11,152,21,227,292,1808,343,1388,1341
2019-05-30 16:32:19,H,22620006649000,True,0,9,11,165,660,43,60,1245,339,751,546
2019-05-30 16:32:46,V1,22660006628000,False,0,16,11,25,887,48,972,903,94,683,2744
2019-05-30 16:38:16,H,22630006654000,True,0,18,11,375,460,145,526,933,343,595,822
2019-05-30 16:42:38,V1,22660006649000,True,0,41,11,796,459,253,1221,833,969,865,925
2019-05-30 16:46:49,H,22540006653000,True,0,6,11,88,150,46,831,1122,752,475,1164
2019-05-30 16:52:05,H,22630006649000,True,0,42,11,88,77,25,214,2119,531,1233,469
2019-05-30 16:54:01,H,22660006644000,True,0,5,11,377,58,229,778,1522,997,569,938
