time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-05-30 08:02:58,H,22560006658000,False,0,37,15,190,606,0,1137,3141,969,883,681
2019-05-30 08:05:27,H,22610006649000,True,0,25,11,108,198,18,232,1481,364,1215,464
2019-05-30 08:12:13,H,22740006650000,True,0,11,5,57,1946,34,435,3210,653,795,273
2019-05-30 08:13:11,V1,23030006676000,False,0,5,2,130,1824,3,1375,124,,,1109
2019-05-30 08:19:50,A,22620006651000,True,0,27,11,194,12,83,129,2935,49,477,458
2019-05-30 08:28:48,H,22620006649000,True,0,26,11,43,174,108,61,886,339,871,229
2019-05-30 08:34:31,H,22610006651000,True,0,18,9,111,173,11,157,2785,163,1057,85
2019-05-30 08:34:39,V1,23070006643000,True,0,7,3,28,157,109,159,212,3914,1749,3025
2019-05-30 08:35:24,H,22820006703000,True,0,1,0,183,90,5,1081,2398,3441,1665,3286
2019-05-30 08:39:29,A,22640006652000,True,0,17,9,110,16,66,351,1044,96,591,739
2019-05-30 08:57:34,H,22630006649000,True,0,24,11,380,50,219,214,916,519,1409,475
2019-05-30 08:59:00,V1,22780006651000,True,0,43,17,147,1314,147,367,318,730,393,1075
2019-05-30 09:03:07,A,22550006648000,True,0,16,8,117,5,10,452,565,245,1149,397
2019-05-30 09:08:00,H,22610006650000,True,0,26,11,119,106,93,128,821,183,932,228
2019-05-30 09:16:38,A,22550006641000,True,0,33,14,174,30,4,1383,1765,,,2236
2019-05-30 09:17:05,V1,22620006651000,True,0,26,11,201,1836,431,223,654,78,1740,426
2019-05-30 09:20:36,V1,22620006649000,True,0,40,16,300,3061,7,1105,908,425,1096,997
2019-05-30 09:20:42,H,22650006635000,True,0,30,12,211,93,141,637,831,847,292,1601
2019-05-30 09:23:26,A,22620006648000,True,0,27,11,291,29,60,135,2709,371,905,209
2019-05-30 09:35:34,A,22570006652000,True,0,17,9,55,25,6,489,917,171,1605,675
2019-05-30 09:36:13,A,22610006650000,True,0,44,18,70,33,110,595,504,146,1085,428
2019-05-30 09:39:50,V1,22740006649000,True,0,43,17,69,5071,168,1408,1073,626,1070,1048
2019-05-30 09:40:15,H,22590006652000,True,0,38,15,33,78,193,754,660,154,1275,1113
2019-05-30 09:42:29,A,22620006649000,True,0,39,16,9,24,50,663,1493,256,1624,219
2019-05-30 09:45:45,A,22620006651000,True,0,25,11,72,24,45,265,1477,48,1460,452
2019-05-30 09:46:07,V1,22620006651000,True,0,41,16,64,1263,370,967,1387,76,805,968
2019-05-30 09:49:06,A,22540006620000,False,0,34,14,74,16,34,375,564,1174,960,1257
2019-05-30 09:51:08,A,22620006649000,True,0,19,9,165,6,58,313,2586,263,1955,399
2019-05-30 09:56:27,V1,22620006649000,True,0,24,11,41,2555,44,78,511,440,1808,465
2019-05-30 09:57:14,V1,22640006639000,True,0,28,12,300,251,461,328,798,1533,479,1187
2019-05-30 09:59:14,H,22590006651000,True,0,16,8,54,437,0,59,541,297,275,194
2019-05-30 10:01:35,A,22890006686000,True,0,0,0,17,11,36,479,1510,1815,749,1588
2019-05-30 10:03:59,A,22620006651000,True,0,24,11,12,11,3,280,382,47,755,429
2019-05-30 10:06:34,A,22710006651000,True,0,23,10,111,15,69,461,766,613,1365,1166
2019-05-30 10:13:42,A,22800006649000,True,0,11,5,116,14,74,438,819,426,1605,308
2019-05-30 10:23:16,A,22620006649000,True,0,44,18,75,1,83,46,652,271,764,1043
2019-05-30 10:25:45,H,22870006674000,True,0,3,1,140,49,9,431,1736,1866,642,1622
2019-05-30 10:30:39,A,22650006655000,True,0,18,9,32,27,13,558,2227,291,2611,742
2019-05-30 10:32:31,H,22660006647000,True,0,22,10,33,424,338,766,1432,633,833,795
2019-05-30 10:35:03,A,22660006642000,True,0,29,12,60,12,63,355,799,817,2061,1667
2019-05-30 10:39:03,H,22630006650000,True,0,27,11,82,62,21,246,1383,295,1413,459
2019-05-30 10:40:55,H,22620006653000,True,0,17,9,141,1186,18,143,999,147,1118,87
2019-05-30 10:41:21,V1,22670006645000,True,0,44,18,108,3426,83,724,1264,1424,1098,980
2019-05-30 10:45:41,H,22640006649000,True,0,25,11,156,188,44,490,1008,555,1213,482
2019-05-30 10:51:02,H,22640006651000,True,0,39,16,86,48,27,216,1172,311,788,977
2019-05-30 10:51:39,A,22720006649000,True,0,21,10,97,29,7,688,857,674,1379,1158
2019-05-30 10:57:34,V1,22640006652000,True,0,18,9,165,4699,427,603,1783,167,1079,729
2019-05-30 10:59:52,A,22710006652000,True,0,20,10,57,23,4,363,683,641,753,1102
2019-05-30 11:03:29,H,23070006645000,False,0,6,3,65,6,74,226,542,2194,748,3353
2019-05-30 11:05:08,V1,22590006652000,True,0,16,8,66,359,140,86,368,211,769,210
2019-05-30 11:08:47,A,22800006650000,True,0,11,5,271,30,13,427,1529,406,953,310
2019-05-30 11:23:28,A,22640006637000,True,0,28,12,68,72,73,333,962,764,725,1720
2019-05-30 11:24:28,V1,22620006649000,True,0,26,11,60,318,221,82,1086,463,1516,459
2019-05-30 11:24:40,V1,22830006705000,True,0,2,1,244,450,330,2633,821,4409,845,2399
2019-05-30 11:27:16,H,22720006658000,True,0,8,4,108,1830,258,549,1384,1199,481,1743
2019-05-30 11:28:43,V1,22640006648000,True,0,22,10,3,1762,198,634,523,847,837,778
2019-05-30 11:29:25,H,22790006665000,True,0,0,0,44,224,11,220,2847,1269,880,3167
2019-05-30 11:29:45,H,22640006642000,True,0,30,12,238,54,95,365,769,1163,1381,175
2019-05-30 11:32:54,V1,22700006654000,True,0,39,16,109,1362,111,85,570,966,404,950
2019-05-30 11:33:00,V1,22640006652000,True,0,27,11,51,3481,439,766,1093,163,421,924
2019-05-30 11:38:11,H,22490006648000,True,0,14,7,128,52,122,288,931,286,579,83
2019-05-30 11:38:58,A,22670006652000,True,0,40,16,62,184,69,239,1539,,,408
2019-05-30 11:43:42,A,22790006653000,True,0,42,17,73,14,55,262,931,,,464
2019-05-30 11:46:01,H,22880006689000,True,0,4,1,346,325,18,1220,1077,2557,1140,2253
2019-05-30 11:47:01,V1,22480006648000,True,0,15,7,221,714,44,86,1302,84,325,85
2019-05-30 11:49:36,V1,22900006655000,True,0,3,1,41,741,253,2032,1283,2071,1260,2215
2019-05-30 11:57:01,V1,22590006651000,True,0,19,9,286,152,31,655,653,422,434,479
2019-05-30 12:04:33,H,22680006649000,True,0,21,10,282,109,142,335,1194,896,367,1105
2019-05-30 12:04:44,H,22620006649000,True,0,25,11,420,130,120,61,718,323,1285,230
2019-05-30 12:05:52,A,22650006639000,True,0,29,12,281,6,16,471,842,,,392
2019-05-30 12:06:34,V1,22620006649000,True,0,25,11,8,2972,121,246,328,463,974,443
2019-05-30 12:25:38,A,22700006654000,True,0,40,16,110,47,93,46,879,539,2121,959
2019-05-30 12:26:15,H,22730006649000,True,0,20,10,80,362,47,746,806,615,284,1153
2019-05-30 12:38:03,A,22580006650000,True,0,30,12,75,42,57,137,984,216,1405,1901
2019-05-30 12:39:01,H,22630006648000,True,0,26,11,278,222,29,224,890,528,868,470
2019-05-30 12:40:41,A,22640006654000,True,0,17,9,94,1,177,396,1637,262,806,730
2019-05-30 12:41:02,H,22480006647000,True,0,14,7,698,575,115,372,1630,370,503,84
2019-05-30 12:42:13,H,22620006649000,True,0,24,11,224,87,57,59,2024,333,181,471
2019-05-30 12:45:54,H,22820006660000,True,0,42,17,81,1027,104,721,138,1262,631,1055
2019-05-30 12:51:09,V1,22540006621000,True,0,34,14,207,1479,364,715,747,2058,358,1463
2019-05-30 12:52:49,H,22620006649000,True,0,16,8,91,74,116,334,989,,,460
2019-05-30 12:53:43,H,22670006646000,True,0,22,10,235,154,114,769,477,832,583,1157
2019-05-30 12:59:40,V1,22690006650000,True,0,23,10,145,1683,106,422,1626,1253,1953,1244
2019-05-30 13:08:35,A,22740006650000,True,0,11,5,177,5,2,369,1347,496,893,333
2019-05-30 13:10:20,A,22540006653000,True,0,36,15,24,9,53,439,1218,621,826,707
2019-05-30 13:13:52,H,22410006640000,True,0,13,6,37,40,0,571,432,1173,863,1270
2019-05-30 13:16:14,V1,22570006655000,True,0,16,8,153,394,196,1261,787,886,518,415
2019-05-30 13:21:24,H,22670006628000,False,0,32,13,363,88,211,168,1889,216,1099,219
2019-05-30 13:25:59,V1,22690006650000,True,0,20,10,72,1097,171,435,1238,1223,361,337
2019-05-30 13:30:30,A,22880006675000,True,0,1,0,48,48,71,815,1439,1531,1000,3434
2019-05-30 13:33:39,H,22650006644000,True,0,44,18,522,580,128,264,120,885,354,815
2019-05-30 13:37:04,A,22630006649000,True,0,27,11,35,13,6,164,566,407,799,242
2019-05-30 13:37:53,V1,22540006622000,True,0,33,14,76,786,220,616,598,2097,912,1827
2019-05-30 13:48:59,A,22620006649000,True,0,24,11,69,19,72,45,215,269,994,490
2019-05-30 13:54:42,A,22480006653000,False,0,15,7,277,1,54,552,1818,531,733,114
2019-05-30 14:00:30,H,22720006654000,True,0,41,16,425,258,79,526,2070,942,620,1744
2019-05-30 14:05:54,H,22640006645000,True,0,25,11,36,180,290,626,1710,,,806
2019-05-30 14:09:36,V1,22600006650000,True,0,16,8,10,2620,30,418,586,694,231,768
2019-05-30 14:11:19,A,22630006649000,True,0,27,11,87,19,1,259,3166,,,410
2019-05-30 14:13:28,H,22640006638000,True,0,29,12,51,70,89,540,2066,966,966,2371
2019-05-30 14:18:59,H,23070006643000,True,0,6,3,170,119,161,96,919,2304,851,4592
2019-05-30 14:21:01,H,22670006645000,True,0,44,18,43,93,9,832,1643,1043,649,1233
2019-05-30 14:24:11,H,22450006641000,True,0,12,6,183,248,134,186,3769,1044,1017,1687
2019-05-30 14:24:49,H,22730006656000,True,0,8,4,10,95,138,482,1265,977,717,2514
2019-05-30 14:25:03,H,22780006653000,True,0,42,17,119,107,69,460,1931,500,610,1355
2019-05-30 14:26:42,A,22700006654000,True,0,39,16,29,23,32,47,3255,549,994,1370
2019-05-30 14:26:43,V1,22620006651000,True,0,17,9,176,2504,214,538,2026,113,1405,436
2019-05-30 14:30:12,H,22710006655000,True,0,40,16,175,53,39,111,748,788,781,897
2019-05-30 14:32:23,A,22630006653000,True,0,19,9,172,20,60,171,859,173,1823,114
2019-05-30 14:33:35,H,22780006652000,True,0,20,10,120,543,20,448,1075,414,1010,1196
2019-05-30 14:35:37,V1,22640006639000,True,0,28,12,22,2456,115,454,1933,2260,1187,2510
2019-05-30 14:38:54,V1,22620006649000,True,0,26,11,61,3093,52,323,1526,683,714,647
2019-05-30 14:41:30,H,22660006652000,True,0,21,10,156,509,80,429,958,469,788,1072
