time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-05-30 08:02:58,H,22560006658000,False,0,21,8,190,606,0,976,3141,987,883,82
2019-05-30 08:05:27,H,22610006649000,True,0,28,11,108,198,18,270,1481,360,1215,464
2019-05-30 08:12:13,H,22740006650000,True,0,15,5,57,1946,34,436,3210,617,795,296
2019-05-30 08:13:11,V1,23030006676000,False,0,7,2,130,1824,3,1371,124,,,1150
2019-05-30 08:19:50,A,22620006651000,True,0,23,9,194,12,83,222,2935,46,477,406
2019-05-30 08:28:48,H,22620006649000,True,0,44,18,43,174,108,583,886,330,871,720
2019-05-30 08:34:31,H,22610006651000,True,0,39,16,111,173,11,868,2785,166,1057,76
2019-05-30 08:34:39,V1,23070006643000,True,0,11,3,28,157,109,169,212,3805,1749,3013
2019-05-30 08:35:24,H,22820006703000,True,0,2,0,183,90,5,1122,2398,3407,1665,3334
2019-05-30 08:39:29,A,22640006652000,True,0,22,9,110,16,66,339,1044,95,591,741
2019-05-30 08:57:34,H,22630006649000,True,0,27,11,380,50,219,216,916,499,1409,462
2019-05-30 08:59:00,V1,22780006651000,True,0,42,17,147,1314,147,348,318,713,393,1084
2019-05-30 09:03:07,A,22550006648000,True,0,38,15,117,5,10,518,565,241,1149,674
2019-05-30 09:08:00,H,22610006650000,True,0,28,11,119,106,93,219,821,188,932,222
2019-05-30 09:16:38,A,22550006641000,True,0,34,14,174,30,4,1412,1765,,,2277
2019-05-30 09:17:05,V1,22620006651000,True,0,28,11,201,1836,431,226,654,80,1740,430
2019-05-30 09:20:36,V1,22620006649000,True,0,37,15,300,4640,7,931,908,463,1096,1566
2019-05-30 09:20:42,H,22650006635000,True,0,31,12,211,93,141,631,831,846,292,1600
2019-05-30 09:23:26,A,22620006648000,True,0,44,18,291,29,60,212,2709,358,905,1069
2019-05-30 09:35:34,A,22570006652000,True,0,23,9,55,25,6,508,917,176,1605,677
2019-05-30 09:36:13,A,22610006650000,True,0,22,9,70,33,110,250,504,149,1085,281
2019-05-30 09:39:50,V1,22740006649000,True,0,41,17,69,4662,168,1370,1073,630,1070,1062
2019-05-30 09:40:15,H,22590006652000,True,0,37,15,33,78,193,732,660,156,1275,726
2019-05-30 09:42:29,A,22620006649000,True,0,43,18,9,24,50,455,1493,263,1624,432
2019-05-30 09:45:45,A,22620006651000,True,0,40,16,72,24,45,579,1477,49,1460,931
2019-05-30 09:46:07,V1,22620006651000,True,0,21,8,64,679,370,912,1387,78,805,646
2019-05-30 09:49:06,A,22540006620000,False,0,35,14,74,16,34,382,564,1163,960,1235
2019-05-30 09:51:08,A,22620006649000,True,0,20,8,165,6,58,311,2586,270,1955,715
2019-05-30 09:56:27,V1,22620006649000,True,0,38,15,41,3426,44,1395,511,460,1808,846
2019-05-30 09:57:14,V1,22640006639000,True,0,30,12,300,251,461,317,798,1491,479,1273
2019-05-30 09:59:14,H,22590006651000,True,0,39,16,54,211,0,464,541,310,275,817
2019-05-30 10:01:35,A,22890006686000,True,0,0,0,17,11,36,482,1510,1834,749,1473
2019-05-30 10:03:59,A,22620006651000,True,0,27,11,12,11,3,266,382,47,755,208
2019-05-30 10:06:34,A,22710006651000,True,0,26,10,111,15,69,448,766,611,1365,1115
2019-05-30 10:13:42,A,22800006649000,True,0,14,5,116,14,74,450,819,424,1605,305
2019-05-30 10:23:16,A,22620006649000,True,0,22,9,75,1,83,188,652,261,764,270
2019-05-30 10:25:45,H,22870006674000,True,0,3,1,140,49,9,421,1736,1920,642,2282
2019-05-30 10:30:39,A,22650006655000,True,0,27,11,32,27,13,593,2227,301,2611,956
2019-05-30 10:32:31,H,22660006647000,True,0,24,10,33,424,338,618,1432,645,833,1147
2019-05-30 10:35:03,A,22660006642000,True,0,29,12,60,12,63,372,799,791,2061,1876
2019-05-30 10:39:03,H,22630006650000,True,0,39,16,82,62,21,285,1383,287,1413,958
2019-05-30 10:40:55,H,22620006653000,True,0,22,9,141,1186,18,305,999,145,1118,83
2019-05-30 10:41:21,V1,22670006645000,True,0,44,18,108,3426,83,734,1264,1483,1098,799
2019-05-30 10:45:41,H,22640006649000,True,0,25,10,156,188,44,296,1008,541,1213,750
2019-05-30 10:51:02,H,22640006651000,True,0,43,18,86,48,27,415,1172,315,788,1145
2019-05-30 10:51:39,A,22720006649000,True,0,15,5,97,29,7,390,857,665,1379,309
2019-05-30 10:57:34,V1,22640006652000,True,0,23,9,165,4699,427,614,1783,171,1079,730
2019-05-30 10:59:52,A,22710006652000,True,0,42,17,57,23,4,741,683,613,753,960
2019-05-30 11:03:29,H,23070006645000,False,0,10,3,65,6,74,226,542,2148,748,3292
2019-05-30 11:05:08,V1,22590006652000,True,0,23,9,66,359,140,552,368,215,769,480
2019-05-30 11:08:47,A,22800006650000,True,0,14,5,271,30,13,446,1529,397,953,292
2019-05-30 11:23:28,A,22640006637000,True,0,30,12,68,72,73,296,962,811,725,1671
2019-05-30 11:24:28,V1,22620006649000,True,0,28,11,60,318,221,81,1086,466,1516,473
2019-05-30 11:24:40,V1,22830006705000,True,0,1,0,244,450,330,1304,821,4537,845,3322
2019-05-30 11:27:16,H,22720006658000,True,0,13,4,108,1830,258,583,1384,1167,481,1807
2019-05-30 11:28:43,V1,22640006648000,True,0,25,10,3,1762,198,637,523,848,837,1100
2019-05-30 11:29:25,H,22790006665000,True,0,0,0,44,224,11,267,2847,1249,880,3322
2019-05-30 11:29:45,H,22640006642000,True,0,31,12,238,54,95,372,769,1179,1381,678
2019-05-30 11:32:54,V1,22700006654000,True,0,39,16,109,1362,111,85,570,974,404,996
2019-05-30 11:33:00,V1,22640006652000,True,0,31,12,51,4328,439,816,1093,169,421,1214
2019-05-30 11:38:11,H,22490006648000,True,0,18,7,128,52,122,285,931,286,579,85
2019-05-30 11:38:58,A,22670006652000,True,0,40,16,62,184,69,236,1539,,,410
2019-05-30 11:43:42,A,22790006653000,True,0,12,4,73,14,55,759,931,,,1309
2019-05-30 11:46:01,H,22880006689000,True,0,4,1,346,325,18,1161,1077,2558,1140,2264
2019-05-30 11:47:01,V1,22480006648000,True,0,19,7,221,714,44,83,1302,83,325,85
