time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-08-04 08:00:19,H,22640006633000,True,0,30,13,271,976,56,629,1167,600,967,144
2019-08-04 08:04:23,H,22650006652000,True,0,24,9,66,25,76,527,1504,60,339,529
2019-08-04 08:12:13,A,22640006643000,True,0,20,8,39,240,22,906,3080,810,939,274
2019-08-04 08:13:11,V1,22710006670000,False,0,9,4,134,1600,2,694,402,,,694
2019-08-04 08:28:48,A,22620006649000,True,0,22,9,31,24,73,405,1597,,,508
2019-08-04 08:40:25,A,23150006634000,False,0,6,3,102,19,27,881,572,2554,1483,2575
2019-08-04 08:41:06,A,22570006651000,True,0,18,8,89,18,115,219,1651,47,1281,266
2019-08-04 08:44:07,H,22620006651000,True,0,23,9,139,166,106,289,370,61,737,291
2019-08-04 08:54:22,V1,22620006650000,True,0,26,9,16,523,35,404,707,162,1398,215
2019-08-04 08:59:00,V1,22560006650000,True,0,36,15,153,1527,146,374,332,193,372,489
2019-08-04 08:59:35,H,22600006652000,True,0,19,8,317,1135,168,149,446,60,1252,143
2019-08-04 09:00:44,A,22600006649000,True,0,16,8,39,14,42,300,1770,307,1511,561
2019-08-04 09:03:32,V1,22930006694000,True,0,0,0,221,1861,178,622,654,3012,453,2490
2019-08-04 09:16:13,A,22760006655000,True,0,43,17,28,52,59,358,670,521,939,834
2019-08-04 09:20:36,H,22620006649000,True,0,25,9,632,515,3,378,1402,329,1324,309
2019-08-04 09:20:42,H,22560006650000,True,0,35,15,201,94,157,341,829,199,277,484
2019-08-04 09:35:24,H,22730006654000,True,0,38,16,174,91,6,456,2503,781,1877,1007
2019-08-04 09:36:13,A,22610006650000,True,0,24,9,68,36,117,168,448,149,1116,309
2019-08-04 09:39:29,A,22640006652000,True,0,21,9,107,18,71,344,973,97,589,372
2019-08-04 09:39:50,V1,22690006654000,True,0,40,16,70,3482,166,210,1195,689,990,802
2019-08-04 09:45:54,A,22630006649000,True,0,26,9,123,170,5,441,461,408,846,304
2019-08-04 09:49:06,A,22630006637000,True,0,29,13,72,18,39,925,505,926,980,155
2019-08-04 09:57:34,A,22610006650000,True,0,22,9,198,8,127,252,1126,148,1784,311
2019-08-04 10:08:00,H,22650006652000,True,0,23,9,114,107,108,526,819,60,917,569
2019-08-04 10:08:51,H,22620006649000,True,0,19,8,376,484,238,523,511,324,1039,551
2019-08-04 10:09:25,V1,22600006651000,True,0,20,8,464,3217,462,169,1314,264,395,426
2019-08-04 10:13:42,H,22630006650000,True,0,21,9,194,107,135,293,593,298,1365,316
