time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-11-12 07:00:19,V1,22590006652000,True,0,21,11,192,6482,77,976,904,234,827,873
2019-11-12 07:02:58,V1,22630006648000,True,0,38,11,128,5326,2,397,2269,780,756,238
2019-11-12 07:04:23,A,22650006649000,True,0,1,11,47,5,35,441,1787,475,417,528
2019-11-12 07:12:13,A,22670006645000,True,0,22,11,41,196,16,803,3155,866,956,784
2019-11-12 07:13:11,V1,23080006679000,False,0,37,11,140,11312,2,4531,340,,,4859
2019-11-12 07:13:52,A,22620006649000,True,0,13,11,146,18,76,46,4680,,,106
2019-11-12 07:23:51,A,22620006649000,True,0,33,11,363,16,8,46,1167,273,617,575
2019-11-12 07:26:11,A,22700006654000,True,0,20,11,76,4,78,660,1287,553,1592,817
2019-11-12 07:28:48,A,22620006649000,True,0,32,11,33,20,69,46,1781,,,108
2019-11-12 07:33:32,V1,22680006648000,True,0,36,11,116,4981,168,1658,214,1634,930,553
2019-11-12 07:35:24,V1,22760006654000,True,0,11,11,81,64,93,2160,1240,1162,849,1934
2019-11-12 07:38:06,V1,22660006628000,False,0,39,11,183,8816,220,786,595,75,929,729
2019-11-12 07:39:29,A,22560006654000,True,0,31,11,116,15,67,744,1144,410,601,487
2019-11-12 07:40:25,A,22570006630000,False,0,44,11,111,16,20,1629,703,962,1521,747
2019-11-12 07:59:00,V1,22640006632000,True,0,39,11,161,3366,131,2555,355,645,386,800
2019-11-12 08:01:55,H,22860006673000,True,0,34,11,202,37,22,1387,3340,1607,579,1345
2019-11-12 08:02:09,H,22500006649000,True,0,4,11,149,340,140,1178,1451,408,423,2023
2019-11-12 08:03:32,V1,22780006651000,True,0,3,11,242,4197,169,2098,690,671,467,324
2019-11-12 08:16:10,A,22550006614000,False,0,12,11,176,105,43,1470,2249,,,4235
2019-11-12 08:16:46,V1,22620006649000,True,0,28,11,100,3216,16,89,730,511,1219,502
2019-11-12 08:20:36,V1,22620006649000,True,0,2,11,381,2973,6,88,1022,488,1056,457
2019-11-12 08:20:42,V1,22590006654000,True,0,6,11,143,5295,333,1220,705,364,288,978
2019-11-12 08:22:08,H,22630006651000,True,0,29,11,379,351,138,404,847,172,515,492
2019-11-12 08:28:19,H,22600006650000,True,0,0,11,105,967,126,246,1211,362,189,245
2019-11-12 08:35:17,A,22660006641000,True,0,30,11,43,8,74,693,796,808,718,649
2019-11-12 08:35:24,H,22870006676000,False,0,42,11,201,106,5,1433,2615,1737,1818,1071
2019-11-12 08:35:58,A,22560006654000,True,0,31,11,81,18,48,505,819,393,1334,197
2019-11-12 08:36:13,A,22480006653000,False,0,43,11,74,30,110,1313,555,543,1135,1968
2019-11-12 08:45:35,V1,22660006641000,True,0,18,11,43,1564,103,1326,5109,,,1249
2019-11-12 08:45:45,H,22640006639000,True,0,17,11,131,244,88,373,1391,1118,1207,2137
2019-11-12 08:49:23,H,22820006646000,True,0,25,11,360,40,59,1218,3482,902,1331,1587
2019-11-12 08:57:34,H,22630006650000,True,0,14,11,439,59,268,168,1058,286,1472,439
2019-11-12 08:58:01,A,22650006651000,True,0,20,11,26,1,109,384,2128,440,1731,880
2019-11-12 09:01:37,V1,22760006650000,True,0,19,11,379,338,277,1788,3928,84,1349,1688
2019-11-12 09:08:00,H,22570006643000,True,0,44,11,132,124,113,1824,950,2040,905,694
2019-11-12 09:08:49,H,22440006641000,True,0,0,11,69,1435,159,1312,1771,826,1600,1562
2019-11-12 09:08:51,A,22630006650000,True,0,15,11,221,38,116,136,792,234,1290,498
2019-11-12 09:09:25,V1,22660006649000,True,0,4,11,524,4565,458,969,1286,837,409,633
