time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-11-12 07:00:19,V1,22590006652000,True,0,18,9,192,6482,77,705,904,230,827,508
2019-11-12 07:02:58,V1,22630006648000,True,0,26,11,128,5326,2,400,2269,776,756,246
2019-11-12 07:04:23,A,22650006649000,True,0,44,18,47,5,35,389,1787,472,417,1278
2019-11-12 07:12:13,A,22670006645000,True,0,23,10,41,196,16,843,3155,823,956,1019
2019-11-12 07:13:11,V1,23080006679000,False,0,5,2,140,1824,2,1826,340,,,2171
2019-11-12 07:13:52,A,22620006649000,True,0,27,11,146,18,76,46,4680,,,107
2019-11-12 07:23:51,A,22620006649000,True,0,19,9,363,16,8,419,1167,269,617,533
2019-11-12 07:26:11,A,22700006654000,True,0,39,16,76,4,78,48,1287,538,1592,1276
2019-11-12 07:28:48,A,22620006649000,True,0,18,9,33,20,69,415,1781,,,947
2019-11-12 07:33:32,V1,22680006648000,True,0,22,10,116,4019,168,991,214,1605,930,841
2019-11-12 07:35:24,V1,22760006654000,True,0,43,17,81,64,93,1028,1240,1167,849,292
2019-11-12 07:38:06,V1,22660006628000,False,0,31,13,183,4066,220,263,595,90,929,212
2019-11-12 07:39:29,A,22560006654000,True,0,16,8,116,15,67,381,1144,402,601,508
2019-11-12 07:40:25,A,22570006630000,False,0,34,14,111,16,20,595,703,951,1521,1700
2019-11-12 07:59:00,V1,22640006632000,True,0,32,13,161,1312,131,879,355,776,386,204
2019-11-12 08:01:55,H,22860006673000,True,0,3,1,202,37,22,229,3340,1678,579,2494
2019-11-12 08:02:09,H,22500006649000,True,0,37,15,149,340,140,303,1451,388,423,1134
2019-11-12 08:03:32,V1,22780006651000,True,0,11,5,242,2112,169,1043,690,784,467,321
2019-11-12 08:16:10,A,22550006614000,False,0,35,14,176,105,43,800,2249,,,1373
2019-11-12 08:16:46,V1,22620006649000,True,0,19,9,100,3321,16,572,730,500,1219,372
2019-11-12 08:20:36,V1,22620006649000,True,0,30,12,381,3389,6,939,1022,497,1056,600
2019-11-12 08:20:42,V1,22590006654000,True,0,17,9,143,887,333,1114,705,415,288,355
2019-11-12 08:22:08,H,22630006651000,True,0,19,9,379,351,138,358,847,167,515,335
