time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-11-12 07:00:19,V1,22590006652000,True,0,16,8,192,6482,77,107,904,224,827,236
2019-11-12 07:02:58,V1,22630006648000,True,0,30,11,128,5326,2,411,2269,774,756,244
2019-11-12 07:04:23,A,22650006649000,True,0,42,18,47,5,35,384,1787,470,417,1281
2019-11-12 07:12:13,A,22670006645000,True,0,43,18,41,196,16,424,3155,782,956,1222
2019-11-12 07:13:11,V1,23080006679000,False,0,2,2,140,1824,2,1882,340,,,2103
2019-11-12 07:13:52,A,22620006649000,True,0,25,11,146,18,76,48,4680,,,104
2019-11-12 07:23:51,A,22620006649000,True,0,24,11,363,16,8,49,1167,254,617,602
2019-11-12 07:26:11,A,22700006654000,True,0,39,16,76,4,78,46,1287,542,1592,1230
2019-11-12 07:28:48,A,22620006649000,True,0,28,11,33,20,69,46,1781,,,105
2019-11-12 07:33:32,V1,22680006648000,True,0,21,10,116,4019,168,1017,214,1585,930,1178
2019-11-12 07:35:24,V1,22760006654000,True,0,41,17,81,64,93,982,1240,1113,849,1361
2019-11-12 07:38:06,V1,22660006628000,False,0,42,18,183,4066,220,2220,595,90,929,801
2019-11-12 07:39:29,A,22560006654000,True,0,17,8,116,15,67,373,1144,398,601,503
2019-11-12 07:40:25,A,22570006630000,False,0,35,13,111,16,20,873,703,898,1521,261
2019-11-12 07:59:00,V1,22640006632000,True,0,34,12,161,1312,131,1548,355,778,386,742
2019-11-12 08:01:55,H,22860006673000,True,0,9,5,202,37,22,1577,3340,1685,579,285
2019-11-12 08:02:09,H,22500006649000,True,0,38,15,149,340,140,310,1451,398,423,1112
2019-11-12 08:03:32,V1,22780006651000,True,0,6,5,242,2112,169,1055,690,791,467,321
2019-11-12 08:16:10,A,22550006614000,False,0,33,12,176,105,43,1783,2249,,,3422
2019-11-12 08:16:46,V1,22620006649000,True,0,27,11,100,3321,16,89,730,489,1219,482
2019-11-12 08:20:36,V1,22620006649000,True,0,28,11,381,2973,6,88,1022,488,1056,437
2019-11-12 08:20:42,V1,22590006654000,True,0,15,8,143,887,333,571,705,433,288,427
2019-11-12 08:22:08,H,22630006651000,True,0,20,9,379,351,138,369,847,170,515,431
2019-11-12 08:28:19,H,22600006650000,True,0,18,8,105,967,126,279,1211,365,189,575
2019-11-12 08:35:17,A,22660006641000,True,0,44,18,43,8,74,336,796,798,718,1043
