time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-11-12 07:00:19,V1,22590006652000,True,0,21,8,192,6482,77,104,904,235,827,227
2019-11-12 07:02:58,V1,22630006648000,True,0,32,11,128,5326,2,404,2269,785,756,498
2019-11-12 07:04:23,A,22650006649000,True,0,32,11,47,5,35,421,1787,481,417,550
2019-11-12 07:12:13,A,22670006645000,True,0,35,12,41,196,16,854,3155,819,956,2415
2019-11-12 07:13:11,V1,23080006679000,False,0,6,2,140,1824,2,1819,340,,,2144
2019-11-12 07:13:52,A,22620006649000,True,0,24,9,146,18,76,314,4680,,,384
2019-11-12 07:23:51,A,22620006649000,True,0,23,9,363,16,8,421,1167,261,617,511
2019-11-12 07:26:11,A,22700006654000,True,0,28,10,76,4,78,433,1287,560,1592,1484
2019-11-12 07:28:48,A,22620006649000,True,0,25,9,33,20,69,413,1781,,,924
2019-11-12 07:33:32,V1,22680006648000,True,0,29,10,116,4019,168,1040,214,1637,930,823
2019-11-12 07:35:24,V1,22760006654000,True,0,13,5,81,64,93,987,1240,1157,849,387
2019-11-12 07:38:06,V1,22660006628000,False,0,41,13,183,4066,220,258,595,91,929,225
2019-11-12 07:39:29,A,22560006654000,True,0,21,8,116,15,67,369,1144,407,601,490
2019-11-12 07:40:25,A,22570006630000,False,0,42,14,111,16,20,589,703,941,1521,1840
2019-11-12 07:59:00,V1,22640006632000,True,0,40,13,161,1312,131,859,355,782,386,220
2019-11-12 08:01:55,H,22860006673000,True,0,3,1,202,37,22,232,3340,1668,579,2341
2019-11-12 08:02:09,H,22500006649000,True,0,18,7,149,340,140,387,1451,387,423,108
2019-11-12 08:03:32,V1,22780006651000,True,0,13,5,242,2678,169,1014,690,789,467,332
2019-11-12 08:16:10,A,22550006614000,False,0,44,14,176,105,43,824,2249,,,1246
2019-11-12 08:16:46,V1,22620006649000,True,0,34,11,100,3320,16,92,730,482,1219,486
2019-11-12 08:20:36,V1,22620006649000,True,0,25,9,381,3451,6,757,1022,488,1056,361
2019-11-12 08:20:42,V1,22590006654000,True,0,20,8,143,887,333,580,705,424,288,430
2019-11-12 08:22:08,H,22630006651000,True,0,26,9,379,351,138,358,847,172,515,415
2019-11-12 08:28:19,H,22600006650000,True,0,24,9,105,967,126,193,1211,355,189,90
2019-11-12 08:35:17,A,22660006641000,True,0,36,12,43,8,74,355,796,782,718,1988
2019-11-12 08:35:24,H,22870006676000,False,0,2,1,201,106,5,366,2615,1756,1818,2111
2019-11-12 08:35:58,A,22560006654000,True,0,22,8,81,18,48,375,819,397,1334,86
2019-11-12 08:36:13,A,22480006653000,False,0,17,7,74,30,110,555,555,534,1135,90
2019-11-12 08:45:35,V1,22660006641000,True,0,38,12,43,1564,103,696,5109,,,610
2019-11-12 08:45:45,H,22640006639000,True,0,37,12,131,244,88,245,1391,1163,1207,1566
2019-11-12 08:49:23,H,22820006646000,True,0,12,5,360,40,59,917,3482,919,1331,281
2019-11-12 08:57:34,H,22630006650000,True,0,33,11,439,59,268,306,1058,284,1472,427
2019-11-12 08:58:01,A,22650006651000,True,0,30,10,26,1,109,421,2128,442,1731,1084
2019-11-12 09:01:37,V1,22760006650000,True,0,14,5,379,338,277,332,3928,77,1349,288
2019-11-12 09:08:00,H,22570006643000,True,0,43,14,132,124,113,1542,950,2095,905,1242
2019-11-12 09:08:49,H,22440006641000,True,0,16,6,69,194,159,57,1771,845,1600,1091
2019-11-12 09:08:51,A,22630006650000,True,0,31,11,221,38,116,239,792,234,1290,501
2019-11-12 09:09:25,V1,22660006649000,True,0,31,11,524,3541,458,939,1286,853,409,613
2019-11-12 09:13:42,A,22870006674000,True,0,4,1,123,14,75,326,908,1469,1669,2112
2019-11-12 09:19:07,H,23000006673000,False,0,5,2,30,151,97,507,1523,2289,1058,3458
2019-11-12 09:21:56,V1,22710006657000,True,0,10,4,174,499,137,1040,1056,1546,542,1639
2019-11-12 09:23:08,H,22560006653000,True,0,20,8,262,46,32,462,1914,494,2554,290
2019-11-12 09:23:16,A,22600006650000,True,0,26,9,79,2,85,168,725,286,784,90
2019-11-12 09:25:43,A,22690006653000,True,0,27,10,110,28,72,301,1484,518,1773,724
2019-11-12 09:25:48,H,22520006647000,True,0,22,8,113,142,22,548,389,556,1304,361
2019-11-12 09:26:08,A,22570006614000,True,0,44,14,78,16,38,423,3659,1227,1153,1379
2019-11-12 09:30:39,A,22450006651000,False,0,17,7,33,25,11,391,2345,418,2812,83
2019-11-12 09:32:08,H,22620006649000,True,0,23,9,266,188,308,517,716,325,763,361
2019-11-12 09:32:31,H,22630006651000,True,0,28,10,38,525,372,780,1598,171,807,78
2019-11-12 09:35:42,V1,22640006652000,True,0,11,5,36,610,589,1459,927,155,1442,806
