time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-11-12 07:00:19,V1,22590006652000,True,0,37,15,192,6482,77,1339,904,226,827,586
2019-11-12 07:02:58,V1,22630006648000,True,0,28,11,128,5326,2,398,2269,792,756,251
2019-11-12 07:04:23,A,22650006649000,True,0,44,18,47,5,35,389,1787,478,417,1273
2019-11-12 07:12:13,A,22670006645000,True,0,43,18,41,196,16,434,3155,810,956,107
2019-11-12 07:13:11,V1,23080006679000,False,0,4,2,140,1824,2,1862,340,,,2026
2019-11-12 07:13:52,A,22620006649000,True,0,22,9,146,18,76,188,4680,,,921
2019-11-12 07:23:51,A,22620006649000,True,0,21,8,363,16,8,427,1167,265,617,908
2019-11-12 07:26:11,A,22700006654000,True,0,39,16,76,4,78,47,1287,535,1592,1246
2019-11-12 07:28:48,A,22620006649000,True,0,19,8,33,20,69,430,1781,,,970
2019-11-12 07:33:32,V1,22680006648000,True,0,26,10,116,4019,168,984,214,1603,930,1219
2019-11-12 07:35:24,V1,22760006654000,True,0,40,17,81,64,93,995,1240,1172,849,1368
2019-11-12 07:38:06,V1,22660006628000,False,0,31,13,183,4066,220,264,595,89,929,218
2019-11-12 07:39:29,A,22560006654000,True,0,20,8,116,15,67,384,1144,396,601,501
2019-11-12 07:40:25,A,22570006630000,False,0,33,14,111,16,20,590,703,972,1521,1720
2019-11-12 07:59:00,V1,22640006632000,True,0,32,13,161,1312,131,860,355,746,386,208
2019-11-12 08:01:55,H,22860006673000,True,0,3,1,202,37,22,233,3340,1678,579,2358
2019-11-12 08:02:09,H,22500006649000,True,0,36,15,149,340,140,305,1451,405,423,1136
2019-11-12 08:03:32,V1,22780006651000,True,0,12,5,242,2683,169,1068,690,764,467,335
2019-11-12 08:16:10,A,22550006614000,False,0,34,14,176,105,43,824,2249,,,1266
2019-11-12 08:16:46,V1,22620006649000,True,0,38,16,100,3512,16,1196,730,487,1219,653
2019-11-12 08:20:36,V1,22620006649000,True,0,22,9,381,3402,6,755,1022,494,1056,367
2019-11-12 08:20:42,V1,22590006654000,True,0,43,18,143,1330,333,1553,705,443,288,1376
2019-11-12 08:22:08,H,22630006651000,True,0,23,9,379,351,138,365,847,166,515,333
2019-11-12 08:28:19,H,22600006650000,True,0,20,8,105,967,126,264,1211,357,189,568
