time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-11-12 07:00:19,V1,22590006652000,True,0,28,11,192,6482,77,925,904,226,827,399
2019-11-12 07:02:58,V1,22630006648000,True,0,30,11,128,5326,2,394,2269,760,756,247
2019-11-12 07:04:23,A,22650006649000,True,0,47,18,47,5,35,393,1787,473,417,1272
2019-11-12 07:12:13,A,22670006645000,True,0,48,18,41,196,16,414,3155,849,956,1177
2019-11-12 07:13:11,V1,23080006679000,False,0,6,2,140,1824,2,1916,340,,,2083
2019-11-12 07:13:52,A,22620006649000,True,0,22,9,146,18,76,299,4680,,,933
2019-11-12 07:23:51,A,22620006649000,True,0,23,9,363,16,8,406,1167,269,617,505
2019-11-12 07:26:11,A,22700006654000,True,0,44,16,76,4,78,48,1287,569,1592,1242
2019-11-12 07:28:48,A,22620006649000,True,0,24,9,33,20,69,406,1781,,,952
2019-11-12 07:33:32,V1,22680006648000,True,0,27,10,116,4019,168,1004,214,1599,930,835
2019-11-12 07:35:24,V1,22760006654000,True,0,45,17,81,64,93,972,1240,1186,849,1348
2019-11-12 07:38:06,V1,22660006628000,False,0,35,13,183,4066,220,253,595,87,929,218
2019-11-12 07:39:29,A,22560006654000,True,0,19,8,116,15,67,370,1144,403,601,506
2019-11-12 07:40:25,A,22570006630000,False,0,37,14,111,16,20,577,703,944,1521,1766
2019-11-12 07:59:00,V1,22640006632000,True,0,36,13,161,1312,131,853,355,792,386,218
2019-11-12 08:01:55,H,22860006673000,True,0,4,1,202,37,22,229,3340,1655,579,2979
2019-11-12 08:02:09,H,22500006649000,True,0,40,15,149,340,140,305,1451,402,423,1103
2019-11-12 08:03:32,V1,22780006651000,True,0,13,5,242,2678,169,1062,690,768,467,327
2019-11-12 08:16:10,A,22550006614000,False,0,38,14,176,105,43,849,2249,,,1371
2019-11-12 08:16:46,V1,22620006649000,True,0,42,16,100,3510,16,1244,730,492,1219,916
2019-11-12 08:20:36,V1,22620006649000,True,0,49,18,381,3405,6,967,1022,504,1056,663
2019-11-12 08:20:42,V1,22590006654000,True,0,23,9,143,1328,333,1133,705,442,288,724
2019-11-12 08:22:08,H,22630006651000,True,0,24,9,379,351,138,371,847,166,515,329
2019-11-12 08:28:19,H,22600006650000,True,0,20,8,105,967,126,273,1211,357,189,580
2019-11-12 08:35:17,A,22660006641000,True,0,49,18,43,8,74,321,796,800,718,830
2019-11-12 08:35:24,H,22870006676000,False,0,2,1,201,106,5,364,2615,1751,1818,2089
2019-11-12 08:35:58,A,22560006654000,True,0,21,8,81,18,48,382,819,410,1334,92
2019-11-12 08:36:13,A,22480006653000,False,0,18,7,74,30,110,549,555,555,1135,88
2019-11-12 08:45:35,V1,22660006641000,True,0,47,18,43,1564,103,617,5109,,,526
2019-11-12 08:45:45,H,22640006639000,True,0,31,12,131,244,88,249,1391,1159,1207,1641
2019-11-12 08:49:23,H,22820006646000,True,0,12,5,360,40,59,922,3482,893,1331,288
2019-11-12 08:57:34,H,22630006650000,True,0,24,9,439,387,268,556,1058,294,1472,278
2019-11-12 08:58:01,A,22650006651000,True,0,48,18,26,1,109,399,2128,446,1731,892
2019-11-12 09:01:37,V1,22760006650000,True,0,11,5,379,338,277,330,3928,78,1349,282
2019-11-12 09:08:00,H,22570006643000,True,0,34,13,132,124,113,1941,950,2078,905,181
2019-11-12 09:08:49,H,22440006641000,True,0,14,6,69,194,159,60,1771,847,1600,1142
2019-11-12 09:08:51,A,22630006650000,True,0,29,11,221,38,116,239,792,230,1290,507
2019-11-12 09:09:25,V1,22660006649000,True,1,26,10,524,3541,458,705,1286,758,409,1127
