time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-05-30 08:00:57,V1,22780006651000,True,0,11,5,147,1314,147,1010,318,874,393,321
2019-05-30 08:02:38,H,22620006649000,True,0,21,11,43,174,108,59,886,342,871,555
2019-05-30 08:11:24,H,22630006649000,True,0,28,11,380,50,219,214,916,514,1409,487
2019-05-30 08:13:24,V1,23070006643000,True,0,6,3,28,157,109,166,212,3966,1749,6390
2019-05-30 08:21:16,A,22620006651000,True,0,17,9,194,12,83,227,2935,47,477,401
2019-05-30 08:31:01,H,22560006658000,False,0,15,8,190,606,0,987,3141,1004,883,351
2019-05-30 08:36:29,H,22610006649000,True,0,20,11,108,198,18,238,1481,366,1215,477
2019-05-30 08:42:23,A,22640006652000,True,0,16,9,110,16,66,352,1044,94,591,605
2019-05-30 08:52:31,H,22820006703000,True,0,1,0,183,90,5,1102,2398,3373,1665,3256
2019-05-30 08:58:15,H,22740006650000,True,0,9,5,57,1946,34,441,3210,626,795,289
2019-05-30 08:58:43,V1,23030006676000,False,0,4,2,130,1824,3,1103,124,,,1107
2019-05-30 08:59:22,H,22610006651000,True,0,23,11,111,173,11,378,2785,157,1057,654
2019-05-30 09:04:28,A,22620006649000,True,0,25,11,165,6,58,47,2586,265,1955,431
2019-05-30 09:10:52,H,22650006635000,True,0,29,12,211,93,141,622,831,813,292,1210
2019-05-30 09:18:08,V1,22620006649000,True,1,22,11,41,2555,44,76,511,417,1808,433
2019-05-30 09:19:32,A,22620006651000,True,0,26,11,72,24,45,262,1477,46,1460,663
2019-05-30 09:22:23,H,22590006651000,True,0,16,9,54,211,0,506,541,303,275,83
2019-05-30 09:23:58,A,22570006652000,True,0,36,15,55,25,6,567,917,171,1605,638
2019-05-30 09:25:26,H,22610006650000,True,0,21,11,119,106,93,207,821,189,932,438
2019-05-30 09:27:20,A,22540006620000,False,0,31,13,74,16,34,1090,564,1117,960,186
2019-05-30 09:29:07,V1,22620006651000,True,1,39,9,201,1836,431,788,654,78,1740,399
2019-05-30 09:36:15,V1,22620006649000,True,1,22,11,300,4377,7,77,908,465,1096,454
2019-05-30 09:36:46,A,22620006648000,True,0,27,11,291,29,60,130,2709,373,905,286
2019-05-30 09:41:43,A,22550006641000,True,0,33,13,174,30,4,1700,1765,,,4735
2019-05-30 09:42:45,V1,22620006651000,True,0,17,9,64,679,370,355,1387,77,805,373
2019-05-30 09:48:21,V1,22740006649000,True,1,38,5,69,4007,168,493,1073,629,1070,302
2019-05-30 09:48:48,A,22620006649000,True,0,20,11,9,24,50,46,1493,262,1624,210
2019-05-30 09:50:20,A,22550006648000,True,0,35,15,117,5,10,532,565,245,1149,645
2019-05-30 09:54:04,V1,22640006639000,True,1,29,12,300,1271,461,595,798,1464,479,1750
2019-05-30 09:57:06,H,22590006652000,True,0,16,9,33,78,193,149,660,161,1275,79
2019-05-30 09:59:34,A,22610006650000,True,1,28,8,70,33,110,150,504,151,1085,281
2019-05-30 10:01:18,A,22710006652000,True,1,38,5,57,23,4,455,683,630,753,279
2019-05-30 10:03:29,H,22870006674000,True,1,2,1,140,49,9,421,1736,1864,642,1092
2019-05-30 10:07:50,A,22800006649000,True,1,11,5,116,14,74,435,819,406,1605,309
2019-05-30 10:12:11,A,22660006642000,True,1,44,8,60,12,63,450,799,787,2061,1001
2019-05-30 10:16:28,V1,22670006645000,True,1,21,11,108,3426,83,1416,1264,1438,1098,944
2019-05-30 10:17:05,A,22620006649000,True,1,21,11,75,1,83,49,652,262,764,418
2019-05-30 10:21:10,A,22720006649000,True,1,10,5,97,29,7,527,857,678,1379,304
2019-05-30 10:29:09,H,22620006653000,True,1,27,8,141,1264,18,301,999,147,1118,546
2019-05-30 10:30:32,H,22640006651000,True,1,24,11,86,48,27,420,1172,303,788,465
2019-05-30 10:35:15,A,22890006686000,True,1,0,0,17,11,36,477,1510,1806,749,896
2019-05-30 10:36:07,A,22620006651000,True,1,28,8,12,11,3,171,382,47,755,666
2019-05-30 10:38:34,A,22710006651000,True,1,18,10,111,15,69,435,766,605,1365,1241
2019-05-30 10:39:07,V1,22640006652000,True,1,19,10,165,4699,427,564,1783,172,1079,817
2019-05-30 10:41:41,H,22630006650000,True,1,15,8,82,62,21,474,1383,302,1413,728
2019-05-30 10:42:46,H,22660006647000,True,1,19,10,33,424,338,787,1432,645,833,803
2019-05-30 10:43:26,H,22640006649000,True,1,20,11,156,188,44,510,1008,535,1213,470
2019-05-30 10:52:09,A,22650006655000,True,1,16,9,32,27,13,644,2227,292,2611,736
2019-05-30 11:01:54,V1,22640006648000,True,1,24,11,3,1762,198,692,523,862,837,951
2019-05-30 11:06:51,A,22790006653000,True,1,40,17,73,14,55,261,931,,,467
2019-05-30 11:07:28,A,22640006637000,True,1,30,12,68,72,73,461,962,794,725,1668
2019-05-30 11:09:18,H,23070006645000,False,1,5,3,65,6,74,225,542,2163,748,3244
2019-05-30 11:14:59,V1,22900006655000,True,1,41,17,41,741,253,1929,1283,2027,1260,1003
2019-05-30 11:17:51,V1,22590006651000,True,1,28,8,286,152,31,234,653,424,434,213
2019-05-30 11:24:08,H,22640006642000,True,1,25,11,238,54,95,891,769,1163,1381,224
2019-05-30 11:25:40,V1,22700006654000,True,1,18,10,109,1362,111,960,570,980,404,1108
2019-05-30 11:26:40,H,22490006648000,True,1,13,7,128,52,122,276,931,283,579,85
2019-05-30 11:32:45,H,22790006665000,True,1,2,1,44,224,11,619,2847,1219,880,2228
2019-05-30 11:33:30,V1,22830006705000,True,1,0,0,244,1311,330,3761,821,4503,845,3477
2019-05-30 11:33:41,A,22670006652000,True,1,37,16,62,184,69,232,1539,,,410
2019-05-30 11:41:39,V1,22640006652000,True,1,26,8,51,3481,439,856,1093,165,421,1017
2019-05-30 11:42:06,A,22800006650000,True,1,9,5,271,30,13,438,1529,405,953,303
2019-05-30 11:43:48,H,22880006689000,True,1,40,17,346,325,18,2087,1077,2509,1140,1060
2019-05-30 11:46:04,V1,22590006652000,True,1,44,8,66,359,140,82,368,222,769,216
2019-05-30 11:54:47,V1,22480006648000,True,1,14,7,221,714,44,84,1302,84,325,81
2019-05-30 11:58:51,V1,22620006649000,True,1,23,11,60,318,221,85,1086,470,1516,469
2019-05-30 11:58:59,H,22720006658000,True,1,8,4,108,1830,258,590,1384,1123,481,1704
2019-05-30 12:01:04,H,22820006660000,True,1,6,5,81,1027,104,1224,138,1244,631,3202
2019-05-30 12:09:08,H,22620006649000,True,1,42,9,420,130,120,515,718,339,1285,1801
2019-05-30 12:12:30,H,22670006646000,True,1,39,9,235,154,114,1032,477,848,583,1853
2019-05-30 12:12:47,A,22580006650000,True,1,22,11,75,42,57,393,984,209,1405,1014
2019-05-30 12:22:46,H,22680006649000,True,1,38,5,282,109,142,785,1194,883,367,1160
2019-05-30 12:26:35,H,22620006649000,True,1,20,11,224,87,57,62,2024,342,181,467
2019-05-30 12:27:18,V1,22620006649000,True,2,23,11,8,2473,121,82,328,461,974,478
2019-05-30 12:28:34,H,22630006648000,True,1,24,11,278,222,29,222,890,513,868,1947
2019-05-30 12:28:58,H,22480006647000,True,1,13,7,698,575,115,379,1630,398,503,84
2019-05-30 12:36:04,A,22650006639000,True,1,29,12,281,6,16,219,842,,,385
2019-05-30 12:36:09,A,22640006654000,True,1,17,9,94,1,177,387,1637,248,806,709
2019-05-30 12:39:29,H,22620006649000,True,1,25,11,91,74,116,173,989,,,1454
2019-05-30 12:46:53,V1,22690006650000,True,2,19,10,145,1683,106,677,1626,1170,1953,1230
2019-05-30 12:49:53,A,22700006654000,True,1,37,16,110,47,93,48,879,547,2121,961
2019-05-30 12:53:52,H,22730006649000,True,2,11,2,80,362,47,498,806,639,284,441
2019-05-30 12:59:07,V1,22540006621000,True,2,31,13,207,1479,364,1936,747,2165,358,213
2019-05-30 13:01:52,A,22480006653000,False,2,43,15,277,1,54,638,1818,534,733,919
2019-05-30 13:06:12,V1,22570006655000,True,2,15,8,153,394,196,888,787,836,518,420
2019-05-30 13:08:32,H,22410006640000,True,2,12,6,37,40,0,590,432,1257,863,1210
2019-05-30 13:17:59,V1,22690006650000,True,2,18,10,72,1097,171,432,1238,1223,361,740
2019-05-30 13:27:56,H,22650006644000,True,2,14,18,522,580,128,258,120,895,354,998
2019-05-30 13:30:34,A,22540006653000,True,2,33,15,24,9,53,438,1218,597,826,716
2019-05-30 13:36:43,A,22630006649000,True,2,20,11,35,13,6,167,566,412,799,502
2019-05-30 13:37:34,A,22620006649000,True,2,21,11,69,19,72,47,215,260,994,492
2019-05-30 13:40:02,A,22740006650000,True,2,11,2,177,5,2,482,1347,483,893,4110
2019-05-30 13:48:54,V1,22540006622000,True,2,32,13,76,786,220,1892,598,2116,912,277
2019-05-30 13:51:18,H,22670006628000,False,2,27,13,363,88,211,169,1889,215,1099,215
2019-05-30 13:59:18,A,22880006675000,True,2,9,1,48,48,71,472,1439,1541,1000,6255
2019-05-30 14:01:35,H,22450006641000,True,2,12,6,183,248,134,759,3769,997,1017,935
2019-05-30 14:07:32,H,22620006649000,True,2,22,11,110,89,11,62,1028,331,1129,233
2019-05-30 14:09:26,H,22780006652000,True,2,10,17,120,543,20,530,1075,427,1010,113
2019-05-30 14:10:07,V1,22620006649000,True,2,25,12,61,3093,52,2057,1526,658,714,318
2019-05-30 14:10:25,H,22640006638000,True,2,39,12,51,70,89,529,2066,959,966,6430
2019-05-30 14:10:58,H,22710006655000,True,2,37,16,175,53,39,110,748,745,781,86
2019-05-30 14:11:01,V1,22660006628000,False,2,44,12,315,2527,92,1813,817,117,801,5845
2019-05-30 14:11:05,V1,22620006651000,True,2,34,15,176,3329,214,2171,2026,123,1405,578
2019-05-30 14:17:40,V1,22640006639000,True,2,29,12,22,2456,115,471,1933,2176,1187,2393
2019-05-30 14:18:48,H,23070006643000,True,2,5,3,170,119,161,91,919,2242,851,4317
2019-05-30 14:21:44,V1,22600006650000,True,3,25,12,10,7553,30,663,586,693,231,2424
2019-05-30 14:28:22,V1,22780006652000,True,2,10,17,50,2636,12,810,991,779,418,1428
2019-05-30 14:31:32,H,22670006645000,True,2,21,11,43,93,9,989,1643,1000,649,806
2019-05-30 14:31:58,A,22630006653000,True,2,16,9,172,20,60,176,859,176,1823,114
2019-05-30 14:34:14,H,22720006654000,True,2,18,10,280,244,79,640,1878,973,817,1558
2019-05-30 14:35:54,H,22720006654000,True,2,28,17,425,258,79,853,2070,951,620,1509
2019-05-30 14:36:23,A,22700006654000,True,2,38,10,29,23,32,449,3255,546,994,1139
2019-05-30 14:41:40,H,22730006656000,True,2,8,4,10,95,138,502,1265,983,717,2419
2019-05-30 14:44:35,H,22640006648000,True,2,37,16,510,184,30,610,1058,642,710,1303
2019-05-30 14:45:21,H,22680006649000,True,2,23,11,252,70,44,969,947,900,629,2456
2019-05-30 14:46:35,H,22760006650000,True,2,41,17,469,124,44,710,971,59,1103,850
2019-05-30 14:49:38,H,22660006652000,True,2,26,8,156,1827,80,870,958,506,788,610
2019-05-30 14:51:41,V1,22440006639000,True,2,13,7,180,208,14,1649,872,2018,648,119
2019-05-30 14:52:09,H,22640006645000,True,2,20,11,36,180,290,631,1710,,,567
2019-05-30 14:54:47,H,22780006653000,True,2,40,17,119,107,69,447,1931,490,610,1469
2019-05-30 14:58:09,A,22630006649000,True,2,22,11,87,19,1,256,3166,,,413
2019-05-30 15:01:20,A,22670006644000,True,2,14,18,71,75,3,351,1196,806,2724,926
2019-05-30 15:06:54,V1,22620006649000,True,2,20,11,75,2132,231,927,839,680,585,665
2019-05-30 15:06:57,A,22640006649000,True,2,17,9,118,22,22,446,2575,424,2422,569
2019-05-30 15:07:35,A,22690006664000,True,2,42,4,74,39,17,392,120,,,325
2019-05-30 15:12:18,V1,22570006651000,True,2,35,15,151,993,166,916,772,118,1240,1782
2019-05-30 15:13:41,A,22650006627000,True,2,31,13,112,239,54,132,1288,153,801,271
2019-05-30 15:19:33,A,22630006648000,True,2,15,8,33,72,132,398,4044,413,404,1025
2019-05-30 15:20:06,A,22980006697000,False,2,1,0,89,17,102,831,1482,2637,337,4645
2019-05-30 15:20:44,V1,22440006640000,True,3,12,6,105,2346,9,1880,657,1869,886,1410
2019-05-30 15:20:49,V1,22620006649000,True,2,30,12,86,764,202,2063,1502,675,451,312
2019-05-30 15:23:30,H,22540006652000,True,2,7,15,300,4,92,339,1187,626,1170,966
2019-05-30 15:23:33,A,22640006649000,True,2,3,15,103,16,1,475,1482,409,611,373
2019-05-30 15:24:47,A,22880006675000,True,2,2,1,80,73,168,470,817,1542,883,3340
2019-05-30 15:31:54,A,23070006643000,True,2,6,3,87,28,98,76,1548,1812,1093,4855
2019-05-30 15:35:38,H,22630006620000,True,2,32,13,179,127,180,857,1103,,,1558
2019-05-30 15:36:10,A,22570006652000,True,2,16,9,105,10,22,402,1762,168,1841,1024
2019-05-30 15:37:45,H,22950006694000,True,2,4,2,391,595,137,1798,417,2833,507,808
2019-05-30 15:39:29,H,22700006652000,True,2,19,10,299,118,49,497,2738,868,551,1332
2019-05-30 15:40:48,V1,22600006652000,True,3,33,7,34,2931,448,1064,724,97,815,1863
2019-05-30 15:46:28,A,22470006651000,True,2,36,15,140,22,43,459,515,320,455,1704
2019-05-30 15:48:47,H,22790006653000,True,2,41,17,182,180,129,271,1027,439,312,2621
2019-05-30 15:54:12,A,22760006654000,True,2,42,4,18,23,26,683,1607,508,891,2586
2019-05-30 15:54:33,A,22460006651000,True,2,43,15,28,10,72,550,1414,322,548,1689
2019-05-30 15:58:11,A,22600006651000,True,2,33,15,58,24,48,320,1171,,,765
2019-05-30 16:00:01,H,22540006653000,True,3,22,11,88,150,46,1156,1122,748,475,1161
2019-05-30 16:02:54,V1,22660006628000,False,3,31,13,25,887,48,289,903,119,683,287
2019-05-30 16:07:47,H,22630006652000,True,3,21,11,172,137,21,299,869,211,2077,535
2019-05-30 16:12:10,H,22630006648000,True,3,38,5,4,84,264,439,1017,513,765,2016
2019-05-30 16:14:31,H,22620006649000,True,3,23,5,165,660,43,61,1245,332,751,457
2019-05-30 16:20:41,A,22770006653000,True,3,10,17,152,21,227,271,1808,347,1388,1420
2019-05-30 16:21:33,H,22610006650000,True,3,26,15,205,25,0,59,1319,189,563,1826
2019-05-30 16:23:44,V1,22660006649000,True,3,18,10,796,459,253,1112,833,934,865,909
2019-05-30 16:31:01,V1,22660006628000,False,3,27,13,25,2606,51,236,811,99,1224,230
2019-05-30 16:31:55,H,22560006656000,True,3,3,15,80,105,69,721,1554,,,1385
2019-05-30 16:33:05,A,22610006650000,True,3,14,15,75,108,26,155,989,149,2184,1771
2019-05-30 16:40:49,H,22660006644000,True,3,20,11,377,58,229,883,1522,983,569,712
2019-05-30 16:50:43,H,23040006669000,True,3,11,2,216,70,90,58,3315,2703,878,4148
2019-05-30 16:53:32,H,22630006654000,True,3,16,9,375,460,145,349,933,345,595,95
2019-05-30 16:56:45,H,22630006649000,True,3,30,12,88,77,25,317,2119,502,1233,1727
2019-05-30 17:04:19,A,22640006651000,True,3,23,5,435,21,107,166,2177,,,1588
2019-05-30 17:04:40,A,22480006648000,True,3,35,7,112,26,16,48,1260,48,642,94
2019-05-30 17:21:48,H,22620006651000,True,3,17,9,199,151,33,275,1090,60,883,393
2019-05-30 17:24:35,A,22770006651000,True,3,9,5,123,37,98,328,1536,255,2995,308
2019-05-30 17:37:20,H,22710006655000,True,3,37,16,78,1006,128,107,427,761,971,950
2019-05-30 17:38:29,A,22800006649000,True,3,4,2,248,16,94,318,596,411,3165,3953
2019-05-30 17:41:55,H,22770006651000,True,3,10,17,231,171,48,648,509,330,1019,1060
2019-05-30 17:42:24,H,22740006649000,True,3,38,5,167,115,8,371,951,449,431,303
2019-05-30 17:44:08,A,22530006652000,True,3,7,15,157,5,52,238,1130,545,981,682
2019-05-30 17:44:45,H,22490006648000,True,3,33,7,217,141,22,214,1456,283,3020,83
2019-05-30 17:49:57,V1,22580006651000,True,3,15,8,66,262,211,384,1032,325,1240,385
2019-05-30 17:50:42,A,22510006651000,True,3,26,15,102,2,150,334,639,635,698,857
2019-05-30 17:57:11,H,22610006651000,True,3,34,9,42,129,45,165,480,163,1078,84
2019-05-30 18:02:15,A,22720006654000,True,3,18,10,102,26,60,513,2655,734,2389,871
2019-05-30 18:02:49,A,22880006672000,True,3,2,1,133,31,87,353,1283,1546,1041,2259
2019-05-30 18:07:36,H,22630006651000,True,3,20,11,47,64,46,186,859,167,727,460
2019-05-30 18:08:14,H,22640006652000,True,3,17,9,105,303,35,443,608,119,584,750
2019-05-30 18:08:40,H,22600006615000,True,3,27,13,247,64,21,1404,3459,1488,913,191
2019-05-30 18:09:26,A,22630006650000,True,3,22,11,343,24,50,240,2493,,,417
