time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-08-04 08:00:57,V1,22560006650000,True,0,43,18,153,1146,146,854,332,191,372,1005
2019-08-04 08:02:38,A,22620006649000,True,0,27,11,31,24,73,47,1597,,,61
2019-08-04 08:10:59,H,22640006633000,True,0,31,13,271,976,56,615,1167,581,967,151
2019-08-04 08:11:21,H,22600006652000,True,0,21,9,317,1135,168,339,446,60,1252,59
2019-08-04 08:15:51,A,22570006651000,True,0,22,9,89,18,115,417,1651,46,1281,500
2019-08-04 08:16:20,H,22620006651000,True,0,39,16,139,166,106,704,370,60,737,729
2019-08-04 08:43:54,V1,22620006650000,True,0,26,11,16,523,35,172,707,162,1398,338
2019-08-04 08:47:23,H,22650006652000,True,0,27,11,66,25,76,658,1504,61,339,677
2019-08-04 08:56:40,A,23150006634000,False,0,8,3,102,19,27,906,572,2705,1483,2593
2019-08-04 08:58:15,A,22640006643000,True,0,42,18,39,240,22,389,3080,821,939,237
2019-08-04 08:58:43,V1,22710006670000,False,0,10,4,134,1600,2,691,402,,,712
2019-08-04 09:07:41,A,22600006649000,True,0,43,18,39,14,42,686,1770,305,1511,312
2019-08-04 09:10:52,H,22560006650000,True,0,37,15,201,94,157,61,829,196,277,490
2019-08-04 09:11:24,A,22610006650000,True,0,21,9,198,8,127,349,1126,146,1784,308
2019-08-04 09:19:18,A,22630006649000,True,0,44,18,123,170,5,249,461,400,846,345
2019-08-04 09:27:20,A,22630006637000,True,0,29,12,72,18,39,554,505,889,980,1321
2019-08-04 09:36:15,H,22620006649000,True,0,26,11,632,347,3,58,1402,320,1324,352
2019-08-04 09:42:23,A,22640006652000,True,0,22,9,107,18,71,352,973,91,589,570
2019-08-04 09:48:21,V1,22690006654000,True,1,39,16,70,3482,166,217,1195,686,990,65
2019-08-04 09:49:56,A,22760006655000,True,0,41,17,28,52,59,347,670,508,939,810
2019-08-04 09:52:31,H,22730006654000,True,0,38,16,174,91,6,451,2503,792,1877,1009
