time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-08-04 08:00:19,H,22640006633000,True,0,33,13,271,976,56,636,1167,592,967,144
2019-08-04 08:04:23,H,22650006652000,True,0,23,9,66,25,76,525,1504,59,339,524
2019-08-04 08:12:13,A,22640006643000,True,0,44,18,39,240,22,388,3080,820,939,797
2019-08-04 08:13:11,V1,22710006670000,False,0,10,4,134,1600,2,716,402,,,702
2019-08-04 08:28:48,A,22620006649000,True,0,29,11,31,24,73,47,1597,,,58
2019-08-04 08:40:25,A,23150006634000,False,0,8,3,102,19,27,904,572,2570,1483,2596
2019-08-04 08:41:06,A,22570006651000,True,0,21,8,89,18,115,220,1651,45,1281,267
2019-08-04 08:44:07,H,22620006651000,True,0,24,9,139,166,106,276,370,60,737,280
2019-08-04 08:54:22,V1,22620006650000,True,0,29,11,16,523,35,172,707,161,1398,330
2019-08-04 08:59:00,V1,22560006650000,True,0,36,15,153,1522,146,381,332,197,372,494
2019-08-04 08:59:35,H,22600006652000,True,0,19,8,317,1135,168,150,446,60,1252,151
2019-08-04 09:00:44,A,22600006649000,True,0,27,11,39,14,42,244,1770,293,1511,359
2019-08-04 09:03:32,V1,22930006694000,True,0,2,0,221,1861,178,600,654,3036,453,2562
2019-08-04 09:16:13,A,22760006655000,True,0,42,17,28,52,59,345,670,509,939,754
2019-08-04 09:20:36,H,22620006649000,True,0,43,18,632,677,3,561,1402,341,1324,174
2019-08-04 09:20:42,H,22560006650000,True,0,37,15,201,94,157,348,829,187,277,503
2019-08-04 09:35:24,H,22730006654000,True,0,38,16,174,91,6,444,2503,806,1877,1023
2019-08-04 09:36:13,A,22610006650000,True,0,24,9,68,36,117,163,448,145,1116,237
2019-08-04 09:39:29,A,22640006652000,True,0,22,9,107,18,71,385,973,98,589,563
2019-08-04 09:39:50,V1,22690006654000,True,0,39,16,70,3482,166,209,1195,679,990,786
2019-08-04 09:45:54,A,22630006649000,True,0,29,11,123,170,5,174,461,393,846,353
2019-08-04 09:49:06,A,22630006637000,True,0,30,12,72,18,39,584,505,915,980,1328
2019-08-04 09:57:34,A,22610006650000,True,0,23,9,198,8,127,248,1126,148,1784,311
2019-08-04 10:08:00,H,22650006652000,True,0,24,9,114,107,108,601,819,61,917,576
2019-08-04 10:08:51,H,22620006649000,True,0,27,11,376,484,238,60,511,344,1039,348
2019-08-04 10:09:25,V1,22600006651000,True,0,23,9,464,3217,462,264,1314,264,395,65
2019-08-04 10:13:42,H,22630006650000,True,0,28,11,194,107,135,289,593,293,1365,360
2019-08-04 10:13:50,H,23000006625000,False,0,7,3,326,475,39,1302,233,2853,1251,2808
2019-08-04 10:19:07,H,22700006663000,True,0,10,4,26,130,93,58,1384,1274,1082,1379
2019-08-04 10:23:16,H,22620006649000,True,0,29,11,119,3,155,59,465,336,647,354
2019-08-04 10:25:43,H,22650006641000,True,0,31,12,172,288,129,311,1102,1109,1460,1385
2019-08-04 10:25:48,H,22640006641000,True,0,25,10,97,122,24,1291,356,1190,1352,65
2019-08-04 10:30:08,A,22860006665000,True,0,3,1,48,16,138,497,1431,,,659
