time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-08-04 08:00:19,H,22640006633000,True,0,41,13,271,976,56,617,1167,555,967,148
2019-08-04 08:04:23,H,22650006652000,True,0,25,9,66,25,76,515,1504,58,339,513
2019-08-04 08:12:13,A,22640006643000,True,0,37,12,39,240,22,394,3080,776,939,1401
2019-08-04 08:13:11,V1,22710006670000,False,0,10,4,134,1600,2,692,402,,,711
2019-08-04 08:28:48,A,22620006649000,True,0,33,11,31,24,73,48,1597,,,58
2019-08-04 08:40:25,A,23150006634000,False,0,7,3,102,19,27,922,572,2613,1483,2529
2019-08-04 08:41:06,A,22570006651000,True,0,20,8,89,18,115,208,1651,49,1281,278
2019-08-04 08:44:07,H,22620006651000,True,0,23,9,139,166,106,278,370,58,737,275
2019-08-04 08:54:22,V1,22620006650000,True,0,32,11,16,523,35,167,707,164,1398,344
2019-08-04 08:59:00,V1,22560006650000,True,0,22,8,153,1146,146,444,332,202,372,274
2019-08-04 08:59:35,H,22600006652000,True,0,21,8,317,1135,168,156,446,59,1252,154
2019-08-04 09:00:44,A,22600006649000,True,0,33,11,39,14,42,248,1770,303,1511,376
2019-08-04 09:03:32,V1,22930006694000,True,0,1,0,221,1861,178,619,654,3077,453,2435
2019-08-04 09:16:13,A,22760006655000,True,0,3,1,28,52,59,163,670,528,939,1543
2019-08-04 09:20:36,H,22620006649000,True,0,31,11,632,347,3,58,1402,332,1324,380
2019-08-04 09:20:42,H,22560006650000,True,0,26,9,201,94,157,671,829,189,277,561
2019-08-04 09:35:24,H,22730006654000,True,0,27,10,174,91,6,557,2503,791,1877,869
2019-08-04 09:36:13,A,22610006650000,True,0,34,11,68,36,117,172,448,146,1116,373
2019-08-04 09:39:29,A,22640006652000,True,0,24,9,107,18,71,353,973,96,589,583
2019-08-04 09:39:50,V1,22690006654000,True,0,30,10,70,3482,166,521,1195,698,990,893
2019-08-04 09:45:54,A,22630006649000,True,0,32,11,123,170,5,169,461,401,846,345
