time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-11-12 07:00:19,V1,22590006652000,True,0,22,8,192,6482,77,110,904,230,827,223
2019-11-12 07:02:58,V1,22630006648000,True,0,32,11,128,5326,2,397,2269,831,756,244
2019-11-12 07:04:23,A,22650006649000,True,0,34,11,47,5,35,423,1787,461,417,535
2019-11-12 07:12:13,A,22670006645000,True,0,37,12,41,196,16,826,3155,824,956,1157
2019-11-12 07:13:11,V1,23080006679000,False,0,5,2,140,1824,2,1892,340,,,2119
2019-11-12 07:13:52,A,22620006649000,True,0,25,9,146,18,76,306,4680,,,394
2019-11-12 07:23:51,A,22620006649000,True,0,26,9,363,16,8,396,1167,260,617,513
2019-11-12 07:26:11,A,22700006654000,True,0,27,10,76,4,78,439,1287,545,1592,1472
2019-11-12 07:28:48,A,22620006649000,True,0,23,9,33,20,69,393,1781,,,961
2019-11-12 07:33:32,V1,22680006648000,True,0,29,10,116,4019,168,1026,214,1580,930,1189
2019-11-12 07:35:24,V1,22760006654000,True,0,14,5,81,64,93,954,1240,1134,849,383
2019-11-12 07:38:06,V1,22660006628000,False,0,41,13,183,4066,220,257,595,89,929,213
2019-11-12 07:39:29,A,22560006654000,True,0,22,8,116,15,67,369,1144,394,601,489
2019-11-12 07:40:25,A,22570006630000,False,0,43,14,111,16,20,598,703,978,1521,1774
2019-11-12 07:59:00,V1,22640006632000,True,0,40,13,161,1312,131,871,355,810,386,224
2019-11-12 08:01:55,H,22860006673000,True,0,3,1,202,37,22,232,3340,1679,579,2411
2019-11-12 08:02:09,H,22500006649000,True,0,19,7,149,340,140,396,1451,395,423,104
2019-11-12 08:03:32,V1,22780006651000,True,0,11,5,242,2112,169,1001,690,782,467,338
2019-11-12 08:16:10,A,22550006614000,False,0,42,14,176,105,43,829,2249,,,1360
2019-11-12 08:16:46,V1,22620006649000,True,0,31,11,100,3216,16,90,730,511,1219,487
2019-11-12 08:20:36,V1,22620006649000,True,0,23,9,381,2973,6,799,1022,501,1056,284
2019-11-12 08:20:42,V1,22590006654000,True,0,20,8,143,887,333,584,705,433,288,436
2019-11-12 08:22:08,H,22630006651000,True,0,24,9,379,351,138,369,847,169,515,429
