time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-05-30 08:02:58,H,22560006658000,False,0,20,8,190,606,0,961,3141,995,883,388
2019-05-30 08:05:27,H,22610006649000,True,0,32,11,108,198,18,241,1481,358,1215,457
2019-05-30 08:12:13,H,22740006650000,True,0,13,5,57,1946,34,442,3210,622,795,280
2019-05-30 08:13:11,V1,23030006676000,False,0,6,2,130,1824,3,1368,124,,,1153
2019-05-30 08:19:50,A,22620006651000,True,0,34,11,194,12,83,126,2935,47,477,452
2019-05-30 08:28:48,H,22620006649000,True,0,31,11,43,174,108,60,886,330,871,219
2019-05-30 08:34:31,H,22610006651000,True,0,24,9,111,173,11,160,2785,166,1057,85
2019-05-30 08:34:39,V1,23070006643000,True,0,8,3,28,157,109,160,212,3850,1749,3069
2019-05-30 08:35:24,H,22820006703000,True,0,1,0,183,90,5,1134,2398,3347,1665,3245
2019-05-30 08:39:29,A,22640006652000,True,0,25,9,110,16,66,342,1044,98,591,755
2019-05-30 08:57:34,H,22630006649000,True,0,23,9,380,50,219,694,916,510,1409,372
2019-05-30 08:59:00,V1,22780006651000,True,0,14,5,147,1314,147,821,318,687,393,277
2019-05-30 09:03:07,A,22550006648000,True,0,21,8,117,5,10,439,565,246,1149,392
2019-05-30 09:08:00,H,22610006650000,True,0,31,11,119,106,93,130,821,183,932,223
2019-05-30 09:16:38,A,22550006641000,True,0,43,14,174,30,4,1372,1765,,,2299
2019-05-30 09:17:05,V1,22620006651000,True,0,31,11,201,1836,431,221,654,79,1740,424
2019-05-30 09:20:36,V1,22620006649000,True,0,32,11,300,3061,7,80,908,426,1096,431
2019-05-30 09:20:42,H,22650006635000,True,0,37,12,211,93,141,639,831,838,292,1656
2019-05-30 09:23:26,A,22620006648000,True,0,34,11,291,29,60,129,2709,379,905,213
2019-05-30 09:35:34,A,22570006652000,True,0,22,8,55,25,6,253,917,173,1605,355
2019-05-30 09:36:13,A,22610006650000,True,0,32,11,70,33,110,173,504,150,1085,427
2019-05-30 09:39:50,V1,22740006649000,True,0,11,5,69,4007,168,495,1073,631,1070,312
2019-05-30 09:40:15,H,22590006652000,True,0,26,9,33,78,193,387,660,150,1275,78
2019-05-30 09:42:29,A,22620006649000,True,0,33,11,9,24,50,46,1493,269,1624,215
2019-05-30 09:45:45,A,22620006651000,True,0,25,9,72,24,45,224,1477,47,1460,362
2019-05-30 09:46:07,V1,22620006651000,True,0,21,8,64,679,370,657,1387,78,805,667
2019-05-30 09:49:06,A,22540006620000,False,0,42,14,74,16,34,376,564,1135,960,1277
2019-05-30 09:51:08,A,22620006649000,True,0,24,9,165,6,58,399,2586,272,1955,395
2019-05-30 09:56:27,V1,22620006649000,True,0,34,11,41,2555,44,226,511,440,1808,472
2019-05-30 09:57:14,V1,22640006639000,True,0,36,12,300,251,461,324,798,1477,479,1309
2019-05-30 09:59:14,H,22590006651000,True,0,20,8,54,211,0,167,541,300,275,195
2019-05-30 10:01:35,A,22890006686000,True,0,0,0,17,11,36,480,1510,1774,749,1663
2019-05-30 10:03:59,A,22620006651000,True,0,30,10,12,11,3,673,382,46,755,225
