time_call_received,triage_impression_during_call,grid_id,urban,allocation_index,ambulance_id,dispatched_from_depot_index,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-08-04 08:00:19,H,22640006633000,True,0,39,13,271,976,56,618,1167,600,967,142
2019-08-04 08:04:23,H,22650006652000,True,0,23,9,66,25,76,526,1504,60,339,555
2019-08-04 08:12:13,A,22640006643000,True,0,35,12,39,240,22,400,3080,798,939,1384
2019-08-04 08:13:11,V1,22710006670000,False,0,10,4,134,1600,2,717,402,,,704
2019-08-04 08:28:48,A,22620006649000,True,0,33,11,31,24,73,47,1597,,,61
2019-08-04 08:40:25,A,23150006634000,False,0,8,3,102,19,27,878,572,2635,1483,2587
2019-08-04 08:41:06,A,22570006651000,True,0,22,8,89,18,115,222,1651,47,1281,276
2019-08-04 08:44:07,H,22620006651000,True,0,24,9,139,166,106,283,370,61,737,272
2019-08-04 08:54:22,V1,22620006650000,True,0,32,11,16,523,35,177,707,162,1398,324
2019-08-04 08:59:00,V1,22560006650000,True,0,20,8,153,1146,146,448,332,205,372,279
2019-08-04 08:59:35,H,22600006652000,True,0,21,8,317,1135,168,150,446,59,1252,155
2019-08-04 09:00:44,A,22600006649000,True,0,34,11,39,14,42,248,1770,295,1511,370
2019-08-04 09:03:32,V1,22930006694000,True,0,1,0,221,1861,178,602,654,3081,453,2560
2019-08-04 09:16:13,A,22760006655000,True,0,2,1,28,52,59,155,670,523,939,1644
2019-08-04 09:20:36,H,22620006649000,True,0,33,11,632,347,3,58,1402,340,1324,343
2019-08-04 09:20:42,H,22560006650000,True,0,26,9,201,94,157,682,829,186,277,556
2019-08-04 09:35:24,H,22730006654000,True,0,30,10,174,91,6,574,2503,778,1877,855
2019-08-04 09:36:13,A,22610006650000,True,0,31,11,68,36,117,166,448,150,1116,367
2019-08-04 09:39:29,A,22640006652000,True,0,23,9,107,18,71,350,973,96,589,590
2019-08-04 09:39:50,V1,22690006654000,True,0,27,10,70,3482,166,502,1195,688,990,188
2019-08-04 09:45:54,A,22630006649000,True,0,32,11,123,170,5,173,461,411,846,175
2019-08-04 09:49:06,A,22630006637000,True,0,37,12,72,18,39,563,505,917,980,1330
2019-08-04 09:57:34,A,22610006650000,True,0,24,9,198,8,127,244,1126,151,1784,310
2019-08-04 10:08:00,H,22650006652000,True,0,25,9,114,107,108,532,819,62,917,371
2019-08-04 10:08:51,H,22620006649000,True,0,34,11,376,484,238,60,511,329,1039,351
2019-08-04 10:09:25,V1,22600006651000,True,0,20,8,464,3217,462,165,1314,272,395,428
2019-08-04 10:13:42,H,22630006650000,True,0,31,11,194,107,135,297,593,294,1365,356
2019-08-04 10:13:50,H,23000006625000,False,0,7,3,326,475,39,1367,233,2854,1251,2743
2019-08-04 10:19:07,H,22700006663000,True,0,10,4,26,130,93,59,1384,1226,1082,1386
2019-08-04 10:23:16,H,22620006649000,True,0,32,11,119,3,155,170,465,339,647,352
2019-08-04 10:25:43,H,22650006641000,True,0,35,12,172,288,129,307,1102,1122,1460,1380
2019-08-04 10:25:48,H,22640006641000,True,0,38,12,97,122,24,301,356,1211,1352,1479
2019-08-04 10:30:08,A,22860006665000,True,0,3,1,48,16,138,491,1431,,,664
2019-08-04 10:30:39,H,22560006606000,True,0,43,14,43,245,27,949,2224,1824,2222,1118
2019-08-04 10:32:31,V1,22620006649000,True,0,31,11,20,3270,787,66,1051,370,700,394
2019-08-04 10:32:40,A,22610006653000,True,0,23,9,152,63,62,247,1694,206,1542,551
2019-08-04 10:33:03,V1,22610006652000,True,0,25,9,25,1316,106,388,769,64,837,64
2019-08-04 10:35:17,H,22640006654000,True,0,26,9,59,55,132,489,514,312,594,370
2019-08-04 10:35:42,V1,22640006652000,True,0,33,11,35,520,586,603,905,129,1446,760
2019-08-04 10:41:21,V1,22670006645000,True,0,32,11,110,3013,81,1135,1383,1255,1013,822
2019-08-04 10:45:41,V1,22620006651000,True,0,26,9,99,1617,90,223,783,66,978,312
2019-08-04 10:47:14,A,22590006617000,False,0,44,14,96,25,12,177,356,925,512,1060
2019-08-04 10:51:02,H,22800006649000,True,0,11,5,82,49,32,570,1178,535,773,239
2019-08-04 10:53:45,H,22860006665000,True,0,2,1,143,291,47,602,3174,,,717
2019-08-04 11:03:29,H,22850006670000,False,0,4,1,63,6,88,121,551,1756,734,176
2019-08-04 11:06:26,V1,22660006651000,True,0,28,10,49,539,59,400,463,617,885,883
2019-08-04 11:11:26,H,22550006646000,True,0,22,8,100,400,260,884,387,685,1375,310
2019-08-04 11:13:55,V1,22560006652000,True,0,21,8,36,174,32,639,526,429,614,316
2019-08-04 11:19:12,H,22640006652000,True,0,24,9,92,116,107,425,691,117,469,129
2019-08-04 11:27:52,H,22620006651000,True,0,25,9,18,562,9,282,2824,61,246,326
2019-08-04 11:32:54,V1,22640006651000,True,0,24,9,112,1188,110,339,602,367,383,335
2019-08-04 11:35:03,H,22710006653000,True,0,29,10,91,88,115,390,578,734,1753,953
2019-08-04 11:38:11,V1,22620006649000,True,0,34,11,81,432,268,64,734,380,500,388
2019-08-04 11:38:28,H,22620006651000,True,0,27,10,259,2,83,168,730,60,1560,982
2019-08-04 11:38:46,V1,22480006648000,True,0,17,7,170,62,94,65,1327,72,836,72
2019-08-04 11:38:58,H,22630006650000,True,0,26,9,96,1995,125,482,861,300,1247,332
2019-08-04 11:40:31,V1,22860006673000,True,0,3,1,125,1497,234,278,1903,2056,1026,1862
